Protein.Group,0812_0815-Control_log2_change,0812_0815-Control_log10_p_value
A0A140FVX0,0.16690986586646495,0.5431825640125861
A0A140FVX4,-1.624290701859215,2.4658423701945344
A0A140FVZ0,-0.09590311011000728,0.21160032842863036
A0A140FVZ1,0.42071220795438125,0.6057819252493266
A0A140FVZ6,0.20351829890828396,0.1846053492246155
A0A140FW18,0.26953948618960283,0.22619995270694132
A0A140FW22,-0.17745193108507742,0.15428826441666157
A0A140FW35,-0.009518806120231644,0.009156809482014085
A0A140FW57,-1.1336395318486696,0.77755579772881
A0A140FW92,,
A0A140FWA3,0.37838560107457975,0.25649104977387255
A0A140FWA4,0.7368527440043732,1.0945792735207966
A0A140FWC7,0.3622481741521697,0.3209242618530375
A0A140FWJ5,0.7674463792735389,
A0A140FWK0,0.19836910619935463,0.20016908859436514
A0A140FWK7,-0.09121291747924237,0.15028093920601765
A0A140FWL0,0.7320310434983572,
A0A140FWL3,0.3208008921898074,0.21385232054669523
A0A140FWM3,-0.4555849566136882,0.8559406541939204
A0A140FWP7,-0.48091458136986864,0.4359884777378848
A0A140FWQ2,1.837665357093352,0.3693957200725232
A0A140FWQ5,0.20067786454720266,1.3406822627737016
A0A140FWQ8,-0.17048784913149453,0.07413089157870999
A0A140FWQ9,0.49165458344145074,1.9512113670761977
A0A140FWS3,0.06287328449491757,0.4275138987406212
A0A140FWS4,0.2603643429904512,0.24681376469178773
A0A140FWS5,0.056094492574269045,0.17720129373802992
A0A140FWU0,1.995870024737474,1.6835688609057675
MM_1762,0.0788903165070798,0.998117754809266
PP_0001,-0.037645294210965456,0.0148170111723616
PP_0002,-0.44766207974527694,0.19541804790290518
PP_0003,0.1625219698675053,0.3751925781102118
PP_0004,0.5170473935859108,1.0247838900556285
PP_0005,1.3793210224309813,0.773173153066259
PP_0006,-0.15874157378005196,0.3947484640845325
PP_0010,0.08441810158315065,0.14513276612413614
PP_0011,0.45337523840797017,0.5901079595254282
PP_0013,0.06034590670762746,0.09365773772524445
PP_0017,0.1911421160781063,1.1454498101950865
PP_0018,0.11746086138421871,0.2814814604409277
PP_0019,0.3147727510880065,
PP_0020,-0.6664636013707734,0.26222309096667673
PP_0030,0.3412161241133764,0.40461209744180215
PP_0052,0.5997340631339255,0.2900811366069185
PP_0058,-0.07862755586459064,0.03381807145630807
PP_0060,0.2190479823999956,0.5766837791366717
PP_0061,0.018167664465294515,0.12689194532083709
PP_0063,0.32408313113892534,0.4128836395277987
PP_0065,-0.5114537809310497,0.6303810357462781
PP_0066,-1.742436378129643,1.5449407529959325
PP_0067,0.5194910120236061,0.8739545907316069
PP_0068,-0.4281844779623369,0.8802180153203426
PP_0070,-0.04371963871250491,0.06473767943434942
PP_0072,0.4330256262703193,0.7694103974271179
PP_0073,0.36874312478122845,0.3500499327445357
PP_0074,-0.6787845662899048,0.8990325857811815
PP_0082,0.4075401926892407,1.2619364196211909
PP_0083,0.15666151154647598,0.8552769140836434
PP_0088,0.8199563947842108,1.6878441491226899
PP_0096,-0.2444533807976298,0.1963227484959993
PP_0100,-0.19176107118139707,0.8251435073201875
PP_0111,-0.7078143630148898,1.1515538970469614
PP_0112,0.47364845951798507,0.8885417073754593
PP_0114,0.19134479891353856,0.6005764676076131
PP_0116,-0.22542230418120487,0.2745998627712924
PP_0121,0.2571712572992348,0.629026666664441
PP_0123,-0.003817635551466735,0.004724790529799975
PP_0124,0.44684634230130676,0.5501900608390772
PP_0126,0.321344360913502,0.35665911235982706
PP_0127,0.4472403236825981,1.1745972970196266
PP_0129,3.756347650792585,1.7466814649962443
