Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0813,R1,4403.7,0.000417709,-3.379126171
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0813,R2,4420.56,0.000456804,-3.340270233
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0813,R3,61999.42,0.005755533,-2.239914454
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0813,R1,713241.3333,0.067653864,-1.169707393
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0813,R2,671062.3333,0.06934503,-1.15898466
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0813,R3,844084,0.078358044,-1.105916413
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0813,R1,558809.2333,0.053005346,-1.275680322
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0813,R2,573047.0333,0.059216501,-1.227557254
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0813,R3,701564.72,0.065127688,-1.18623434
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0813,R1,4403.7,0.000417709,-3.379126171
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0813,R2,4420.56,0.000456804,-3.340270233
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0813,R3,98171.05333,0.00911342,-2.04031863
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0813,R1,472529.6667,0.044821376,-1.348514816
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0813,R2,417627.3333,0.043156021,-1.364958608
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0813,R3,438456.3333,0.040702798,-1.390375734
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0813,R1,325270,0.030853193,-1.510699886
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0813,R2,301159.4,0.031120667,-1.5069511
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0813,R3,433485.7333,0.040241367,-1.395327272
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0813,R1,164319.7,0.015586397,-1.807254262
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0813,R2,72279.82,0.007469122,-2.126730461
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0813,R3,157229.3,0.014595917,-1.8357686
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0813,R1,36580.66667,0.003469826,-2.45969228
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0813,R2,10971.49333,0.001133752,-2.945481779
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0813,R3,13746.99333,0.001276162,-2.894094359
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0813,R1,78660.56667,0.007461277,-2.127186825
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0813,R2,92516.55333,0.009560309,-2.019528078
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0813,R3,77264.38667,0.007172611,-2.14432272
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0813,R1,306255,0.029049542,-1.536860708
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0813,R2,237674.1867,0.024560347,-1.609765506
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0813,R3,311568,0.028923495,-1.538749235
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0813,R1,513337.3333,0.04869215,-1.312541046
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0813,R2,493265.3333,0.050972164,-1.292666929
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0813,R3,512187,0.047547367,-1.32287353
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0813,R1,126195.1333,0.011970126,-1.921901289
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0813,R2,190362.02,0.019671287,-1.706167218
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0813,R3,125669.7733,0.011666182,-1.933071249
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0813,R1,13566.9,0.001286876,-2.890463272
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0813,R2,110478.4867,0.011416427,-1.942469806
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0813,R3,18972.64,0.001761269,-2.754174315
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0813,R1,189861.4667,0.018009138,-1.744507064
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0813,R2,135930.42,0.014046533,-1.852430864
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0813,R3,147302.92,0.013674431,-1.864090725
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0813,R1,525521.3,0.04984785,-1.302353573
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0813,R2,412947.04,0.042672377,-1.369853165
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0813,R3,410666.1067,0.038122975,-1.41881322
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0813,R1,21970.63333,0.002084005,-2.68110132
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0813,R2,23286.08,0.002406295,-2.618651138
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0813,R3,9998.6,0.00092819,-3.032362887
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0813,R1,52273.7,0.004958375,-2.304660655
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0813,R2,81893.98667,0.008462613,-2.072495509
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0813,R3,51456.94,0.004776853,-2.320858125
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0813,R1,131957.5667,0.012516716,-1.902509597
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0813,R2,120547.8533,0.012456957,-1.904588042
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0813,R3,98709.10667,0.009163368,-2.03794486
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0813,R1,90005.93333,0.008537432,-2.068672756
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0813,R2,56459.37333,0.005834297,-2.234011469
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0813,R3,83063.77333,0.00771098,-2.112890425
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0813,R1,4403.7,0.000417709,-3.379126171
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0813,R2,17278.77333,0.001785523,-2.748234615
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0813,R3,39773.38667,0.003692245,-2.432709509
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0813,R1,78782.1,0.007472805,-2.126516343
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0813,R2,43961.04,0.004542767,-2.342679565
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0813,R3,84974.38667,0.007888346,-2.103014043
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0813,R1,97466.23333,0.009245072,-2.034089713
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0813,R2,77324.68667,0.007990439,-2.097429354
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0813,R3,59306.35333,0.00550553,-2.25920086
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0813,R1,51784.46667,0.004911969,-2.308744388
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0813,R2,36634.02,0.00378562,-2.421862945
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0813,R3,42532.44,0.003948373,-2.403581783
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0813,R1,180179.9,0.017090802,-1.767237554
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0813,R2,151473.1867,0.015652663,-1.805411761
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0813,R3,204856.0533,0.019017206,-1.72085328
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0813,R1,259460.6667,0.024610908,-1.608872366
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0813,R2,105654.52,0.010917936,-1.961859442
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0813,R3,114685.72,0.01064651,-1.972792736
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0813,R1,405931.3333,0.038504251,-1.414491321
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0813,R2,309161.6667,0.031947591,-1.495561883
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0813,R3,441784.3333,0.041011743,-1.38709177
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0813,R1,120302.2667,0.011411163,-1.942670086
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0813,R2,265884.1,0.027475452,-1.561055156
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0813,R3,144835.7867,0.013445402,-1.871426199
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0813,R1,643654.6667,0.061053284,-1.214290973
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0813,R2,599797.6667,0.06198081,-1.207742751
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0813,R3,649113,0.060258487,-1.219981774
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0813,R1,185049.3333,0.017552688,-1.755656371
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0813,R2,164907.1867,0.017040882,-1.76850794
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0813,R3,188389.3867,0.017488572,-1.757245649
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0813,R1,198395.9,0.018818664,-1.725411203
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0813,R2,204632.52,0.021145947,-1.67477287
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0813,R3,197647.3867,0.018348011,-1.736411005
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0813,R1,934966,0.088685358,-1.052148078
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0813,R2,741829,0.076657788,-1.115443716
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0813,R3,904042.6667,0.08392413,-1.076113154
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0813,R1,101404.0333,0.009618588,-2.016888666
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0813,R2,93849.12,0.009698011,-2.013317318
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0813,R3,140453.0333,0.013038542,-1.884770958
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0813,R1,100175.0667,0.009502016,-2.022184256
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0813,R2,77920.78667,0.008052038,-2.094094194
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0813,R3,71009.22,0.006591931,-2.180987339
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0813,R1,358925.9,0.034045593,-1.467939098
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0813,R2,335179.1867,0.034636143,-1.46047048
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0813,R3,332839.72,0.030898192,-1.510066933
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0813,R1,32686666.67,3.100464324,0.491426738
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0813,R2,24963333.33,2.579615947,0.411555053
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0813,R3,30400000,2.822094176,0.450571502
P00761,TRYP_PIG,Nan,Trypsin,PP_0813,R1,4460484,0.423095192,-0.37356191
P00761,TRYP_PIG,Nan,Trypsin,PP_0813,R2,3742113.667,0.386695797,-0.412630548
P00761,TRYP_PIG,Nan,Trypsin,PP_0813,R3,4278167.333,0.397151023,-0.401044314
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0813,R1,4403.7,0.000417709,-3.379126171
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0813,R2,100872.8533,0.010423817,-1.981973217
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0813,R3,25566.64,0.002373403,-2.624628425
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0813,R1,199784.8333,0.01895041,-1.72238138
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0813,R2,186824.1,0.019305692,-1.714314624
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0813,R3,172399.0333,0.016004155,-1.795767255
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0813,R1,192147,0.018225931,-1.739310288
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0813,R2,202949.3333,0.020972012,-1.678359894
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0813,R3,167748.3333,0.015572421,-1.807643867
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0813,R1,858017.5667,0.081386483,-1.089447716
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0813,R2,849112.1867,0.087744025,-1.056782449
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0813,R3,829615.3867,0.077014893,-1.113425283
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0813,R1,221007.8333,0.020963499,-1.678536229
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0813,R2,132056.6733,0.013646234,-1.86498717
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0813,R3,125249.44,0.011627162,-1.934526288
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0813,R1,578124.9,0.054837517,-1.260922221
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0813,R2,250880.7067,0.025925058,-1.586280259
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0813,R3,537726.72,0.049918271,-1.301740464
