Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,R1,2722596.667,0.058931605,-1.229651729
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,R2,3120000,0.066985007,-1.174022391
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,R3,3032576.333,0.065750942,-1.182098019
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R1,2728404.333,0.054580764,-1.262960392
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R2,3943333.333,0.081425388,-1.089240162
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R3,4443333.333,0.094294729,-1.025512585
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,R1,3990000,0.086365016,-1.063662142
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,R2,3240656.933,0.069575458,-1.157543927
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,R3,4092519,0.088732138,-1.051919056
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R1,2982306.333,0.059659983,-1.224316871
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R2,2627725.4,0.054259567,-1.265523673
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R3,2660202.333,0.056453801,-1.248306809
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,R1,1926666.667,0.041703408,-1.379828454
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,R2,2086666.667,0.044799802,-1.348723907
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,R3,2166666.667,0.046976682,-1.328117659
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R1,1690000,0.033807852,-1.470982418
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R2,2043333.333,0.04219253,-1.374764432
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R3,1856666.667,0.039401473,-1.404487539
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,R1,2152538.667,0.04659249,-1.331684076
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,R2,2458821.667,0.052789804,-1.277449954
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,R3,1230253.367,0.026673795,-1.573915199
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R1,2718694.333,0.054386519,-1.26450874
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R2,2320357.667,0.04791277,-1.319548719
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R3,2125549.667,0.045107606,-1.345750222
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R1,421722.4667,0.009128338,-2.039608299
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R2,837625.6,0.017983448,-1.745127043
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R3,1001024.667,0.021703762,-1.663464982
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R1,943443.1667,0.018873247,-1.724153379
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R2,1004880.667,0.020749653,-1.682989162
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R3,1104197.667,0.023432863,-1.630174654
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R1,14357.2,0.000310767,-3.507565287
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R2,15985.4,0.000343199,-3.464453477
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R3,11843.1,0.000256777,-3.590444364
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R1,362937.6667,0.00726044,-2.139037079
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R2,251420,0.00519154,-2.28470383
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R3,163873.2,0.003477655,-2.458713545
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R1,403853.4,0.008741555,-2.058411294
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R2,246090.4667,0.005283452,-2.277082195
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R3,229244.7,0.004970379,-2.303610457
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R1,305873.8333,0.006118898,-2.213326796
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R2,480085,0.009913214,-2.003785515
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R3,348255.2,0.007390539,-2.131323869
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R1,1191858.667,0.025798219,-1.588410279
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R2,975328.4667,0.020939867,-1.679026085
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R3,1013038,0.02196423,-1.658284024
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R1,1008000.667,0.020164697,-1.695408303
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R2,705265.7333,0.014562942,-1.836750869
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R3,1240091.333,0.026316746,-1.579767807
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R1,1280308.333,0.027712744,-1.557320465
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R2,1013002.333,0.021748708,-1.662566539
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R3,555389.7,0.012041707,-1.91931194
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R1,1268714.333,0.025380182,-1.595505276
