Line Name,Measurement Type,Value,Time,Units
PP_0751,sp|A0A140FVX7,7772.94,24,counts
PP_0751,sp|A0A140FW50,7772.94,24,counts
PP_0751,sp|A0A140FW85,7772.94,24,counts
PP_0751,sp|P63165,7772.94,24,counts
PP_0751,sp|Q88C52,7772.94,24,counts
PP_0751,sp|Q88C61,7772.94,24,counts
PP_0751,sp|Q88C71,7772.94,24,counts
PP_0751,sp|Q88CF5,7772.94,24,counts
PP_0751,sp|Q88CL6,7772.94,24,counts
PP_0751,sp|Q88CP8,7772.94,24,counts
PP_0751,sp|Q88CS9,7772.94,24,counts
PP_0751,sp|Q88CT4,7772.94,24,counts
PP_0751,sp|Q88CX8,7772.94,24,counts
PP_0751,sp|Q88D10,7772.94,24,counts
PP_0751,sp|Q88D33,7772.94,24,counts
PP_0751,sp|Q88D38,7772.94,24,counts
PP_0751,sp|Q88D65,7772.94,24,counts
PP_0751,sp|Q88D86,7772.94,24,counts
PP_0751,sp|Q88DG7,7772.94,24,counts
PP_0751,sp|Q88DJ7,7772.94,24,counts
PP_0751,sp|Q88DK4,7772.94,24,counts
PP_0751,sp|Q88DN9,7772.94,24,counts
PP_0751,sp|Q88DX0,7772.94,24,counts
PP_0751,sp|Q88E09,7772.94,24,counts
PP_0751,sp|Q88E25,7772.94,24,counts
PP_0751,sp|Q88E37,7772.94,24,counts
PP_0751,sp|Q88E52,7772.94,24,counts
PP_0751,sp|Q88E73,7772.94,24,counts
PP_0751,sp|Q88E92,7772.94,24,counts
PP_0751,sp|Q88EA5,7772.94,24,counts
PP_0751,sp|Q88EG3,7772.94,24,counts
PP_0751,sp|Q88EG8,7772.94,24,counts
PP_0751,sp|Q88EI1,7772.94,24,counts
PP_0751,sp|Q88EU4,7772.94,24,counts
PP_0751,sp|Q88EZ2,7772.94,24,counts
PP_0751,sp|Q88F03,7772.94,24,counts
PP_0751,sp|Q88FF1,7772.94,24,counts
PP_0751,sp|Q88FH7,7772.94,24,counts
PP_0751,sp|Q88FI2,7772.94,24,counts
PP_0751,sp|Q88FJ6,7772.94,24,counts
PP_0751,sp|Q88FJ8,7772.94,24,counts
PP_0751,sp|Q88FW9,7772.94,24,counts
PP_0751,sp|Q88FZ2,7772.94,24,counts
PP_0751,sp|Q88G30,7772.94,24,counts
PP_0751,sp|Q88G97,7772.94,24,counts
PP_0751,sp|Q88GD8,7772.94,24,counts
PP_0751,sp|Q88GI4,7772.94,24,counts
PP_0751,sp|Q88GK1,7772.94,24,counts
PP_0751,sp|Q88GU0,7772.94,24,counts
PP_0751,sp|Q88GU4,7772.94,24,counts
PP_0751,sp|Q88H30,7772.94,24,counts
PP_0751,sp|Q88H61,7772.94,24,counts
PP_0751,sp|Q88HC5,7772.94,24,counts
