Protein.Group,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
MM_1762,1.1035585288333334,0.6782222468888889,-0.7023331338783153,6.575630616723638e-05,4.182062591092145
PP_0001,0.01981787925,0.02148775166666667,0.11671195162113357,0.46106225232339393,0.33624043249479274
PP_0002,0.0098390045,0.005653007333333333,-0.7994937840774191,0.14457611063873438,0.8399034627461659
PP_0003,0.023146708333333335,0.014830794222222221,-0.6422111846666325,0.0005533629838497323,3.2569898955157646
PP_0004,0.013554988333333332,0.014481955888888889,0.09543259012113758,0.4678753492282314,0.3298698357143644
PP_0005,0.009478994833333334,0.009715933777777777,0.03561857511971554,0.9343164628744278,0.02950599871466391
PP_0006,0.04287341783333334,0.03689175511111111,-0.21678500586313956,0.07963175671140652,1.098913703441712
PP_0010,0.015137055416666668,0.02841321288888889,0.9084773889612218,4.019872807101911e-05,4.395787688220923
PP_0011,0.06837710808333333,0.08957585344444445,0.38959647670804815,0.024603087007380085,1.6090103975243153
PP_0013,0.03824601241666666,0.04619778955555556,0.2725144858545399,0.0039724966790068246,2.4009364571890823
PP_0017,0.04351399616666667,0.03169414666666667,-0.4572630894223516,0.0010031003888862902,2.998655601219206
PP_0018,0.04452126816666666,0.036158201555555554,-0.30017176527181355,0.022859014378791388,1.640942499184841
PP_0019,0.004735565583333334,0.0026211888888888887,-0.8533154202128171,0.10130076316912365,0.9943872827849252
PP_0020,0.006147308083333333,0.003171621777777778,-0.9547340530845023,0.020871132461753466,1.6804539855992706
PP_0030,0.0014462780833333336,0.015003631444444443,3.374894851099012,0.004090479425997945,2.388225787380646
PP_0052,0.0172110265,0.009472575222222222,-0.8615045487482941,0.029746237544953317,1.5265679582312295
PP_0060,0.09440404299999999,0.13982596644444445,0.566711750247087,2.1684621441372726e-08,7.663848155131911
PP_0061,0.06931240633333334,0.056398535666666666,-0.29745590073024597,0.062459845689720905,1.2043990930514734
PP_0063,0.0058080520833333335,0.0035495039999999998,-0.7104369510449399,0.061734446133296976,1.2094724438878734
PP_0065,0.012532432833333334,0.05038993922222222,2.007469214082121,0.016869117787805366,1.7729076293199706
PP_0066,0.0062942214166666665,0.006349733111111111,0.012668024182167392,0.9807219186955456,0.008454118304383171
PP_0067,0.019136588,0.022937378222222225,0.2613668742337294,0.32308262577239855,0.49068639615770987
PP_0068,0.020915808499999997,0.026942591333333335,0.36529484921260813,0.008531907126109625,2.0689538807000623
PP_0070,0.0091465005,0.010167991333333333,0.1527429345367823,0.4309741573324668,0.36554877082394344
PP_0072,0.025761508833333335,0.03936755688888889,0.611790089512936,0.00844339860422294,2.073482707643964
PP_0073,0.021508594416666665,0.019915199333333335,-0.1110433280812553,0.6929510276099307,0.15929745686048613
PP_0074,0.00960386875,0.016671492222222223,0.795695649596773,0.0019078147332250964,2.719463801667889
PP_0082,0.07670474766666667,0.06841618188888889,-0.16497828292108074,0.08084292138593784,1.0923580009599492
PP_0083,0.17689075325,0.15638116222222223,-0.17779189974544177,0.08895088898755148,1.0508497071589342
PP_0088,0.017461431083333333,0.019223916555555554,0.13873048884036399,0.5098646269710552,0.29254511716405107
PP_0096,0.05559658858333333,0.06091567466666666,0.1318171448874146,0.592602059788772,0.2272368433160708
PP_0100,0.10581652133333334,0.11415542033333333,0.10943446756674693,0.43632935983197796,0.36018556312132066
PP_0111,0.010653323833333334,0.017680156444444442,0.7308274195660794,0.0001878369191357655,3.726219043586809
PP_0112,0.02113141275,0.03506723,0.7307342524690399,0.0006770313426373905,3.1693912255255126
PP_0114,0.018963135500000002,0.017797773444444442,-0.0915007624963084,0.6793463103943413,0.16790877895677522
PP_0116,0.019633789250000002,0.013668401,-0.5224941556646414,0.005325446787494711,2.273643950480068
PP_0121,0.02674498058333333,0.034660074666666665,0.3740066061375284,0.0010080983969009522,2.9964970758810363
PP_0123,0.01829020625,0.028918407555555557,0.6609167660955475,0.0004556176025953626,3.341399505483288
PP_0124,0.012382127666666666,0.02201916866666667,0.8305007615403369,0.001805620349813098,2.743373559290433
PP_0126,0.0146244715,0.011116852,-0.3956361768255052,0.16598128635155454,0.7799408739623159
PP_0127,0.036392478666666665,0.021188864555555558,-0.7803340351890747,0.004438388393009999,2.35277469634453
PP_0129,0.015700675666666667,0.07388929422222222,2.234538702510483,0.0802438481255541,1.095588252724164
