Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0368,R1,145340198.3,3.743715496,0.573302837
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0368,R2,114795133,2.975157211,0.473509919
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0368,R3,131718946.7,3.48371531,0.542042657
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0368,R1,27503595.27,0.708445681,-0.149693443
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0368,R2,12528307.53,0.324697429,-0.488521151
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0368,R3,22469903.28,0.594286153,-0.226004389
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0368,R1,485086,0.012494988,-1.903264171
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0368,R2,119963.3667,0.003109103,-2.507364911
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0368,R3,138378.9267,0.003659859,-2.436535634
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0368,R1,802377.2667,0.020667869,-1.684704296
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0368,R2,831345.7333,0.021546072,-1.666631884
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0368,R3,826448.28,0.021857983,-1.660389912
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0368,R1,931365.6,0.023990389,-1.619962718
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0368,R2,925573.3333,0.023988179,-1.620002723
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0368,R3,965060,0.025523999,-1.593051277
P0A120,DPO3B_PSEPK,Dnan,DNA polymerase III subunit beta,PP_0368,R1,3850261.933,0.099176177,-1.003592636
P0A120,DPO3B_PSEPK,Dnan,DNA polymerase III subunit beta,PP_0368,R2,4089063,0.105976664,-0.974789754
P0A120,DPO3B_PSEPK,Dnan,DNA polymerase III subunit beta,PP_0368,R3,4053592.333,0.107209798,-0.969765522
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0368,R1,912285.8667,0.023498927,-1.628951965
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0368,R2,994778.2,0.025781768,-1.588687297
