Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R1,281507.26
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R2,16331.52
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R3,113425.57
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R1,2984734.89
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R2,2668172.64
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R3,2041477.07
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R1,4372293.73
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R2,3802600.74
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R3,3778238.66
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,PP_0815,R1,116135
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,PP_0815,R2,99718.7
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,PP_0815,R3,5749.29
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R1,417043
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R2,266410.38
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R3,17247.87
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,PP_0815,R1,29085.5
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,PP_0815,R2,28212.7
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,PP_0815,R3,5749.29
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R1,4892165.5
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R2,4851135.6
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R3,5601547
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R1,2888941.77
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R2,3271866.94
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R3,3438023.15
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R1,397218.86
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R2,474174.36
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R3,537374.29
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,PP_0815,R1,290335.8
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,PP_0815,R2,266408.9
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,PP_0815,R3,11498.58
A0A140FW12,A0A140FW12_PSEPK,Pp_5463,Uncharacterized protein,PP_0815,R1,4932.63
A0A140FW12,A0A140FW12_PSEPK,Pp_5463,Uncharacterized protein,PP_0815,R2,4082.88
A0A140FW12,A0A140FW12_PSEPK,Pp_5463,Uncharacterized protein,PP_0815,R3,5749.29
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,PP_0815,R1,4932.63
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,PP_0815,R2,113288
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,PP_0815,R3,132407
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R1,141900.12
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R2,147679.22
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R3,237807.07
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R1,373325.63
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R2,111861.54
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R3,181706.58
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R1,1604858.95
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R2,1718971.22
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R3,1708599.37
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,PP_0815,R1,4932.63
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,PP_0815,R2,4082.88
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,PP_0815,R3,127111
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R1,1552410.39
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R2,1601138.36
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R3,1696703.29
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0815,R1,434188.79
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0815,R2,1497280.56
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0815,R3,495649.37
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0815,R1,47372.46
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0815,R2,356471.38
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0815,R3,359016.89
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,PP_0815,R1,30597.7
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,PP_0815,R2,47430.1
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,PP_0815,R3,29419.8
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R1,677955.23
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R2,595952.68
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R3,553531.58
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,PP_0815,R1,187649
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,PP_0815,R2,218079
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,PP_0815,R3,169981
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0815,R1,1709865.26
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0815,R2,1708165.76
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0815,R3,1721498.58
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R1,39461.04
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R2,32663.04
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R3,101057.43
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R1,340216.16
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R2,327393.36
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R3,117169.86
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R1,462348.33
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R2,378220.88
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R3,463891.39
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R1,330032.49
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R2,468081.78
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R3,208150.67
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,PP_0815,R1,45891.9
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,PP_0815,R2,41523.9
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,PP_0815,R3,5749.29
A0A140FWI6,A0A140FWI6_PSEPK,Pp_5633,Uncharacterized protein,PP_0815,R1,145479.63
A0A140FWI6,A0A140FWI6_PSEPK,Pp_5633,Uncharacterized protein,PP_0815,R2,8165.76
A0A140FWI6,A0A140FWI6_PSEPK,Pp_5633,Uncharacterized protein,PP_0815,R3,11498.58
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0815,R1,256627.33
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0815,R2,143088.76
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0815,R3,86785.87
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R1,264487.13
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R2,408704.88
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R3,453472.1
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R1,99512.06
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R2,94027.86
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R3,392164
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0815,R1,128520.96
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0815,R2,194611.46
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0815,R3,111375.87
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R1,188762.63
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R2,185181.88
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R3,214935.3
A0A140FWK9,A0A140FWK9_PSEPK,Pp_5659,Uncharacterized protein,PP_0815,R1,4932.63
A0A140FWK9,A0A140FWK9_PSEPK,Pp_5659,Uncharacterized protein,PP_0815,R2,4082.88
A0A140FWK9,A0A140FWK9_PSEPK,Pp_5659,Uncharacterized protein,PP_0815,R3,5749.29
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R1,872942.63
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R2,838314.2
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R3,518614.29
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R1,549660.38
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R2,1040348.9
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R3,951455.66
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,PP_0815,R1,45230.6
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,PP_0815,R2,25603.7
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,PP_0815,R3,14857.2
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R1,984878.22
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R2,630898
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R3,781869.55
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R1,648259.58
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R2,484397.18
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R3,206963.61
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R1,2296556
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R2,2403667
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R3,2000735
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R1,501399.29
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R2,363849.52
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R3,485057.87
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R1,801728.1
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R2,807875.88
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R3,530250.29
A0A140FWR3,A0A140FWR3_PSEPK,Pp_5710,Lipoprotein,PP_0815,R1,4932.63
A0A140FWR3,A0A140FWR3_PSEPK,Pp_5710,Lipoprotein,PP_0815,R2,4082.88
A0A140FWR3,A0A140FWR3_PSEPK,Pp_5710,Lipoprotein,PP_0815,R3,5749.29
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R1,8383394.75
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R2,8884900.52
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R3,9257267.78
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R1,474108.12
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R2,539858.62
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R3,580023.96
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R1,338030.53
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R2,364848.26
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R3,380452.09
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,PP_0815,R1,79228.9
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,PP_0815,R2,76734.3
