Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R1,332309.44
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R2,89579.46
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R3,143376.946
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R1,3354627.46
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R2,3588463.94
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R3,3402162.333
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R1,1800507.34
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R2,1652029.98
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R3,1317911.403
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,PP_0815,R1,93013.7
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,PP_0815,R2,105857
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,PP_0815,R3,110065
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R1,85498.56
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R2,346583.4
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R3,304997.873
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,PP_0815,R1,18490
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,PP_0815,R2,5891.42
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,PP_0815,R3,660.873
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R1,5559242.5
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R2,4632429.66
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R3,4997765.238
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R1,4791151.36
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R2,4341698.62
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R3,4834605.446
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R1,204476.34
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R2,363540.24
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R3,266539.446
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,PP_0815,R1,74354.7
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,PP_0815,R2,99066.2
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,PP_0815,R3,78189.4
A0A140FW12,A0A140FW12_PSEPK,Pp_5463,Uncharacterized protein,PP_0815,R1,5753.48
A0A140FW12,A0A140FW12_PSEPK,Pp_5463,Uncharacterized protein,PP_0815,R2,5891.42
A0A140FW12,A0A140FW12_PSEPK,Pp_5463,Uncharacterized protein,PP_0815,R3,660.873
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,PP_0815,R1,97942.7
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,PP_0815,R2,110666
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,PP_0815,R3,129308
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R1,89584.3
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R2,240690.1
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R3,70356.865
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R1,252440.88
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R2,91944.86
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R3,284883.573
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R1,1703442.02
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R2,1581922.08
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R3,1626603.446
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,PP_0815,R1,99450.2
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,PP_0815,R2,67382.5
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,PP_0815,R3,74123.1
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R1,1099933.66
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R2,973126.36
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R3,1107886.746
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0815,R1,362445.92
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0815,R2,490020.68
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0815,R3,995648.446
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0815,R1,703069.1
