Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0368_PP_0751_PP_0813_PP_0815,R1,1108449.467,0.020747642,-1.683031258
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0368_PP_0751_PP_0813_PP_0815,R2,797726.9333,0.014830408,-1.828846887
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0368_PP_0751_PP_0813_PP_0815,R3,1178383.933,0.021620983,-1.665124566
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0812_PP_0815,R1,3036995.533,0.063935467,-1.194258157
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0812_PP_0815,R2,2629607.033,0.054930982,-1.260182637
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0812_PP_0815,R3,1452568.7,0.033628406,-1.473293722
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0813_PP_0815,R1,3793333.333,0.073198603,-1.135497206
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0813_PP_0815,R2,1185687.7,0.022878747,-1.640567767
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0813_PP_0815,R3,1107589.067,0.023085099,-1.636668255
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0815,R1,2961216.433,0.060913323,-1.215287709
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0815,R2,2739585.933,0.05625281,-1.249855777
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0528_PP_0751_PP_0815,R3,2572623.533,0.052288256,-1.281595843
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0751_PP_0813_PP_0815,R1,3780000,0.082351787,-1.08432697
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0751_PP_0813_PP_0815,R2,3346666.667,0.074037679,-1.130547203
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0751_PP_0813_PP_0815,R3,2537289.933,0.052585688,-1.279132439
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0368_PP_0751_PP_0813_PP_0815,R1,661727.7333,0.012386031,-1.90706782
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0368_PP_0751_PP_0813_PP_0815,R2,2400598,0.044629117,-1.350381703
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0368_PP_0751_PP_0813_PP_0815,R3,621561.9667,0.011404416,-1.942926946
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0812_PP_0815,R2,2082547.4,0.04350322,-1.361478595
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0812_PP_0815,R3,554158.7333,0.012829324,-1.891796222
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0813_PP_0815,R1,880444.7333,0.016989629,-1.769816114
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0813_PP_0815,R2,1867349.667,0.036031933,-1.443312433
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0813_PP_0815,R3,975732.8667,0.020336866,-1.691715981
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0815,R1,2546194.1,0.052376159,-1.280866353
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0815,R2,2412505.2,0.049536755,-1.305072447
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0528_PP_0751_PP_0815,R3,1974537.267,0.040132226,-1.396506746
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0751_PP_0813_PP_0815,R2,1985864.933,0.043932918,-1.357209954
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0751_PP_0813_PP_0815,R3,1885203.133,0.039071098,-1.408144382
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0368_PP_0751_PP_0813_PP_0815,R3,1106863.967,0.020308735,-1.692317129
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0528_PP_0751_PP_0812_PP_0815,R1,596240.8667,0.012552188,-1.901280571
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0751_PP_0813_PP_0815,R1,820709.4667,0.01788013,-1.747629327
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0368_PP_0751_PP_0813_PP_0815,R1,2550000,0.047730175,-1.321206976
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0368_PP_0751_PP_0813_PP_0815,R2,2606666.667,0.048460106,-1.314615644
