Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,Control,R1,120560.51
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,Control,R2,123779.35
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,Control,R3,6187.88
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control,R1,1417201.03
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control,R2,1492401.35
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control,R3,1358619.76
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control,R1,64163.22
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control,R2,249915.7
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control,R3,109850.58
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,Control,R1,30608.3
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,Control,R2,38015
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,Control,R3,29685.1
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control,R1,211012.22
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control,R2,275170.65
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control,R3,161231.64
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,Control,R1,2958.51
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,Control,R2,3861.35
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,Control,R3,3093.94
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control,R1,2232353.39
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control,R2,1759495.5
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control,R3,1920080.18
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control,R1,1291351.83
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control,R2,1683771.05
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control,R3,1233986.08
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,Control,R1,287850.91
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,Control,R2,393471.25
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,Control,R3,264717.74
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,Control,R1,220169
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,Control,R2,207085.6
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,Control,R3,224207.2
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,Control,R1,2958.51
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,Control,R2,48118.8
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,Control,R3,39724.2
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,Control,R1,11834.04
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,Control,R2,15445.4
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,Control,R3,12375.76
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,Control,R1,99071.41
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,Control,R2,51339.3
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,Control,R3,86395.24
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,Control,R1,837675.92
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,Control,R2,693800.7
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,Control,R3,814830.88
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,Control,R1,54312.7
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,Control,R2,44892.5
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,Control,R3,55749.7
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,Control,R1,204164.31
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,Control,R2,261263.6
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,Control,R3,254454.74
A0A140FW37,A0A140FW37_PSEPK,Pp_5483,DUF4145 domain-containing protein,Control,R1,5917.02
A0A140FW37,A0A140FW37_PSEPK,Pp_5483,DUF4145 domain-containing protein,Control,R2,36079.85
A0A140FW37,A0A140FW37_PSEPK,Pp_5483,DUF4145 domain-containing protein,Control,R3,17081.04
A0A140FW41,A0A140FW41_PSEPK,Pp_5487,Uncharacterized protein,Control,R1,77249.7
A0A140FW41,A0A140FW41_PSEPK,Pp_5487,Uncharacterized protein,Control,R2,3861.35
A0A140FW41,A0A140FW41_PSEPK,Pp_5487,Uncharacterized protein,Control,R3,74840.1
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,Control,R1,92658.61
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,Control,R2,414618.3
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,Control,R3,86256.65
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,Control,R1,25925.72
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,Control,R2,31320.3
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,Control,R3,101708.74
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,Control,R1,2958.51
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,Control,R2,3861.35
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,Control,R3,3093.94
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,Control,R1,433562.41
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,Control,R2,436849.25
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,Control,R3,470012.94
A0A140FW71,A0A140FW71_PSEPK,Pp_5516,Uncharacterized protein,Control,R1,5917.02
A0A140FW71,A0A140FW71_PSEPK,Pp_5516,Uncharacterized protein,Control,R2,7722.7
A0A140FW71,A0A140FW71_PSEPK,Pp_5516,Uncharacterized protein,Control,R3,6187.88
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,Control,R1,72111.3
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,Control,R2,109498
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,Control,R3,86789.3
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,Control,R1,5917.02
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,Control,R2,40464.25
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,Control,R3,6187.88
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",Control,R1,34933.35
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",Control,R2,50858.05
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",Control,R3,40934.9
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,Control,R1,231588.21
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,Control,R2,229037.05
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,Control,R3,266898.7
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,Control,R1,204554.21
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,Control,R2,213896.15
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,Control,R3,221458.6
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,Control,R1,112827.34
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,Control,R2,162121.7
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,Control,R3,91691.22
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,Control,R1,2958.51
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,Control,R2,3861.35
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,Control,R3,10694.6
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,Control,R1,40430.82
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,Control,R2,11584.05
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,Control,R3,54004.94
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,Control,R1,114091.02
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,Control,R2,37843.15
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,Control,R3,88429.78
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,Control,R1,40762.51
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,Control,R2,21992.75
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,Control,R3,87925.4
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,Control,R1,25689.92
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,Control,R2,11584.05
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,Control,R3,9281.82
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,Control,R1,155516
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,Control,R2,138600
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,Control,R3,92407.2
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,Control,R1,2958.51
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,Control,R2,3861.35
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,Control,R3,3093.94
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,Control,R1,435028.2
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,Control,R2,480565.3
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,Control,R3,500963.7
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,Control,R1,748276.92
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,Control,R2,430207.7
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,Control,R3,541482.26
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,Control,R1,26006.3
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,Control,R2,25649.9
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,Control,R3,3093.94
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,Control,R1,727528.41
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,Control,R2,633883.3
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,Control,R3,673839.28
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,Control,R1,528373.52
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,Control,R2,267258.7
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,Control,R3,485489.98
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,Control,R1,716435.62
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,Control,R2,1040089.4
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,Control,R3,797265.64
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,Control,R1,365481.24
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,Control,R2,410220.1
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,Control,R3,306774.86
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,Control,R1,564553
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,Control,R2,570404
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,Control,R3,501798
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,Control,R1,4620436.04
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,Control,R2,5002541
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,Control,R3,4869044.32
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,Control,R1,476736.02
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,Control,R2,269457.1
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,Control,R3,233254.66
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,Control,R1,222513.27
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,Control,R2,199365
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,Control,R3,158184.02
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,Control,R1,70942.81
