Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,Control,R1,0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,Control,R2,95275.64
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,Control,R3,174801
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control,R1,1269853.8
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control,R2,1113619.86
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control,R3,1316461.4
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control,R1,49405.8
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control,R2,20260.8
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control,R3,0
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,Control,R1,29884.1
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,Control,R2,18321.5
A0A140FVX7,A0A140FVX7_PSEPK,Pp_5431,Tryptophan synthase subunit beta,Control,R3,47083.6
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control,R1,237849.7
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control,R2,48869.88
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control,R3,141428.7
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,Control,R1,0
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,Control,R2,1013.04
A0A140FVY3,A0A140FVY3_PSEPK,Pp_5439,Uncharacterized protein,Control,R3,12661.6
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control,R1,2130759.5
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control,R2,1841221.94
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control,R3,2053865.55
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control,R1,1503738.5
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control,R2,1045202.82
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control,R3,1220978
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,Control,R1,191125.9
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,Control,R2,134939.18
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,Control,R3,212870.5
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,Control,R1,266760.7
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,Control,R2,172022.5
A0A140FW08,A0A140FW08_PSEPK,Pp_5458,Secreted protein,Control,R3,265192
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,Control,R1,50709.2
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,Control,R2,1013.04
A0A140FW13,A0A140FW13_PSEPK,Pp_5464,Uncharacterized protein,Control,R3,0
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,Control,R1,0
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,Control,R2,4052.16
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,Control,R3,0
