Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2628053,0.052302493,-1.28147761,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,3340000,0.065773424,-1.181949551,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,3053333.333,0.060759906,-1.216382907,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2746542,0.05155857,-1.287699134,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2872089,0.05531818,-1.25713212,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2496497.333,0.051134839,-1.291283109,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,1899181.967,0.037072519,-1.430947904,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,1619359.78,0.031619246,-1.500048488,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2415458.333,0.048237849,-1.316612066,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2839164.333,0.058669982,-1.231584042,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2454713.667,0.050506512,-1.296652625,Control
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,2883584.667,0.069479563,-1.158142924,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,27626.4,0.00054981,-3.259787434,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,110662.7467,0.002179242,-2.661694573,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,121764.2667,0.002423052,-2.615637268,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,34204.83333,0.000642099,-3.1923979,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,84126.6,0.001620329,-2.790396677,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,62326.73333,0.001276616,-2.893939851,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,446392.2333,0.008713691,-2.059797852,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,57845.11667,0.00112947,-2.947125135,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,472434.2333,0.009434736,-2.025270256,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,32766.8,0.00067711,-3.169340542,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,11707.1,0.000240877,-3.618204137,Control
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,181883,0.004382445,-2.358283523,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1663333.333,0.033103016,-1.480132439,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,2130000,0.041945327,-1.377316415,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1803333.333,0.03588549,-1.445081116,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1980000,0.037168909,-1.429820188,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,2170000,0.041795519,-1.37887028,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1716666.667,0.035161853,-1.453928242,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1853333.333,0.036177542,-1.441560945,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1906666.667,0.037229134,-1.429117062,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1856666.667,0.037078514,-1.430877675,Control
