Nontarget_abundance,Measurement Type,target_abundance,log2_change,p_value,log10_p_value
,MM_1762,3198002.533333333,,,
,PP_0001,2289779.966666667,,,
,PP_0002,1225224.4000000001,,,
,PP_0003,2118453.1999999997,,,
,PP_0004,2255006.533333333,,,
,PP_0005,3801149.533333333,,,
,PP_0006,12650985.5,,,
,PP_0008,232777.0,,,
,PP_0009,7142986.266666667,,,
,PP_0010,10879023.4,,,
,PP_0011,28417415.733333334,,,
,PP_0013,26031711.8,,,
,PP_0017,3981925.8000000003,,,
,PP_0018,6823965.2,,,
,PP_0019,620180.95,,,
,PP_0020,358769.7,,,
,PP_0029,571616.2666666667,,,
,PP_0030,3205434.8,,,
,PP_0046,170163.0,,,
,PP_0052,6302806.0,,,
,PP_0058,1892561.8,,,
,PP_0059,543317.5333333333,,,
,PP_0060,63449481.4,,,
,PP_0061,13840044.133333333,,,
,PP_0063,810249.5333333333,,,
,PP_0065,8543990.933333334,,,
,PP_0066,974773.5333333333,,,
,PP_0067,3704443.0666666664,,,
,PP_0068,3145141.3333333335,,,
,PP_0070,1400888.6666666667,,,
,PP_0072,16328220.666666666,,,
,PP_0073,6335576.666666667,,,
,PP_0074,2151900.1333333333,,,
,PP_0082,8648315.333333334,,,
,PP_0083,21082169.633333333,,,
,PP_0085,308751.7,,,
,PP_0086,532625.2,,,
,PP_0088,7976733.399999999,,,
,PP_0096,47824264.666666664,,,
,PP_0100,12507052.466666667,,,
,PP_0111,3506894.0,,,
,PP_0112,10455840.866666667,,,
,PP_0114,3352393.4,,,
,PP_0116,2856138.8666666667,,,
,PP_0119,228027.33333333334,,,
,PP_0121,4041788.733333333,,,
,PP_0122,762477.4666666667,,,
,PP_0123,23005084.066666666,,,
,PP_0124,5031860.133333334,,,
,PP_0126,4308502.266666667,,,
,PP_0127,6967266.933333334,,,
,PP_0129,6080692.9,,,
,PP_0130,1417470.1333333335,,,
,PP_0133,2655385.7333333334,,,
,PP_0134,159767.0,,,
,PP_0139,3315221.733333333,,,
,PP_0140,1979084.2666666666,,,
,PP_0142,918890.7000000001,,,
,PP_0145,1013249.9333333332,,,
,PP_0154,3952562.266666667,,,
,PP_0155,6005135.2,,,
,PP_0163,833377.0,,,
,PP_0165,6972546.666666667,,,
,PP_0166,5799326.133333333,,,
,PP_0167,9502240.333333334,,,
,PP_0168,1070523.8666666665,,,
,PP_0173,1727504.8,,,
,PP_0178,987096.0,,,
,PP_0180,830720.75,,,
,PP_0181,448030.8666666667,,,
,PP_0182,2865946.6666666665,,,
,PP_0183,3484535.1333333333,,,
,PP_0184,27678315.133333337,,,
,PP_0185,3504024.0,,,
,PP_0186,2327492.8000000003,,,
,PP_0188,7908070.2,,,
,PP_0189,18930084.066666666,,,
,PP_0191,3099031.9333333336,,,
,PP_0194,9444393.6,,,
,PP_0196,1022360.5333333333,,,
,PP_0202,1863175.3333333333,,,
,PP_0213,27433491.46666667,,,
,PP_0214,19046208.333333332,,,
,PP_0215,2331141.1666666665,,,
,PP_0226,761988.6666666666,,,
,PP_0227,15824552.033333333,,,
,PP_0228,5887868.2,,,
,PP_0234,39488284.0,,,
,PP_0235,9857677.6,,,
,PP_0243,13083447.133333333,,,
,PP_0245,6244878.7,,,
,PP_0246,5071237.899999999,,,
,PP_0247,477085.0,,,
,PP_0250,794823.0,,,
,PP_0252,8783776.266666666,,,
,PP_0258,18380020.599999998,,,
,PP_0259,305053.93333333335,,,
,PP_0260,2920359.0666666664,,,
,PP_0261,3068672.1666666665,,,
,PP_0262,1072956.3333333333,,,
,PP_0263,573624.0,,,
,PP_0266,700665.6666666666,,,
,PP_0268,48635906.23333333,,,
,PP_0282,17521725.400000002,,,
,PP_0283,951599.8666666666,,,
,PP_0285,660103.4666666667,,,
,PP_0287,24359949.400000002,,,
,PP_0288,290591.3333333333,,,
,PP_0289,3995818.1333333333,,,
,PP_0290,6319427.066666666,,,
,PP_0292,15066760.233333334,,,
,PP_0293,1499116.0,,,
,PP_0294,225356.7,,,
,PP_0296,3335052.8666666667,,,
,PP_0299,814772.0333333333,,,
,PP_0308,324503.4,,,
,PP_0321,2586860.0,,,
,PP_0333,1760883.5333333332,,,
,PP_0335,578572.1333333333,,,
,PP_0336,1649621.1333333335,,,
,PP_0338,103643106.93333334,,,
,PP_0339,210335858.79999998,,,
,PP_0340,14435838.700000001,,,
,PP_0341,1804203.9333333333,,,
,PP_0343,1097378.8666666665,,,
,PP_0344,2831605.9333333336,,,
,PP_0345,1322093.1333333333,,,
,PP_0346,2044514.7333333332,,,
,PP_0347,6954943.533333334,,,
,PP_0353,982034.6666666666,,,
,PP_0354,18640937.466666665,,,
,PP_0356,14611111.0,,,
,PP_0357,590042.5,,,
,PP_0359,515883.73333333334,,,
,PP_0363,169986.0,,,
,PP_0364,417179.1333333333,,,
,PP_0366,3888552.8666666667,,,
,PP_0368,12203167.200000001,,,
,PP_0370,7381122.333333333,,,
,PP_0375,1828287.5333333332,,,
,PP_0378,4368091.8,,,
,PP_0379,1679567.2666666666,,,
,PP_0382,3359303.5,,,
