Locus,PP_0368_log2_change,PP_0368_log10_p_value,PP_0751_log2_change,PP_0751_log10_p_value,PP_0812_15_log2_change,PP_0812_15_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value,PP_0751_PP_0812_log2_change,PP_0751_PP_0812_log10_p_value,PP_1317_PP_0812_log2_change,PP_1317_PP_0812_log10_p_value,PP_1317_log2_change,PP_1317_log10_p_value,PP_2136_log2_change,PP_2136_log10_p_value
A0A140FVW8,,,,,,,,,,,,,,,,,,,,,,
A0A140FVX0,0.002665280524738627,0.006880905914781678,0.6376504313733133,1.3700322643361076,-0.23232846809423008,0.18953469544929005,0.2638704046131071,0.6690074648527753,0.03376195940512442,0.10849267380127972,-0.3250243361529752,0.8029193120280412,0.46984871254512467,2.813445509730778,0.27603053535520006,0.30032169245743684,0.0053184990614151785,0.004920428356829288,0.6212804869848558,0.7852155592645196,1.3909982378847376,1.8704189363073227
A0A140FVX4,,,,,-0.308417292249467,0.4788475737801091,-0.10076796887885059,0.5031796749229349,-0.2792018877103888,0.4047729036780817,-0.31563110428498875,0.5705753417334616,-2.1802059149764395,2.709120578205499,0.566693986930465,0.4990497843383217,-0.8718578401829625,1.0692713141052412,,,,
A0A140FVX8,0.003906609526551164,0.008128263649235305,,,-1.5829911173112483,0.26054208205015167,-0.2219726032349391,0.10658754600319909,-0.2643334089911739,,-0.7306929866362041,1.2592060432047127,0.6100484536020523,0.9384967292610962,,,,,,,,
A0A140FVZ0,0.17068085416305398,0.387371380510824,0.30432374239515375,0.9852659593598676,0.31062765071794574,0.38987125714342946,0.0018103332195830478,0.0051296068217779765,0.21568701075561586,0.593306645978241,-0.1539590017093913,0.4361132445076797,-0.08452084797017269,0.48919661459801966,0.38390106024356446,0.28608353217735016,-0.2991251577145059,0.3311154875651602,1.5903796544396405,1.157037700562678,1.9128717168599827,1.6494329664503944
A0A140FVZ1,-0.009997563588948492,0.007834197212680758,1.2398670844014905,1.2710609574288838,0.005959264102757329,0.003950662756004739,-0.1894207913848517,0.4890853697138454,0.08014961903114294,0.11557244889809933,-0.04117361596155813,0.06208602690764583,0.8701696022185558,3.523071771088194,0.027446439576895163,0.015082923231295425,-0.014365905757737224,0.0074100909152570935,,,1.779123569811221,1.558015070947441
A0A140FVZ6,-0.3610054068129878,2.2591241606326875,-0.7380036870955988,1.4763747725370875,0.2949882974616959,0.32107911530423355,-0.32688935487624554,0.5938180337324614,-0.8679460266335792,0.42494219651884285,0.44634774188015575,1.24774082391431,0.419083097480135,,0.18456203988614617,0.18245621921012328,-0.14989970390424281,0.2558417015658552,,,,
A0A140FW08,-1.3012206634321397,0.8480303093942739,0.4420380070933991,0.6382803585111796,-1.9270973943129277,0.4203690458342818,0.02599286864990896,0.05768031159221546,0.03506179785785248,0.07687992266396945,0.5633450911825298,0.649749710633131,,,0.17435559835107986,,,,,,,
A0A140FW22,0.2263416016733067,0.548657419254098,0.07066931267483927,0.3957092904616561,-0.11851794282083537,0.1677522439771864,0.25963269662873506,0.6908324457564994,0.11635507086099553,0.29256962535188247,-0.32463995510805893,0.5043413697466942,-0.34194303392338415,0.8445004852694735,-0.17876134162670473,0.36301216385273505,-0.2367712830724653,0.2788344175484395,0.46015877613970674,0.44219831660106956,1.6429812117803138,1.1645175326332127
A0A140FW35,-0.8834476361570184,,0.7494003648954287,1.968712271085443,,,0.02098414377024322,0.058073388469205525,0.6868751638575334,1.0515645273722107,0.14457126047026833,,-0.12836053059418226,,0.484504500744036,,0.5011005738485568,,,,,
A0A140FW42,-0.8434483981553916,2.1816344636623763,-0.023422501591312768,0.0636430697872356,,,0.6360706958428527,0.240513241506457,1.0619471972920647,0.4788491049854556,-1.5609905422237527,,-0.18364676116883227,,,,-0.355348040560918,0.2367900158591991,0.4113066137284167,,,
A0A140FW43,-0.200480456551984,0.18576564318140482,0.07154647294404355,,-0.17616205209953378,,,,,,0.46389195735856303,0.5303312597313651,,,,,,,,,,
A0A140FW57,-0.4302322128366888,,-0.4271820549444666,0.8974117687643746,-0.5609133924811077,1.4487379335279569,-0.059162557758259446,0.08196890320226499,-0.37038814658656594,0.42385300707964096,0.11576291050103525,0.06248749093217407,0.4459027014380959,0.8010623208285417,-0.11408093862792991,0.19100141518266298,-0.016263914513551626,0.011670451118522409,1.355975628373802,0.9380166670966401,1.1196285065061464,
A0A140FW79,,,,,,,,,,,,,,,,,,,,,,
A0A140FWA3,1.0721447160775608,0.9801970391685539,,,0.7308859792479494,,0.24456153320860927,,-0.625020903217121,,-0.5090871366793484,0.3839653499018314,,,,,,,,,,
A0A140FWA4,-0.2877367698098274,,,,0.2603827287905221,,0.05063106525562655,0.10590714695249556,-0.09081141684979613,0.25455000787379745,0.22482472783474491,0.605276516325353,-0.18272849885078568,0.8923478036182314,-0.3357099580690071,,-0.09143127712087654,0.16147040202202315,,,,
A0A140FWC7,0.12183907222348345,0.18261497500551743,0.4509191610843734,1.0693490839797277,0.5375410694253829,1.3515605826099863,0.6558215635525192,1.4716398729376534,0.28733464646710866,0.3579726713548013,-0.32319047815356594,0.2949741023614041,-0.21066969803820193,0.401709030288027,-0.42321887962417576,0.2371220908432956,-0.4119610816869679,0.24745402693471333,,,,
A0A140FWJ5,,,,,,,0.12379060800932434,0.5940890484770752,,,,,0.011833333376118185,0.018027334146683987,,,-0.4163337570003588,1.1663616372102963,,,,
A0A140FWK0,,,,,,,0.19765060812240662,1.0070900322542073,,,0.35294380713536944,,,,-0.0832263494273111,,,,,,,
A0A140FWK7,0.05294897829849799,0.22882792970316196,,,-0.14786816946597742,0.22013624245811592,-0.18302689209211273,0.6582424445265102,,,0.32071775505144534,0.9139219627531743,,,0.42799198071142414,0.8415037469811364,,,0.8004623559790588,,-0.04697414837571976,
A0A140FWL3,0.2581509363085708,0.5639830392857629,0.5172455011564614,0.8029166550162292,0.3402829579265092,0.49648792504511907,0.12416236854847054,0.7962041273791303,0.14057510938821655,0.46027286324537225,0.07776213390327992,0.14293483054596012,-0.2743102516614857,1.1096998748908111,0.4856754052692214,0.5197466608775659,0.04735225245013046,0.05061751876491975,,,,
A0A140FWM3,-0.034031210042133,0.05923502134346695,0.751162912382817,1.3691031396534332,-0.4006398435241232,0.4016045483731424,-0.37881129587376006,0.372150642015022,0.24823744856145297,0.18494651136482174,0.0063500496713065685,0.0060861973254495,-0.7397727154826326,1.0158142057077038,0.2806543289309216,0.14255456152050885,0.3529727087915018,,,,,
