Protein.Group,_log2_fc,_p_value
PP_2453,-0.9952218904444321,
PP_5213,1.1796098592284257,
PP_2301,-0.2355959136758571,
PP_1392,-0.7732943410956128,
PP_5409,0.627277843143401,
PP_0542,4.272918748114746,
PP_5347,-0.17642285794619175,
PP_2928,0.5376527661807483,
PP_0133,-5.684397222709393,
PP_0184,0.6851018600618767,
PP_0849,-0.9518796604576765,
PP_4552,-2.80745488896028,
PP_2668,2.7671448696446137,
PP_0100,0.18998730978746806,
PP_0787,-2.439620066205151,
PP_5273,-0.23921037168200815,
PP_0339,-0.18757397076503177,
PP_4783,-5.884372271517225,
PP_2470,0.9617473413588379,
PP_2845,-1.6218957898958313,
PP_4800,1.632120207445701,
PP_1014,-1.9510055853571882,
PP_1009,-0.16872958395457477,
PP_0967,0.02216455095242946,
PP_3095,4.245139171518912,
PP_0999,-2.394390628456429,
PP_1977,-0.011432473245846769,
PP_4200,2.365160358643202,
PP_1763,-1.1206983627831721,
PP_0354,-6.191690734724349,
PP_4892,-0.37401452563316967,
PP_1800,1.0730409462803703,
PP_1312,1.4469003987391356,
PP_2094,4.471017964355753,
PP_0287,-1.2616454295392883,
PP_0543,-1.6458912818988687,
PP_0403,0.2662575357825817,
PP_1755,-5.148291294678295,
A0A140FWS5,-2.387621391991743,
PP_1914,-0.2040143749489916,
PP_0456,1.992146190593059,
PP_5311,-0.9300188342415474,
PP_1131,-0.4532745128628235,
PP_0402,-4.361029261288624,
PP_4795,0.5339023810972242,
PP_1261,-2.7579549821769604,
PP_0953,0.4540919532769655,
PP_5217,1.752461199584173,
PP_4931,0.6427244426510962,
PP_4111,-5.985553696158729,
PP_1982,-1.9800790347646178,
PP_2379,-2.2899177392219627,
PP_5182,-0.9405931372008227,
PP_5153,0.13968398274764607,
PP_2302,2.4874690631342267,
PP_5141,1.6881793362227806,
PP_0564,0.1335486017079442,
PP_0013,2.055848262367113,
PP_0389,0.5287171544875322,
PP_2112,0.0497380842682638,
PP_1317,-2.283098141919253,
PP_3784,-2.046788690005562,
PP_1332,-0.05137785250845764,
PP_2337,-0.8043850263834496,
PP_4448,-1.6477861200493034,
PP_2187,-5.869140561418323,
PP_4628,-3.534984570034504,
PP_0751,-1.0406483467199865,
PP_1141,-0.8698387319558509,
PP_0188,-0.14282376623378468,
PP_4003,-0.1435264704659252,
PP_1741,-2.791983973051753,
PP_2156,2.071060892176374,
PP_4947,-1.158251526247337,
PP_4104,0.93682357281345,
PP_0763,-0.6973263768317786,
PP_4616,-1.531613956495196,
PP_5223,-0.04996733970218012,
Q88FU7;Q88I85,-4.585397099598281,
PP_2664,5.231510654542033,
PP_2137,-0.487488243947319,
PP_1346,-0.3810095364042945,
PP_0460,0.9318306236200565,
PP_5183,0.6654135986504188,
PP_0376,4.956098435481915,
PP_1206,1.1334897728454048,
PP_0401,-1.4598411506240698,
PP_2331,-0.4088235681588127,
PP_0461,2.673201525495193,
PP_1232,-0.8847438644892679,
PP_3775,-1.2758134126470417,
PP_1113,0.8198048227798324,
PP_3139,1.717565032548851,
PP_2457,-2.5944087308595747,
PP_3587,-0.09469238148199072,
PP_4299,-1.1720676010541387,
PP_3834,0.43298233394563224,
PP_1423,0.6432378489486826,
PP_5353,3.3973904328585625,
PP_4174,-0.11708332114462264,
PP_2132,-1.7815423347449826,
PP_2000,0.6878708837997637,
PP_1859,-0.18282216204984467,
PP_5416,-0.9640545379170723,
PP_0397,0.051490828727043955,
PP_1776,0.3464060937684145,
PP_2688,-0.6954400193262161,
PP_0010,-4.715848996226866,
PP_5309,1.7981316201288613,
PP_4591,1.622884680226022,
PP_0855,1.0341177952128537,
PP_4570,0.08495984743843067,
PP_1769,0.504985972148819,
PP_1592,1.356566692943201,
PP_0154,-3.7129707674987227,
PP_3668,-0.536472395963333,
PP_3130,-5.112957838988365,
PP_4977,0.4136979864458103,
PP_1237,0.5779421859917873,
PP_1375,-2.2617751486859223,
PP_1525,-0.5227048763691328,
PP_5011,0.83646762161454,
PP_4696,-0.33314066225289857,
PP_4583,0.11109452775886583,
PP_3415,-2.2291408383692284,
PP_4305,-3.0567170868940834,
PP_0961,0.6677514025756719,
PP_0721,1.4754701398258905,
PP_4641,1.6044311014562258,
PP_0687,-0.8940620783227307,
PP_2454,-0.7097922328057925,
PP_5192,-6.4805514908479465,
PP_4723,0.717525496748139,
PP_1099,2.453164786741041,
PP_0114,2.433246136316444,
PP_4011,-1.827949003426411,
PP_0545,-3.9202087072480123,
PP_2017,-0.4509639084198779,
PP_4811,-2.066952044139981,
PP_4867,-0.9077574498307845,
PP_0753,-0.22921627356183605,
PP_0612,0.09792734997804979,
PP_0261,2.233735242900467,
PP_0415,0.2680341728301067,
PP_1098,-2.880398226039173,
PP_4010,-1.1846630873274724,
PP_0390,1.6198753536992454,
PP_0398,-0.32903335909482634,
PP_3612,-1.8748808359750706,
PP_1496,0.4232584648985787,
PP_2136,0.9851212858393626,
PP_5118,0.2553684191623194,
PP_4856,-0.3049693755026421,
PP_1465,1.9865648788266612,
PP_4762,-0.6306892958598287,
PP_0591,-0.4528226098964051,
PP_1343,0.8499548614017216,
PP_1916,-1.0304319891708276,
PP_1367,-0.8527486748901677,
PP_0370,0.08535567600400493,
PP_0194,0.5987545260795681,
PP_4122,-0.7854356517201468,
PP_1024,1.0780037512691574,
PP_4893,1.9107028153049537,
PP_0799,-5.2935160819964375,
PP_5113,-0.05134224326950499,
PP_0794,2.6896630130230794,
PP_3707,-3.8334334387890086,
PP_0973,-1.0702666987673872,
PP_4726,0.5197084413627335,
PP_0459,8.043502947121553,
PP_1915,-1.4909399665141336,
PP_3316,-0.7716802602620969,
PP_0166,-0.22599340649613162,
PP_4988,2.547360615326774,
PP_0733,-1.915080738499036,
PP_1184,-5.138343700229791,
PP_4274,0.7163565893589924,
PP_1635,-0.4396481205683626,
PP_2793,-1.8616743246921954,
PP_5302,1.919505502026792,
A0A140FW57,2.6789754525244933,
PP_1097,-0.8852187132177822,
PP_1826,-0.4388714666813529,
PP_0920,-0.09397144132913189,
PP_1517,-4.430556288227086,
PP_4909,0.4355811592106982,
PP_0173,-0.24868901322945977,
PP_0444,2.0595865067737518,
PP_5214,0.20060436737002557,
PP_5025,0.9050049175883076,
PP_4515,-2.8658026138342194,
PP_5157,-0.376017912987761,
PP_2396,-3.228413660437548,
PP_4784,3.131645597942551,
PP_1031,-0.23358239743345643,
PP_0719,-0.9856263875708873,
PP_0464,0.9653017254720545,
A0A140FWP7,-1.0894964895331007,
PP_3988,-0.6923768799095104,
PP_2089,-0.22507263190508683,
PP_1785,-0.3802739894922343,
PP_0625,-0.7296967285465317,
PP_0004,-1.05129075111248,
PP_0606,-0.7317077441159278,
PP_1342,1.1478923865607928,
PP_1068,-5.379304130558665,
PP_0817,-0.4683014078878068,
PP_1060,0.9109770811760634,
PP_0965,0.5488062138198653,
PP_4364,0.030075124049506085,
PP_4658,-1.3234942957254474,
PP_5231,-0.03239544024012753,
PP_4178,1.0657776245771347,
PP_5120,0.6242915993750242,
PP_2149,-0.7045604930038114,
PP_2324,-1.0449989765547303,
PP_1780,2.791721300041984,
PP_1488,0.6606783297782874,
PP_3549,-1.0068084187437556,
PP_0073,-0.1946165474673717,
PP_1510,-2.204262943094758,
PP_0454,1.4157079863406732,
PP_1121,0.30830241165451056,
A0A140FW22,-1.0027925656789625,
PP_4733,-1.5373332262204833,
PP_5089,0.4970452813632461,
PP_5020,-0.9107709577231086,
PP_0067,-5.277996837004293,
PP_4805,-0.325262843616908,
PP_1418,-5.243854406210432,
PP_3662,1.5361821138962202,
PP_4718,1.164136429501721,
PP_4541,-0.3367395213136421,
PP_2674,4.533828383160506,
PP_4000,0.4452964953118757,
PP_1329,-4.6240610305870025,
PP_4717,0.3156972871115159,
PP_1371,-0.8833251063970277,
PP_3620,1.572073174095366,
PP_4963,1.9476722408469525,
PP_3603,-1.8748808359750706,
PP_1365,1.5970177963342382,
PP_4342,0.31307310927674814,
PP_3785,-2.3687171425121245,
PP_4217,-7.953064624791751,
PP_3691,-1.8748808359750706,
PP_3433,-0.4825408639324439,
PP_4147,-5.458412276499742,
PP_2024,3.9172658382598464,
PP_1799,1.176294939974481,
PP_2678,4.153064593142168,
PP_5128,-0.13808413780517628,
PP_0451,1.660539983503839,
PP_2628,2.8201616404658467,
PP_4709,1.9244341450180775,
PP_4980,0.5310590201886232,
PP_4713,-0.3106749985837926,
PP_4923,-0.20598106713605124,
PP_4506,-1.0394488805689723,
PP_2215,-1.2132079781458305,
PP_1594,-0.6246850731383278,
PP_0567,1.2866124438459772,
PP_4337,1.2336225475690201,
PP_1179,-0.5290768461467837,
PP_0443,3.656150467631515,
PP_1298,1.8653986697572058,
PP_5095,0.8095243131223343,
PP_2463,-3.2865791503567325,
PP_4708,-0.4853490065777815,
PP_4950,0.9900070427252881,
PP_4379,0.08971863699595829,
