Protein.Group,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value
PP_0215,-2.414622275102301,5.0347628665331765,,,,,,
PP_0299,-2.0358169489087126,2.396107048605931,,,,,,
PP_0423,-2.261378114083653,3.213671434134039,,,-2.7051762289478627,3.209387497973417,-3.2868848044457524,3.622283901836545
PP_0521,-2.193289277212032,5.647432927978922,,,,,,
PP_0694,-3.3232443204257462,5.258656870148234,-2.4302551552358636,4.719806701870159,-3.933689007861303,5.450578314727246,-4.515397583359193,5.5883478412008945
PP_0747,-3.430929491628753,9.349558081304027,-3.4571875289238823,10.095580204225696,-5.181703943675246,10.199265682784816,-5.763411893193463,10.122406517529791
PP_0772,-2.0008945555226565,4.64190684515952,-2.102722136368188,5.501850470299575,-2.658476310559048,2.4107552111096844,,
PP_1389,-2.0321935414141343,5.827235518031423,,,,,,
PP_1487,2.269678462389388,4.867737156921242,,,,,,
PP_1894,-2.947304828202696,4.40380877048993,-2.2692970296071864,3.9420818685355323,-2.7631213155161154,3.7007663098792882,-2.594738726066725,3.5349058401128324
PP_2333,-2.6586447577295056,3.4319304471804153,-2.327688615836587,3.2384539180737453,,,-3.6841514480916056,3.8207514798362827
PP_2380,3.1463543339455997,5.786037212291304,2.9267026298140713,4.431221859604539,3.5556074733203227,2.3483948932515655,,
PP_2673,-2.9965935310078295,2.6942286059902827,-2.2519394853093258,2.3606487415689656,-2.991440424424589,2.6362191522743146,-3.755326345882569,2.884426519439881
PP_3148,-3.066595822289747,5.8915871215271425,-2.9772545791772753,8.432663156190129,-5.168874016396251,9.262298639337155,-2.2564329095793374,2.8951864405768006
PP_3549,-2.142483916046483,6.325642144532122,-2.4451971584291288,6.686605991382427,,,-2.982570900819721,5.768359501551777
PP_3558,2.874161663356105,2.245510379918903,,,,,,
PP_3633,-2.119584303972422,3.2362452647308357,,,-2.9151764461038465,3.6154352308105198,,
PP_3948,-4.831205429278214,6.5121754635585285,-3.78604874237342,6.374069861179776,,,-5.856712809967136,6.623928265503561
PP_4013,-2.682329620388021,3.806706133057123,,,-3.6315625455089497,4.248979889884902,,
PP_4375,-2.602271401748994,3.7818788036656583,,,,,-4.755844042450566,4.574858079858715
PP_4429,2.242826147262379,2.0010040619582816,,,,,,
PP_4471,-2.0517502041942755,2.6678760113163276,,,-4.33590604985653,8.813090126480557,-4.917613623786813,8.926146059193714
PP_4528,-2.1014977379797863,3.1108641423271153,-2.1015311267041565,3.0251250799713616,,,-5.514077416562299,2.661909247912971
PP_4594,2.2019767623498097,2.394350370090634,,,,,,
PP_4636,-2.132128381069389,5.7211894998598725,,,,,-3.019961483233275,4.170088338077034
PP_4864,2.5385316213739926,3.258975657856532,2.552673248212572,2.2054308891031913,,,,
PP_4971,4.0698419842477955,3.3883698415684003,4.023934018603242,3.5103326076958306,,,,
PP_5196,4.0194029710448,2.041760515617694,,,,,,
