Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_4175,-0.24027444396136607,3.67500685891718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0363,,,4.948146722243194,1.4122594479914106,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0364,,,2.153039519845378,1.5745234121225788,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0366,,,1.203607361909735,1.45839911414278,0.39388304174415034,1.3462577788600336,-0.2052772041637375,1.9804475899537717,-0.7888597480194351,1.6312960043101048,,,,,,,,,,,,,,,,,,,,
PP_4635,,,0.25191714643432966,2.096429989950868,,,-0.44084002928118926,4.85557849405093,,,,,,,,,,,,,0.20165861060857748,1.3359148564320602,-0.21680586665362886,6.219617346250891,,,,,,
PP_1914,,,,,,,0.2911101167556063,4.421254621817997,0.23148501061059354,6.059867892686424,0.20977679584822362,2.1819475489680666,,,,,,,0.6885651630618295,2.5457100674286655,,,,,,,,,0.4267925845373027,2.070291084988227
PP_0581,,,,,,,,,-0.7522392654003237,2.946987011638222,-0.8387759909852763,1.7243839556895266,,,,,,,,,,,-0.8980321097477757,1.4391477425294692,-0.7419302005163705,2.2154786131905264,1.1203353526146225,2.017206774140107,-1.0532061626904528,4.126438851542695
PP_4174,,,,,,,,,0.32537616307421596,3.3049571580495365,,,0.21998060367178832,3.139426072544055,,,0.3497604461912573,7.879410269402689,,,,,0.3407487901073709,1.4024747287459425,,,,,,
PP_4984,,,,,,,,,,,,,,,1.0849404146623782,1.7806908408158848,0.8385470617255792,1.8524581066931702,,,,,,,,,,,,
PP_1916,,,,,,,,,,,,,,,,,-0.4266217368554871,5.885083423971862,,,,,,,,,,,,
PP_1602,,,,,,,,,,,,,,,,,,,,,-0.3089780061770485,1.5481671335852278,,,,,,,,
