Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_0368,-5.953263582241602,0.5312775257261791,,-0.39891205818608594,,,,0.31800144548420595,,,2.165957262155665,,,,0.32594321550568595
PP_0763,-1.2585476719530202,,0.590141900092276,,,,,0.7582022806198465,0.24402672018280547,,-3.0387860135775564,,,0.9346286688139335,
PP_2136,1.4327324484711361,,,,,,,,,,-5.0804834000074335,,,,
PP_2137,1.561560931450382,0.42756239153889214,-0.410366751685633,-1.0204903750709737,,,0.2658533033178661,0.6050372056633104,,,-6.9310659538504,-0.2502256772850162,,,0.3092777811799656
PP_2213,-3.332745701305621,-3.7395508198853125,,,,-3.1008751876124165,-4.010038051316658,-4.5917466268145475,,-2.574286696445204,-3.9926681928604926,,-3.173389460577823,-3.2156907849317062,-3.850708100174364
PP_2214,-1.8724451516038474,-1.202026136142655,-0.7143254050362816,,-0.8033026685094773,,,-1.7259608890863067,-0.6709712846427451,-2.5582963837115646,-1.3984755554583002,-0.5980866516522788,-3.246500276002499,-4.679027450287586,-1.0804925920319848
PP_3754,-0.9056250278519906,,0.49275832233977807,,,,,,,,-0.5685214567873782,-0.14413912101045004,,,
PP_4175,-0.24027444396136607,0.11020110117977808,,,,,,,,,,,,,
PP_4379,0.1865075115191587,,,,,,0.20025224129529653,,,0.4511209670159832,0.535984218909433,,0.5318176163954048,,
PP_4545,0.24052753087269446,-0.1515618967954421,0.0694360263461423,0.25489635867042565,0.17032129175155786,0.4174671926049704,,,,,,0.09621082909461079,,0.3810636985517376,0.5591976291349634
PP_0364,,2.153039519845378,,,,,,,,,,,,,
PP_0366,,1.203607361909735,0.39388304174415034,-0.2052772041637375,-0.7888597480194351,,,,,,,,,,
PP_1607,,0.4387879327188425,,,,,,,,,-1.0236801916142153,,,,
PP_1913,,0.3591808674914311,,,,,-0.25287104046837644,-0.2582623387958156,-0.29129512326192714,,,-0.4366321520814077,,-0.30614006708401165,-0.30946033073430623
PP_1996,,0.4297978397217544,0.17897797477265506,,0.12214927688710417,0.11411136647605893,0.2711962091086269,,,,-1.4352873601452973,,,0.3852921170339372,0.1373239787450243
PP_2217,,0.5680102727774637,0.22597125038171706,-1.0178174524720378,-0.7650598674876476,-0.6921656889516132,-0.6529962723049311,-0.38053989095654084,-0.8355563785204193,-0.9766019811003449,-0.24577833544710642,-0.9994229358022271,-1.2017505337718075,,-0.9248845741113765
PP_4635,,0.25191714643432966,,-0.44084002928118926,,,,-0.11669175607565005,,,0.20165861060857748,-0.21680586665362886,,,
PP_1893,,,0.560848485790858,,,,,,,0.4440716914501185,,,-1.6641597784327202,1.312370992167836,
PP_1914,,,,0.2911101167556063,0.23148501061059354,0.20977679584822362,0.10258554112746306,,,0.6885651630618295,,,,,0.4267925845373027
PP_0581,,,,,-0.7522392654003237,-0.8387759909852763,,,,,,-0.8980321097477757,-0.7419302005163705,1.1203353526146225,-1.0532061626904528
PP_4174,,,,,0.32537616307421596,,0.21998060367178832,,0.3497604461912573,,,0.3407487901073709,,,
PP_1845,,,,,,,0.6535313827627975,,,-1.3553101920137627,,-0.27365252822870995,,,
PP_4984,,,,,,,,1.0849404146623782,0.8385470617255792,,,,,,
PP_1916,,,,,,,,,-0.4266217368554871,,,,,,
PP_1602,,,,,,,,,,,-0.3089780061770485,,,,
