Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
PP_4692,0.37547416838101494,0.630399185651593,,
gdhA,-0.7220793287939127,,-2.371995555363153,-1.2354069273189197
gdhB,0.4304339180653543,,0.5339192252559584,0.6114764741292072
glnA,-0.6934321311344288,-0.7216012748968581,-0.7495115278753861,
hemB,0.2935378335972257,,-0.27314202013912575,
hemC,0.3486477864724466,0.4799772754052703,0.31160318016818145,
PP_3148,,-3.1051509497547336,-3.1520182130531267,-2.1438373779564133
gltX,,0.6071053400186885,0.3071521033320389,
gltB,,,-0.25006449424216515,-0.8295160304394307
gltD,,,-1.0579762967884656,-0.3053271016849023
aspA,,,,-5.4548986432503925
