Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
aceA,-0.8203974743298129,-2.1821276481130094,-2.4559380396492534,1.2865468521193486
acnA-I,0.4120510984575451,,1.5616885952686617,
acnA-II,0.24469102915717017,-0.518840535645072,-0.6743536066797919,
fumC,-0.2188785818192701,,0.8809946040627167,0.31599569933693056
gltA,0.1268994909108914,0.11239038347385988,,
icd,0.6434973141091557,,1.1519647946218616,
idh,0.4042325886708144,,-0.3144335852833758,-0.3666890944882247
lpdG,0.14807194426171397,,,-0.4562696791150414
mqo1,0.3895614367483109,1.0707739792509987,,
sdhC,0.3828198087867286,,,-0.5448352903318064
sdhD,0.5444691616082499,0.5511573415207612,,
sucC,0.17532982768498406,-0.7981269359786237,-3.776192905438079,-0.34566662823574296
mqo2,,0.9434571234199388,1.529747150894849,
mqo3,,-1.8356742054073498,,1.5761284346187627
sucB,,-0.36327809533629263,0.37389852977897764,-0.6849670270695924
sucD,,-0.7239016462263893,-4.520536853428358,-0.5307384846508972
sucA,,,0.44048702796531736,-0.6586769612095811
acnB,,,,-0.3639295028137333
glcB,,,,0.17623861730400187
sdhA,,,,-0.46701827326926065
sdhB,,,,-0.7266822062068208
