Protein.Group,PP_5417_log2_FC,PP_5417_log10_pval,PP_1770_log2_FC,PP_1770_log10_pval,PP_1240_log2_FC,PP_1240_log10_pval,PP_0548_log2_FC,PP_0548_log10_pval
EF_1364,0.3320999274664827,1.663378035628906,-1.106642726069133,1.3957577808483115,-1.1622664274888919,4.369092123850547,0.7725975286612469,3.930731358134828
KRT1,-3.592205825546952,1.9742505131844443,,,,,,
PP_0002,-0.9795522992864657,2.212211826672923,-0.8427075818049931,3.0312838951965397,-1.2931253309350357,6.515955770867931,,
PP_0017,0.1649221142716634,1.9565796038167638,,,-0.2561173651147669,2.488496757508291,-0.4173319561610174,6.826059205192616
PP_0018,0.28869743962404715,2.2935111823820886,,,-1.8580102796099207,8.285374869476424,0.6754243798981987,7.000108482974598
PP_0019,0.7138978059840573,2.207587555521743,,,,,,
PP_0168,0.4089986257526166,2.579525071294783,,,1.3627883263466427,1.359777874564925,-0.5717705709469134,1.872023726383949
PP_0178,1.0066490469032543,1.7466119968099767,,,,,,
PP_0182,0.7587892762095053,4.1762642704682476,,,0.963671520114652,3.0252233163114455,,
PP_0188,0.1379595166714952,2.6323513314685005,0.29644409088966384,5.704386052919247,0.5563400323618479,1.5757383306069803,0.13610220818221164,1.3731914697042396
PP_0189,0.20295271822171204,1.589083288379704,,,0.6755694974193004,2.128213595646231,,
PP_0202,0.480673600924841,3.5411170888145485,,,0.9105748190490055,3.5332779464572805,0.7451603280849923,6.690243872477432
PP_0235,0.7276082293622057,5.441869904402331,,,0.7123084456801956,4.90705279477365,,
PP_0353,1.9919425869165244,3.221792273363013,,,,,,
PP_0354,1.4328323482932437,1.3412659052531903,,,,,-3.394719563623051,3.883307238887438
PP_0423,-1.8899223617725356,2.9329217302433186,,,-2.2436294402659214,2.6090939064504606,,
PP_0512,0.9877591052680919,12.069789555162648,1.0379763043548307,2.203120462932696,1.4966279381167995,3.9036302996922387,,
PP_0521,-1.2666633175832274,2.857141779340458,-1.7955301253607028,1.7268375656895825,,,,
PP_0536,-1.3786442021450076,2.5019002261416845,,,2.9585089886532034,2.2351224348714056,2.6328437244499514,4.789022076962964
PP_0564,0.17231698498518885,1.472782273995587,0.28649834643145045,1.4001263554693464,0.9700479988206692,1.9515051634168852,0.12857214521480173,2.5124515852589884
PP_0577,-1.2876602085904625,2.45999419894071,,,,,,
PP_0584,0.27773664060017783,2.0596604226275783,,,-0.7861407375140135,3.705556862016875,0.3901992312896365,1.5548507458713894
PP_0591,-0.36297903139436405,1.3093931036091948,,,,,,
PP_0592,0.6666781668122538,4.784673755289533,,,1.5580263962745058,3.352493440832249,,
PP_0596,0.46318445790706686,2.168701205470139,-1.8205042796405366,2.667509222283514,-1.2851765945036184,2.1299071847332023,,
PP_0640,-0.13061992280855786,1.4453707283778097,,,-0.3571218523191685,1.389018286586622,,
PP_0657,-0.6072573875934859,1.7514745740756201,,,0.7029465410064372,1.807249750594356,,
PP_0658,-0.09074991438587675,1.6902052375109828,,,-0.36350458794020024,1.638294862796442,,
PP_0680,0.16978904612603002,1.9831953786077998,,,0.5951625970404398,2.714239743826102,,
PP_0694,-2.6533523665125194,4.876522332363181,-1.2397287423247652,1.4608849402369053,-2.4452249080449517,2.9874051319261508,0.520088853650291,1.5590805188521557
PP_0695,-1.0894866370333711,2.2304746311333568,,,,,1.2202660848159328,2.3751391835303957
PP_0747,-4.366448739021469,9.813381094423429,,,-4.720157438195658,10.17928673516088,,
PP_0750,0.33484122838051833,1.5785228063064745,,,,,,
PP_0763,0.32304533970033283,2.1022023909222485,,,0.9144223429837837,2.6336170339449643,0.6029531433061267,4.216902314691731
PP_0766,0.40725570059937843,1.8464228587597364,,,1.295908900071191,2.106757212214536,0.8377900646847284,1.566877206775325
PP_0777,0.8129103449057377,6.487811735008113,,,1.555009008844659,2.406007364630957,0.839675156105933,3.1190814763658032
PP_0790,1.6151795790599133,3.84586404736735,1.928690662935361,9.882728156308003,3.390373525022821,5.7763051034420325,,
PP_0858,1.1538274152224666,1.4018155189110477,,,,,-1.3587577323425015,2.6496435507888636
PP_0897,0.17279725352961664,1.9193243060546632,-0.23052387725784934,2.388078745454193,,,,
PP_0909,0.4579474127473413,5.010410639942796,,,0.7786344205450805,1.6998176789977266,,
PP_0913,0.551852198309934,3.863659297026333,,,1.2518786703074123,1.7044790992974732,1.478657930439292,5.87003083665868
PP_0914,0.4461777376830981,2.2132308615868523,,,,,0.48216773695691056,2.008085741075588
PP_0919,0.6068467348361818,4.4181795842341645,,,,,0.5354525777269887,1.4601385896484795
PP_0971,0.857101775954295,2.1372293114194547,,,0.9488014884863915,1.7758007501934752,0.9720834795356766,5.423623620922023
PP_0982,0.28918949657552684,2.162617842368004,,,,,,
PP_0998,0.2668000335779537,1.8895889163302726,,,,,,
PP_1056,-0.5276404497088963,2.309707203494142,-0.5480227121882031,1.7251400212973047,,,-0.9447428548020702,6.894597352311119
PP_1062,1.4583091124590257,3.3174269860018315,,,,,,
PP_1113,-0.5049849777427987,2.9376997485212453,,,-1.4215704414409047,1.6593186919630138,,
PP_1121,0.5331295949709494,6.320645583729678,,,0.8720049908062026,3.3139185167180227,,
PP_1122,0.9623652305886846,5.179443152299343,,,1.8318177841245091,2.05750280493409,1.3489954517530243,3.9555593269714193
PP_1152,0.9099438172573414,2.9617284479183055,,,,,-1.666185530996975,1.7525042701983915
