Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_1024,-0.31140509949092005,-0.505757343523758,0.4920842181825856,,0.49070702552243817,0.4909143126500016,0.5675660473404394,,0.379131781614035,,-0.7065297172252523,,,0.39168893340856625,
PP_1444,-0.6909190557775227,-0.23065983734805048,0.5023797033312822,,-0.8236055874274987,,-1.6068032164827926,0.9263373247115713,,,-1.2149113463399221,,,,
PP_3376,-0.23461326116215606,-1.0963693163774986,-0.8368354834102661,0.4792214600957655,-0.4545122667683381,-0.31108992365827254,-1.2636616373323446,-0.6959675570832742,-0.5327266559997417,-2.1147452212567854,-1.206675471458971,,,-1.482890723922817,-0.2570842115631249
PP_3378,-0.7471930148649272,-1.5809894954828838,-0.39002697740067854,0.5029113098938567,-0.8991451532679263,-0.6975480357028254,-1.5009150640776485,-1.035894991906132,-0.43144511575838423,-2.81736856273866,,0.2852469677272843,-0.6006616447572937,-2.5078455894965233,-0.21027259712434068
PP_4701,-2.034183848179504,-1.9180090353579606,1.2168701708171168,,,,,,,,-2.224520462454716,,,,
PP_4960,-0.15395970524012306,,-0.15544122551881984,0.2648803595309318,0.32853353493291143,0.38708404252108736,0.3765310495334043,,0.2453046482765657,0.2590169254595931,,0.2818177492552428,0.716476755070133,0.7215595622790084,0.7287763275848035
PP_5056,-0.22018572230398786,-0.1490758913353101,,0.1812227274001187,,0.22612383495035124,,,0.17212551267217624,,,,0.6140494628239823,0.4427600019666881,0.31320859085405284
PP_1009,,-0.7528183926667199,-0.25260449111907385,,,,0.1820889333148898,-0.5497376354752588,-0.45006620368513556,-1.078029827037811,,,,-0.6485139895241477,-0.43272594642258166
PP_1010,,-0.2722691904122729,,,-0.15229567938701777,-0.14036224192770452,0.12718304321550566,,-0.3730211328370054,,0.07752071228647522,-0.17237246393676203,,,
PP_1612,,-0.2910032076956797,,,0.2661715175081637,,0.1387395128938992,,,,,0.44966665976733844,0.23458603593161767,,
PP_2052,,-0.9030468755433023,-3.300790455946601,-1.6665469677321563,,,,-0.41486425136961785,-1.3936067207971718,-1.0914475973019235,,-1.7475231043033734,-1.908766651233139,-0.6799267613591203,-0.7091120515645748
PP_2149,,0.22325022700182845,,0.33383026555584044,0.5695884876193794,0.5914863579685893,0.6944601577603031,0.6221769867715453,,,0.22054831357098836,0.38693947944050755,0.31645606370621715,0.8520510467534468,0.4682314674770822
PP_3416,,-0.722960236329752,0.19118959029659358,,-0.2662368495313465,-0.3730889089134534,,-0.9319866262224052,,-0.47643561855872546,0.5855743546810476,,0.46299261829398153,-0.8016922541840159,-0.5523619643352602
PP_4963,,0.2761282563883164,-0.16109911164136756,,,,,0.425570720275035,,,,0.15459261194657406,,0.5809758504814494,0.6590877018788978
PP_5040,,-0.2143681236984084,-0.2545288513367265,-0.2189694324246251,-0.31368684947543557,-0.2777838342835461,-0.5126675855388799,,-0.4611308388381595,-0.3029094646233764,-0.23676651977405994,,,,0.1384141480023175
PP_5150,,0.17472893964935976,-0.305413297900429,,-0.5202867879924155,,,,,-0.4242170989521378,,,,,
PP_5351,,1.150998447012036,1.387071228037909,-1.8040248769118186,,,-1.840915558953964,,,,,-3.1694226952349664,-2.1984926788317796,,-1.9205082903172532
PP_0415,,,-0.366499253495113,-0.3336707411964756,0.21349690379615593,0.12496804210499225,,,,-0.1922337851763197,,,,0.3065028349171298,
PP_1022,,,0.16828624482978463,,,0.13078136959301037,,,,,,,,,
PP_1023,,,0.2358274133579397,,,0.32531577220439634,0.3869843847234861,0.4490691015727272,,0.5931462605756302,-0.4099724622782929,0.10221051389097803,,0.6920704701934556,
PP_1362,,,-0.2058649913994275,-0.22013857338481654,-0.32619403890038307,-0.37289460635995825,-0.12474035723558977,,,,,-0.24518228254564026,,,
PP_3384,,,-0.32315835200326176,,,,-1.4860157947205823,,,-1.1007551896431493,,,,,
PP_3443,,,0.5123555179979572,,,-0.29639965439192334,0.11204350647788834,0.2919286882901121,0.2776615476266954,,,,,0.534344372057523,
PP_4715,,,-0.2308643957340239,,,-0.08546610382866827,,,,,,,,,
PP_1011,,,,-0.21485091264598385,,,-0.2174639692391971,,-0.35941161694891066,,,,,,-0.1983742974798458
PP_3383,,,,0.24423977812756117,,,-1.4831491900397573,0.7705288967058596,,,,0.10025258125617055,,0.343319047604699,
PP_4965,,,,,,0.2655553426929285,,,,,,0.17906517624354926,,,
PP_3382,,,,,,,-0.9447072101271392,0.5211499218918043,,,,0.21532737122722276,,,
