Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_1024,-0.31140509949092005,1.6169238473487135,-0.505757343523758,2.725509616567772,0.4920842181825856,3.5044948050332936,,,0.49070702552243817,3.223036459856931,0.4909143126500016,1.729247350667765,0.5675660473404394,4.3867325662482015,,,0.379131781614035,1.9317078158297085,,,-0.7065297172252523,2.297497596790877,,,,,0.39168893340856625,4.332899241046738,,
PP_1444,-0.6909190557775227,2.875827042732719,-0.23065983734805048,1.4760829641510218,0.5023797033312822,3.977055192607771,,,-0.8236055874274987,1.5179107121012663,,,-1.6068032164827926,3.1346259403292938,0.9263373247115713,10.164617709281528,,,,,-1.2149113463399221,2.368585853422504,,,,,,,,
PP_3376,-0.23461326116215606,1.6796675616316208,-1.0963693163774986,7.983912632005593,-0.8368354834102661,7.202242373647301,0.4792214600957655,4.353197537060596,-0.4545122667683381,5.204654646485235,-0.31108992365827254,1.9170279869922466,-1.2636616373323446,11.141411940390906,-0.6959675570832742,2.6661428358645605,-0.5327266559997417,3.699774805535435,-2.1147452212567854,5.202476394536475,-1.206675471458971,5.750918599812505,,,,,-1.482890723922817,12.140725485753002,-0.2570842115631249,2.67651412632721
PP_3378,-0.7471930148649272,3.286864936243689,-1.5809894954828838,2.6124343904384713,-0.39002697740067854,1.4766100388408567,0.5029113098938567,3.070770010157009,-0.8991451532679263,4.2668903148895065,-0.6975480357028254,7.413424871368309,-1.5009150640776485,7.0369082452929455,-1.035894991906132,2.8733436972255264,-0.43144511575838423,5.527204865744418,-2.81736856273866,4.360464165764996,,,0.2852469677272843,1.636597543328466,-0.6006616447572937,3.276664767341381,-2.5078455894965233,13.419371193880135,-0.21027259712434068,2.353737873820596
PP_4701,-2.034183848179504,2.4620494978959147,-1.9180090353579606,2.2304136922636113,1.2168701708171168,4.574267843085737,,,,,,,,,,,,,,,-2.224520462454716,2.560719656860592,,,,,,,,
PP_4960,-0.15395970524012306,1.852432326018703,,,-0.15544122551881984,1.5878412226452996,0.2648803595309318,4.705849916874053,0.32853353493291143,2.120679520371242,0.38708404252108736,2.6351449928901904,0.3765310495334043,3.1034750315783635,,,0.2453046482765657,2.047384617103341,0.2590169254595931,2.3319021364423924,,,0.2818177492552428,3.4473030207046627,0.716476755070133,1.5005576117881938,0.7215595622790084,3.8988206465565427,0.7287763275848035,2.5411569703197325
PP_5056,-0.22018572230398786,1.4858731207803546,-0.1490758913353101,1.965020851660533,,,0.1812227274001187,4.723476820703126,,,0.22612383495035124,2.2260273559542707,,,,,0.17212551267217624,1.3243668790733665,,,,,,,0.6140494628239823,2.1099060375984307,0.4427600019666881,3.5034495959211776,0.31320859085405284,2.096456660289731
PP_1009,,,-0.7528183926667199,5.397051008749187,-0.25260449111907385,2.3614645692216603,,,,,,,0.1820889333148898,1.4680721701185242,-0.5497376354752588,1.9010889436278342,-0.45006620368513556,4.34845629221404,-1.078029827037811,8.55986812772411,,,,,,,-0.6485139895241477,5.5459752341793855,-0.43272594642258166,4.163083581390849
PP_1010,,,-0.2722691904122729,3.6912679748522628,,,,,-0.15229567938701777,2.2081179703068243,-0.14036224192770452,2.9425753737880744,,,,,-0.3730211328370054,1.344678177940295,,,,,-0.17237246393676203,1.7833745539617916,,,,,,
PP_1612,,,-0.2910032076956797,3.0113324789003713,,,,,0.2661715175081637,2.5709686918952053,,,0.1387395128938992,3.4388582509038157,,,,,,,,,0.44966665976733844,2.442597854817305,0.23458603593161767,1.8162963284436402,,,,
