Protein.Group,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0814_log2_FC,PP_0812_PP_0814_log10_pval,PP_0812_PP_0813_PP_0814_log2_FC,PP_0812_PP_0813_PP_0814_log10_pval,PP_0813_PP_0814_log2_FC,PP_0813_PP_0814_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval
MM_1762,-0.1512022979766894,1.6150210005975267,,,-0.2691184850560815,3.1268361104827895,,,,,,,,
PP_0004,3.0773399208225114,1.6159211378549185,,,2.813321344599838,1.5157264892096176,,,,,,,,
PP_0060,0.6314784426613692,2.1307135067838066,,,0.3408774870629171,4.784875840548745,,,,,,,,
PP_0096,1.1436330341261445,9.359705029749229,,,1.160091257614567,4.5925621714069695,,,,,,,,
PP_0154,5.504595695182536,2.2490156878822525,,,,,,,,,,,,
PP_0184,0.8084456734568275,2.1236503825575856,,,0.9298787784057303,2.1341742937475563,,,,,,,,
PP_0227,1.9434803277941015,2.834153121068008,,,,,,,,,,,,
PP_0268,0.43133771855955,3.4809223290298834,,,0.22595357003854946,3.3148656052147527,,,,,,,,
PP_0338,0.4515413069472727,4.503705748585176,,,0.4298242247726743,3.345500495937655,0.22255641076211324,3.0935226669915274,,,,,-0.21263761097991235,1.333661844056547
PP_0339,-0.35426481272880184,3.4213380612842497,-0.48113227869955444,2.3400637515130653,-0.5122670705345778,5.164810398703978,-0.6669413873748478,3.8072207893197265,-0.3014128056554161,1.5404005622412884,-0.2810339653862165,4.313382736566837,-0.4042496148586038,11.69093859428312
PP_0389,-0.6203024119119578,2.525226127334241,-0.16887847174540796,1.5498906364657004,-0.5128101704490663,6.765592980586344,-0.32602043605229364,3.549857211777269,,,-0.11583792528638272,1.6815537812754922,-0.4083729967579265,2.3077256999154963
PP_0440,1.6413571163514582,2.9482872708647205,,,1.8049485362566768,1.754236597467095,,,0.414676145239384,3.621900663506397,0.41296255253066405,2.6921134116859604,0.3585015151301091,2.510292492012824
PP_0444,-0.9319106881226017,12.837472058729615,,,-1.0039259607755409,15.516494284492115,,,,,,,-0.6312685491178017,10.256277925047248
PP_0446,-0.856414455728653,2.8145705507050875,-1.2799916345904658,3.421413049415608,-1.0153690825767179,6.128516861669132,-0.6853098268845067,3.5357063003392724,,,,,,
PP_0448,0.38372773995408527,2.4573672317832718,0.4296368915350515,1.929692479768426,0.4224156949074639,1.4713561068367507,,,-0.4177764028353848,6.113079601906933,-0.45430651813069534,6.860878472400261,-0.5589723582960393,8.038472386241171
PP_0449,-1.0229280853544362,4.308695069159701,-0.3869615746905467,3.039018453981008,-1.0379459621043952,8.998222096682406,-0.7078211858744088,5.664529579401497,,,,,-0.38623180944639185,5.968983278351892
PP_0450,-0.30949788086417596,2.0852397333859702,-0.48933458537456437,6.04281829970242,-0.2535347839806388,1.9053947750220173,-0.7463639911326022,6.756624994224288,-0.25764009506962243,3.0953939150402023,-0.2446367589688738,4.077078778758865,-0.44063370874513613,8.208999771968891
PP_0452,-0.37241563941588374,3.4006785541464244,,,,,-0.16564963343283307,2.1415977986413304,0.0974892736261658,1.5380274484074654,,,-0.12410165013082733,2.4941444230627696
PP_0453,-0.5012225022268848,2.503600314017429,-0.7415920444446895,6.75786877688814,-0.9135832230996871,2.776616804378461,-0.7483569647697725,12.315696309499556,-0.25266359902033525,1.5824193539202798,-0.19085498222984715,3.6479392570007154,-0.44604582693769507,8.977709171525442
PP_0454,0.32001981560244586,2.103991997924412,0.44199678017574023,2.160925475952075,0.23641309159062202,3.546620273121593,0.269066459778124,1.8445125916423732,-0.16106586641451842,2.406695081337916,,,-0.585858698111584,8.81592669802307
PP_0455,-0.5972064332197522,3.254790640583104,,,-0.7406524466190556,1.9499959306838306,,,-0.3130515609128124,4.452388841255327,-0.2850983961063096,3.173928777518703,-0.836292707849731,8.545652850109343
PP_0456,-0.6778052992587308,7.983640001373936,-0.45130338228701494,1.7373583836558826,-0.20585240623263953,3.0714778599435197,-0.3051537356199863,2.433441128241362,-0.19132963263587047,2.9064579762364344,,,-0.7032395050020186,8.998461403927084
PP_0457,-0.5636754245709729,3.845179572928121,,,-0.5216128079831885,7.436618254975711,-0.7187504746612972,3.659025000959263,,,,,-0.5105953456591439,6.2014340879544125
PP_0459,-0.32795331594695465,2.3591053412824268,,,-0.38991752472098884,3.633758180801033,,,-0.23335247363101502,1.6182433215532832,,,-0.739588798721752,6.3205700241823415
PP_0460,-0.3660728307014597,3.7835777375485002,-0.4373761463667058,6.742551515122098,,,,,,,,,,
PP_0461,-0.4990693736335901,2.8218459991478464,,,-0.5362377052833759,5.799204887849039,-0.662444988385142,3.0700141739543976,-0.25451912068848465,3.313716133014123,-0.14142997007291916,1.6247714256387717,-0.7224194044837202,8.468725046783051
PP_0462,-0.7678505706830586,2.4338379799953107,,,-0.5845362930913365,7.579784699362476,,,0.3681360507220226,6.892970327768289,0.5443621643827409,5.039509205970234,-0.1666389571444034,1.9840039092072117
PP_0463,-1.0878470057330674,3.9857784959879643,-1.1342695398504083,5.319993366683371,-1.1019188031251066,13.292751153146792,-1.3403106369387068,4.680660164868715,-0.20412812173471298,1.7595196254418894,-0.26881439676214897,1.6697014998687953,-0.4695456507866731,9.226221755027142
PP_0464,0.37393238749690944,2.3501248025929127,,,0.328345463273519,3.839612963743209,,,-0.28452835820660477,3.081217454356466,,,,
PP_0465,-0.6823461676806729,5.4923607477986,,,-0.6034869476737966,1.7453211543910208,,,-0.9384955610945669,3.959238382884198,-0.8930818646604245,8.08026884729315,-1.4493442723165006,11.515057965309602
PP_0466,-0.7887712040838137,5.572422253437161,-0.711811558063663,4.245292415055805,-0.6057026151444804,9.127092337486632,-0.6770472836173353,3.4487661215421617,,,,,-0.6521121375547118,2.002953634842383
PP_0467,-0.8639849166429688,5.204340039065895,-0.377956424366695,4.2553987030576925,-0.7650472925587525,9.209429861540622,-0.4318475580070936,2.368321752493934,-0.3578575824415676,5.359290934532109,-0.34707824937929616,3.3653319098981926,-0.5046029868928847,7.160012378265323
PP_0470,-0.3979255637305953,2.3735239726557382,,,-0.4691494010036008,3.2161148721069184,,,-0.43955961202678323,2.7281140009235902,-0.4968793369119725,2.689796490776639,-0.9217417193798776,6.590566134514004
PP_0471,-0.4173182858352209,3.2729008146850878,-0.3015454655507847,1.4165145613904584,-0.32852494408992766,4.482808779435046,-0.28536852278665625,1.562019720763475,-0.4981189108032801,3.5770285521002365,-0.49159304835405676,1.9982309832408152,-0.659067719125613,7.709347631622478
PP_0473,-0.19948212918387392,1.8862750359920826,,,-0.21314065550723313,3.9300352001819365,-0.37166720817850335,3.0481861334371323,,,,,-0.4800487694883027,3.0171067929520543
PP_0476,-0.18441053340772925,1.4400533737211965,-0.4259593943407206,2.04196117018011,-0.19529671148293465,3.230307430098122,-0.46692612120614646,3.5486012021240323,-0.17228686604619037,2.706994833686138,,,-0.30950603243688035,5.8755376325293645
PP_0477,-0.46407701505768345,1.8192460876263137,,,-0.39276175998064694,4.32080070672999,,,-0.16099363216114917,3.2699324451515137,,,-0.29979092194699836,3.5374214801794954
PP_0480,-1.030120066837451,9.573353995053314,,,-1.189634484482656,13.283034546550835,-0.41037305979131805,1.8467725453227155,-0.3661847460107482,1.9037561833363463,-0.46278220201845377,1.7601658647873135,-0.9442775991340929,3.7564013288926157
PP_0559,0.7387025845175419,4.538163440859104,,,,,0.4423174951094025,1.7735824970073992,,,,,,
PP_0603,0.31080851992693476,1.7465794348855848,,,0.3978623155089616,1.9689705954734502,,,,,,,,
PP_0625,0.379320412476653,3.400937461992246,,,0.2418533360460635,3.5708542914300625,,,,,-0.20510208337640426,1.8753533688672608,,
PP_0689,-0.44460000723331766,3.3171595619193974,0.4552089547020411,2.4521234335490276,,,0.4392331670374639,1.7724782587495915,,,,,,
PP_0721,-0.8821138655361456,12.904560088942722,,,-0.4249219535267877,4.873940279322098,,,-0.5321332421049261,9.90247871349543,-0.4763693099685982,4.458939839422302,-0.9752341920473193,9.005035696128637
PP_0722,0.48375765473575927,5.443697549186044,,,0.481264089469138,3.4605912261775247,,,,,-0.09824824652689665,1.3919186062283837,,
PP_0751,1.142052347003845,1.9997325030214215,,,1.009103459148548,6.048451641837507,,,,,,,,
PP_0856,0.9957584191095452,9.285353747853769,,,,,,,,,,,,
PP_0897,0.4369375726854489,7.041419698839427,0.3262321781312907,1.5234414377339305,,,,,0.2742265101293868,1.4224803884492234,0.24055941277870796,1.608402329798461,-0.12239256567877271,1.7448103947776346
PP_0913,1.7621611564611372,2.0930234805382106,1.6377533473547052,13.24318926001034,1.767639047248837,8.037929467879158,1.6413138769216715,2.6421706006647594,,,,,1.4446439004902258,2.922919133852427
PP_0975,0.3235719784202313,4.137201584281017,0.5129266125191004,1.8341165368185912,,,0.5730769187234208,2.3216368108261896,,,-0.3698987290493124,2.2169100907374406,,
PP_0980,0.4012537766389782,1.6182464471717506,,,,,,,0.0996311549785098,1.4260649095871476,,,0.2965338916756477,3.8136158688618624
PP_1009,0.4241234107421609,5.772130087307238,,,0.3620575048737738,4.784610384138604,,,,,,,0.1820889333148898,1.4680721701185242
PP_1015,0.9195601779900132,2.9981407534798343,0.502383186698588,1.8804579411451527,1.1186114402896334,2.310730524526359,0.8424783965521895,3.664610939625232,0.8037181346829904,1.5795906556629238,1.0112213066790299,8.936561290351776,1.2523649817082005,3.4897972647043876
PP_1019,0.8445680130893518,2.733012242559701,,,1.0236819890359163,4.828495761253341,0.8397318771201625,2.191225831630532,1.0231929749133584,6.288227531285922,1.2333685411717463,6.12077475780854,1.1222002938417197,3.5244588625298485
PP_1022,0.11855004317554355,1.3866153936222763,,,,,,,,,0.13078136959301037,3.8688839286961056,,
PP_1023,0.18837465907583276,1.7258627122897892,,,,,,,,,0.32531577220439634,1.9159812548146709,0.3869843847234861,2.7820029131869393
PP_1024,-0.3721553816232674,3.1166108133872314,,,-0.6981382021236909,5.585200077131598,,,0.49070702552243817,3.223036459856931,0.4909143126500016,1.729247350667765,0.5675660473404394,4.3867325662482015
PP_1037,0.48501480300720307,1.9355303602718463,0.1920926543646316,2.0307999364748692,0.3531612654413006,1.5926676533684103,,,0.06328876772868344,2.0870734782507294,,,,
PP_1071,0.983116527373482,2.129950350933259,0.7688409722072247,3.0316445555946343,1.202309504334095,12.550218363365103,1.1058519004035967,2.512417915409266,,,0.4621776490288253,2.3569245325141015,0.8110371332535632,3.0915686619879983
PP_1082,-1.3973171658666976,4.783765436917489,,,-0.9265119606078127,1.5664073109197625,,,-0.530071357979912,2.669130927381782,-0.6214785863709795,1.8721640138980296,0.42129206382411905,3.8532250211343757
PP_1088,0.3267687328008441,6.694296096499385,,,0.16273676684165742,2.2085491802704444,,,,,-0.11257066824864988,1.457897632024178,,
