Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_0812,,,-0.20185920790122436,,-3.020402508100569,-3.159749023766969,-3.525572572393772,-1.741433231370972,,,,,,-6.730275713925735,0.41097997772564415
PP_0813,,,,-0.1298981140631532,-3.8648264572987805,-4.436787216279758,-7.97839800551319,0.22956171733575864,,,,,0.1447736853739511,-4.742766811487924,0.521048976992888
PP_1317,,,0.24820787935317012,,,,0.6081997704354049,0.6953314320020578,,,,,-0.8910155535548987,1.3628283307523583,0.6831399004426959
PP_1319,,,,0.3239781438684618,0.4281720718766234,0.40147564027019533,0.6945404534047473,0.6617620527368997,-1.4610120492936711,,,,-0.595605996600764,1.3260823304050648,0.7640774420244286
PP_4120,0.2832075009164462,0.3562236168506709,,0.2947284899430409,-0.3742026873868106,-0.25262358516370753,,,,,,-7.202450349175263,,0.2895432516399652,
PP_4121,0.20202178542786023,,,,-0.6828812341980927,-0.23484472335807077,,,0.20564389370360817,0.5818845035562155,,-8.002694869564978,,,0.27489696386055457
PP_4122,,-0.5868924314185908,,,-0.46881977048945,-0.4578258539832073,,,,-1.4304642442027578,,-6.10810605260787,,,
PP_4123,,,,,-0.7415962357034557,,,-0.8777840708176201,,-0.5951305812074417,,-7.3562465944308695,,,
PP_4124,0.17580756787216079,,0.08832633401373359,,-0.5762561743471842,-0.5753180178936473,-0.382435021381769,-0.5241937352409616,,-1.0790714704757685,,-7.820566931737068,,,
PP_4125,,,,,,-0.7486802737968794,-0.3497683751143501,-1.0033329935278201,,,,-5.919801566043871,,,
PP_4126,,,,,-0.6314987545417641,-0.5506219383301275,-0.3311330737262933,,,-0.3925874970381917,,-6.647691300530326,,,0.14965489758543918
PP_4250,,,,,1.3079862446236334,,,2.203967969156062,,,,,,,
PP_4251,,,,,0.9575235948124354,0.946488278771952,1.4439744474510368,1.8192608823868197,,,,,-0.8642983136727345,2.2458967419470244,1.4471528814222259
PP_4366,1.1387711280424886,,1.1804662885484303,-2.00466346268481,,,1.5700041941771241,,,,,-1.7177223605914957,-1.8180348416278382,-1.8603361659817215,-2.495353481224379
PP_5412,,,,,,0.7391192987729155,,,0.2663507411956736,,,0.5355913874241999,,,
PP_5413,-0.19831814021598249,-0.4271798604662203,,,0.1953670371092023,,,,,,-0.25667256244767545,,,,-0.260785359658853
PP_5414,,,0.1389426065276995,,0.6896739769280082,0.6561095490536896,0.5228071394175704,,,,,0.38661963850866365,0.230904066047058,0.6254172660627062,
PP_5415,,-0.2903648052581553,,,0.6578051571779112,0.6647207922930719,0.5550508554262087,0.44915318872672766,0.2622557547484476,0.43882268963592364,,0.30969691365744473,,0.5539290764336567,0.3449669538935723
PP_5416,,,,,0.7064093630431257,0.6398704103332727,0.4230612791735601,,,,,0.4601207676869939,,0.5300351183321571,
PP_5417,0.10697656452712233,,,0.23076835817106078,0.5825825330995904,0.5912705751815635,0.44911678962264145,,0.3811770082090421,,,0.3934662936052552,,0.516882429092813,0.18129830413427747
