Protein.Group,PP_0368_PP_0437_PP_0812_log2_FC,PP_0368_PP_0437_PP_0812_log10_pval,PP_0368_PP_0528_PP_0812_log2_FC,PP_0368_PP_0528_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_log2_FC,PP_0368_PP_0812_log10_pval,PP_0368_PP_0812_PP_0813_log2_FC,PP_0368_PP_0812_PP_0813_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0368_PP_0812_PP_0814_log2_FC,PP_0368_PP_0812_PP_0814_log10_pval,PP_0368_PP_0812_PP_0815_log2_FC,PP_0368_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_2136_log2_FC,PP_0368_PP_0812_PP_2136_log10_pval,PP_0368_PP_0812_PP_4189_log2_FC,PP_0368_PP_0812_PP_4189_log10_pval,PP_0437_PP_0812_log2_FC,PP_0437_PP_0812_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0812_log2_FC,PP_0528_PP_0812_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_0751_PP_0812_PP_0814_log2_FC,PP_0751_PP_0812_PP_0814_log10_pval,PP_0751_PP_0812_PP_0815_log2_FC,PP_0751_PP_0812_PP_0815_log10_pval,PP_0751_PP_0812_PP_4189_log2_FC,PP_0751_PP_0812_PP_4189_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0813_PP_0814_log2_FC,PP_0812_PP_0813_PP_0814_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0812_PP_0813_PP_1317_log2_FC,PP_0812_PP_0813_PP_1317_log10_pval,PP_0812_PP_0813_PP_4189_log2_FC,PP_0812_PP_0813_PP_4189_log10_pval,PP_0812_PP_0814_log2_FC,PP_0812_PP_0814_log10_pval,PP_0812_PP_0814_PP_0815_log2_FC,PP_0812_PP_0814_PP_0815_log10_pval,PP_0812_PP_0815_PP_1317_log2_FC,PP_0812_PP_0815_PP_1317_log10_pval,PP_0812_PP_0815_PP_2136_log2_FC,PP_0812_PP_0815_PP_2136_log10_pval,PP_0812_PP_0815_PP_4189_log2_FC,PP_0812_PP_0815_PP_4189_log10_pval,PP_0812_PP_2095_log2_FC,PP_0812_PP_2095_log10_pval,PP_0812_PP_2136_log2_FC,PP_0812_PP_2136_log10_pval,PP_0812_PP_4189_log2_FC,PP_0812_PP_4189_log10_pval
PP_0356,-0.4757066722003302,1.724344925005578,,,,,,,,,-0.6602231497340497,2.3439283833261033,,,,,,,,,,,,,0.2984091422427753,3.5054709911397,,,,,,,,,0.30222871541133733,1.340892283235417,,,0.2461195038917831,1.409924520512457,,,0.20888392990187893,1.794395367992882,-0.9263679291340354,2.017470223491813,0.16324323770231933,1.6990034012625532,,,,,,,0.29462219665967493,3.047257899780764,,,,,0.4395965172106679,7.377560232709846,-0.2014781404995969,1.8827457093314854,0.2742763913282522,2.355912960423281
PP_0654,,,,,,,,,,,,,5.923720720648107,4.2471562905971,,,,,,,,,,,,,,,6.476394562313869,2.329392983838355,,,,,6.103637892608813,2.284727045699753,,,,,,,5.748270036111909,2.2826968618200567,,,,,,,,,6.144928295115002,2.2624183976541095,,,,,,,,,,,,
PP_0751,,,0.67927436781731,10.63311853282838,,,-1.0134577989123907,9.367645824443384,0.5546720088317795,2.836770798309996,-0.541384035364284,3.7138649860501896,0.74188568042698,7.284664156069947,1.146181236477701,13.889339182888321,,,0.83465678987515,3.092012987949485,0.8217982876378663,10.072745469672686,0.9943364959153996,6.6059849927517265,0.885984067103748,6.352558929515036,,,0.21721314036006925,1.636870726578586,,,,,-1.191943661757205,2.3476458569475347,,,,,1.142052347003845,1.9997325030214215,1.009103459148548,6.048451641837507,-0.2651034492075294,2.834462290941571,,,1.044024873131712,14.115855571361408,0.4955667839526671,1.7502966990034923,0.5834477010808339,5.241256055963019,,,0.8669190082849058,5.103416213123591,1.1378171941952646,6.0116309028162815,0.6058834835772001,8.692738240877883,0.6199162915944957,3.994857774029444,,
PP_0944,,,,,,,,,,,6.705773424597063,1.6864689134299222,,,6.304778917762889,1.4305481078587448,,,,,,,7.563416365729107,2.0596054524846856,,,,,5.28541509036796,1.5755918593216882,,,7.004732421872628,2.282152867975418,,,7.629488140031566,2.0013395311023374,,,,,7.0044100800307065,2.0319003508451,,,7.0049125007761255,3.1789266978010158,,,,,,,,,,,,,,,6.4449075789754975,1.7036190175009407,,
PP_1251,0.2927155801076836,1.9457007422400294,0.7924648287724707,4.440204570440345,0.8430971390659058,5.474339747298008,,,0.7936182818298319,2.376818838987874,,,1.5946545559779297,2.6147057645997323,0.684467851014779,1.8805857008998155,0.8251486751366611,1.8560133664607938,1.4496175147253925,3.9212369960581377,,,1.0358736835094955,2.9912823342646235,1.8631632942504244,3.1007579287391382,,,0.4284317485951566,2.823307034700612,0.7372399144819786,2.3913784906571456,,,1.564323173626521,3.3087310018007527,0.8744075294951364,1.9109798437852503,,,,,,,1.2684414763412772,4.869882927272801,0.8175370361078926,2.5134783073476177,0.6850919347106136,1.5068554772561256,,,1.6937971586204439,3.920036735941347,0.9727786635922259,4.0767281467956025,1.0391244965905722,2.101909642703042,,,0.8995802519227923,6.880549860968925,0.9222783001285401,2.432412334634414,0.6006947604024291,3.063987717414631
PP_1755,0.8129331378459996,1.8264187593979897,,,,,0.7852615108041378,2.007081758281542,,,,,0.839392043108818,2.5518491548983757,,,0.9940003526532516,1.460185206272652,0.691630399602547,1.6865923971291152,,,,,0.8614615711604823,7.794048239075877,,,,,,,,,,,,,-0.6597591632921658,8.504934457675875,,,0.7002435789644905,1.7662967118510908,1.4214384885985865,1.4222279040085513,-0.29471264886679865,2.8440772317039875,,,,,,,,,,,0.848592978469965,1.399101106885827,-0.6404505604134252,2.1768667977197893,,,,
PP_2112,,,,,,,,,,,-1.3704879533009615,7.406357822616829,0.16844946098371352,1.4952581955708446,-0.2924222634047636,1.692532589072372,-0.6544304704445967,1.4663408417432198,-0.25663990188921953,2.3400324577961276,,,,,0.2851031627339393,2.0630417211311145,,,,,,,-0.7355545109011418,2.9004864455344603,0.402339128257402,2.1690938524722787,,,-1.1228667313225449,2.292477131257644,,,,,,,,,,,-0.8507004733116872,2.8628742651850967,0.8735040647672844,3.3983760300846275,,,,,0.5150086729111063,2.579596680755066,,,,,-0.7102037978196896,2.1873637111958844
PP_2336,,,,,,,,,,,,,-0.28652319706738744,3.0670147542427393,,,,,,,-0.28990224017300487,2.8717673227577993,-0.30371691991860544,1.5786576238174952,-0.25375905920570996,1.842530980616066,,,,,,,0.4122108179927797,5.234630936933344,,,,,-0.5311712620155439,2.5452361061979225,,,0.2152122827649813,1.774037564067612,,,,,,,,,,,,,,,,,,,-0.17135966793259416,1.5364482938268575,,
PP_2339,,,,,-0.4015071412859616,2.2438919388667005,-0.17288398745159383,1.761759136171253,,,-0.2979688323484291,1.6704602710223604,-0.3429329279793677,4.211587010919609,-0.39233189479395464,6.720897523419019,,,,,-0.6953967175777869,7.604568297498226,-0.634667745810065,9.412606016926977,-0.457502545461131,5.2506692822382774,0.28015256663697763,3.291123712256303,-0.8414112517956563,5.725582447159443,-0.1413124564822433,1.611852254213594,,,,,-0.3738329564283923,4.1959295913873245,-0.15945322569644857,2.382152681321597,-0.22626288027556096,2.779264150083154,-0.34967826492823434,2.4529942383148557,0.42011605876505975,1.7024611044414804,-0.49141304620813725,2.265323899669264,-0.40230307067446813,6.927833261860438,,,,,-0.1520408980912619,1.3320652050946755,-0.33198351974734575,3.414034408470294,-0.14175832068719213,2.0088613627498515,,,-0.4425905321005989,7.452981630610877,,
PP_2925,,,,,,,2.1303763123160904,1.5576980887603638,,,,,2.032910546552161,2.029066075337621,,,,,,,,,,,2.1430704620937675,2.2667242240694176,1.4297819613356972,1.5171490272430914,,,,,,,2.290375202537359,2.0807196724194132,,,,,,,1.6498282949614813,1.4759787647121552,,,1.1737549227675563,2.4516971300139696,1.176692228886908,1.5484616221874998,,,2.5137619693616364,3.031533818324874,1.2785910653239585,1.4170773644368668,,,2.091819674725348,10.712198446553458,,,,,,
