Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0763,-1.2585476719530202,2.315665711319018,,,0.590141900092276,3.203025654631645,,,,,,,,,0.7582022806198465,2.7553309882840016,0.24402672018280547,2.0756700210126255,,,-3.0387860135775564,12.1465494944862,,,,,0.9346286688139335,3.191954016831968,,
PP_2136,1.4327324484711361,3.181106625779946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2137,1.561560931450382,4.1164319001046845,0.42756239153889214,1.4924649153753966,-0.410366751685633,2.173177223695041,-1.0204903750709737,7.084908056599351,,,,,0.2658533033178661,2.2123710347510714,0.6050372056633104,1.4607691261874636,,,,,,,-0.2502256772850162,3.8787301405669448,,,,,0.3092777811799656,6.057915308084862
PP_2214,-1.8724451516038474,3.1455277600080254,-1.202026136142655,3.7981380666977653,-0.7143254050362816,2.198646859881711,,,-0.8033026685094773,2.870052954920726,,,,,-1.7259608890863067,1.8249692144363916,-0.6709712846427451,2.419682678155617,-2.5582963837115646,2.6598829193082643,-1.3984755554583002,2.6601442050005004,-0.5980866516522788,1.8026189273152258,,,,,-1.0804925920319848,2.2828517634388485
PP_3754,-0.9056250278519906,1.8119539137769456,,,0.49275832233977807,2.9437737735776057,,,,,,,,,,,,,,,-0.5685214567873782,1.3626448519157226,-0.14413912101045004,1.332600634851398,,,,,,
PP_4175,-0.24027444396136607,3.67500685891718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_4379,0.1865075115191587,1.3406540872253885,,,,,,,,,,,0.20025224129529653,4.1641323466486355,,,,,0.4511209670159832,3.766328265395549,0.535984218909433,5.91154962220606,,,0.5318176163954048,3.0446550196468776,,,,
PP_4545,0.24052753087269446,1.415182691742509,-0.1515618967954421,3.0299739986210175,,,0.25489635867042565,1.5040458115582596,0.17032129175155786,2.199854620460239,0.4174671926049704,1.4707617585118355,,,,,,,,,,,,,,,0.3810636985517376,1.460482397560429,0.5591976291349634,1.9686136697632313
PP_0363,,,4.948146722243194,1.4122594479914106,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0364,,,2.153039519845378,1.5745234121225788,,,,,,,,,,,,,,,,,,,,,,,,,,
