Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_4011,,,,,,,,,,,,,,1.1750977666838227,
PP_4012,0.6325530345613293,,,,,,,,,,,,,,
PP_4116,-3.3689248841834445,-2.528723563723342,,,,1.056459091756218,,,,,-2.8699406322328556,,,-2.776216481143956,
PP_4187,,,,,-0.7203529147466408,-0.5260996317540272,-0.7882792626819177,,-0.47930152846267443,-0.7873393831856228,,-0.5678963399714363,-2.5166047129587916,,-0.7346878079816686
PP_4188,,0.4662810649554453,,,-0.9208709138261583,-0.9148979693279654,-0.9377071576781267,-0.5880770020616036,,,,,-3.087832921299664,,-0.49571576249738497
PP_4189,,0.29052384281554217,,,-0.6614384092770947,,-0.773128550368412,,,,,,-2.754804671983996,,-0.3592552389098409
PP_4185,-1.2198911065534812,,,,-1.191671799036021,,-1.1868287529755652,-0.8248644786551964,,,,,,-2.820372863824032,
PP_4186,-1.1997811039515838,,,,-1.5961631887724073,-1.485354902590602,-1.684811381039793,-1.0394793874600052,,,,,,-2.7756724926021055,
PP_0751,,0.39663674177537667,,-4.2036776466364705,,,-0.4738927132529254,,0.5311143651266735,,,,,,
PP_2925,,,,-4.193083452292365,,-2.8066634912544677,,,,,,,-3.5774328676784966,,-4.396184467263962
PP_1251,0.5229136418263234,,,,,,,,,,,,,,
