Protein.Group,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log10_p_value
A0A140FVX0,,,,,-1.599751942331955,5.582018777723481,,
A0A140FVZ1,,,,,,,0.37279784822581613,1.4622295826260403
A0A140FW18,,,,,3.4403500701201595,1.7454189849338533,,
A0A140FW42,1.6477595901639344,2.555934655148319,1.386849235684688,1.3934897295229671,0.943102612652984,2.0328006349672725,,
A0A140FW57,-1.8821727071369143,2.314466029919166,-2.227956535351606,2.6159169292150963,,,-2.531391323950691,2.6972426669283966
A0A140FWA3,0.9234666900110777,2.9087821141500183,0.576439706429318,1.8508777644768228,,,,
A0A140FWA4,1.0634059737245938,1.765152960689187,1.1633766093180238,5.735721971891077,0.7393489210160035,4.4373536821330815,0.7486920733278563,3.4777695602022467
A0A140FWC7,0.9165542201629175,1.5559268837936617,0.9647217433378525,1.5764336102033152,,,0.6953696595585391,4.420293430508893
A0A140FWJ5,,,,,1.5669850059108148,3.1044428909600335,,
A0A140FWP7,-1.167946429101148,2.566595933009428,-1.1472529022997182,2.5484786273268085,,,-0.9847098403536878,2.157130263090117
A0A140FWQ2,-6.3527819195391055,8.347914889709461,-6.378944914768672,8.339046955019947,-1.8682206759874016,5.309185599735076,-6.440660982318785,8.349667300116897
A0A140FWQ5,,,0.5967318806924152,1.3909779097851602,,,,
A0A140FWQ8,-5.377823557578119,2.711361512140939,,,,,-5.776324192056103,2.7285537817560956
A0A140FWR3,-3.1679332341744795,5.2654871965524075,-3.468754525726802,5.582060458943183,-2.637333044841818,4.824912000928118,-2.4569310651255813,3.7087423078628703
A0A140FWS3,,,-0.20212060003529206,2.1267990873070572,,,,
A0A140FWS5,,,,,0.4663058969356176,1.3487701824979625,,
A0A140FWU0,,,,,0.7684937875292848,1.811878990730252,,
MM_1762,0.553918891198603,2.3094724311029817,0.5032190823428208,3.7660965285958388,0.3454075234820549,2.2916346707866793,0.5194144637397644,2.21254758041
PP_0001,-0.8251414832989004,2.7148791917182975,-0.7690356123638187,1.6247895596713537,,,,
PP_0003,,,,,0.2544669219702979,1.9014048022997798,,
PP_0004,,,0.5859061715327907,2.9994073541987807,,,,
PP_0006,,,,,0.28779650853620414,2.5042743981312308,,
PP_0011,,,,,,,0.2706285762256546,1.524381688398515
