Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
EF_1364,,,,,0.9042910966431383,4.264479659071904,-0.5099882698861872,1.9539251886010263,-0.9123875765173765,3.5792831139284353,-0.9842623210766941,3.847984038067727,,,-1.641065967710332,5.450911165432827,-1.0362882809479368,3.9994546962622852,-2.1015455890169754,6.112709958649526,,,-0.7217875176225242,2.915582354533642,-1.41962819524333,4.993382559916301,-0.7702818011329559,3.107006995082506,-1.4965428701177386,5.157802076884448
MM_1762,,,0.238424547450438,3.8392660079711414,,,0.19501300031570246,3.327128834545122,,,,,,,,,,,0.6977440823212263,4.663886405905865,,,0.15202346130250077,1.9990827611423632,-0.2523262854408204,2.1900101123213074,0.49154882467493904,5.997591522380201,,
PP_0001,,,0.24223648553789331,2.009517082221856,,,,,,,,,,,-0.8328754149419225,2.1141186712697673,-0.8414190263300705,2.0411470235670395,,,,,,,,,0.24050745961660186,1.4548178039034356,0.303493147055358,3.121902634309644
PP_0002,,,0.24634991954623486,2.355361606422751,,,-2.967946460723851,4.152767297785147,,,,,,,-0.43735423549733105,2.4077534803789784,-0.7613702429633942,1.887431777108661,-1.6994485845207916,1.6797497634819825,0.3199983239412935,2.1921878361529874,,,-1.0584536805953406,6.972328522814557,-1.9832579060401208,1.8681098410531307,-0.4861075270080378,2.2477768059277046
PP_0003,,,-0.5174823431172494,6.152000451142983,,,,,,,,,-0.5478080134210815,1.9089488125377085,,,,,,,,,,,,,-0.6252653352936106,1.8193963577336452,,
PP_0004,,,,,,,0.1987137302332716,1.5436547915067824,-0.2600773422708779,2.195708882192931,,,,,-0.6018313181640212,1.39245477341536,-0.754592602423612,2.655411299680041,-0.898040733430938,7.727786371742177,,,,,,,-1.6185155620746476,2.323015292121779,-0.6389120842728784,5.533711816782006
PP_0005,,,,,,,,,,,,,,,0.7324348645223379,1.3608330570516642,,,,,,,,,,,,,,
PP_0006,,,-0.3543640795257012,12.358092109264287,-0.05665649317997309,2.7232755627833267,,,,,,,-0.5058110345573785,2.116523345021442,-0.6173632816682127,2.851673018685837,,,,,,,-0.13900585231209184,1.5982619906513489,,,-0.21671251464180608,4.9223559750511,,
PP_0010,,,,,,,,,,,,,-0.4391274809870932,3.813199604452981,,,,,,,,,,,-0.37553718512430967,1.516299642493399,-0.6320812457040498,2.5443967092992668,,
PP_0011,,,,,0.13277694585192995,2.215719178400173,-0.9395413664430357,13.118593647352546,-0.9297954564522469,13.388098707507394,-1.0981322837449892,2.543780781849675,-0.990788619033261,2.9400250297482504,-0.7062874706971894,4.667495745437681,-0.48475757461405605,2.852040241569987,-0.7024785768140959,3.4637033661695575,,,-1.0601241372499075,3.6938427754730174,-1.0105598013033692,8.263084995621618,-0.6641686746298576,7.471578928329571,-0.9392282468355319,1.9920210323505223
PP_0013,,,,,-0.338511446693474,2.6405055237996797,,,,,,,,,,,,,,,,,,,0.2223812555839513,2.0732098287275704,,,,
PP_0017,,,-0.4810546155753559,1.3241771847076271,,,-0.2726547606326331,1.7587024093603305,-0.5969658061042132,8.759803368120178,-0.8205156887775858,2.1807689185931847,-0.24849748154060697,3.73976484573979,-0.7794451292545057,2.848463968346962,-0.6512552705640968,1.6879802818427458,-1.0417238166515568,3.6295603855571317,,,-0.3841491569807782,5.36726124191094,,,-0.35014266348017664,1.4008509247403709,-0.5592027020408917,4.787793692474628
PP_0018,0.3186863744463876,2.4166610196530915,0.2163304105013215,1.4733221166317634,0.5887996342114964,1.577507826838939,,,0.2507045442330758,1.3764270025397438,,,,,,,-0.4391154132323564,1.7432591373826938,,,,,,,,,,,,
PP_0019,,,,,,,,,,,,,0.755008056104859,3.3257208680211336,,,,,,,,,,,,,,,,
PP_0020,,,,,,,,,,,0.6851029120079035,1.3874921319641678,,,,,,,,,,,,,0.9081754553564816,2.7270660928204244,,,,
