Protein.Group,PP_0368_PP_0437_PP_0812_log2_FC,PP_0368_PP_0437_PP_0812_log10_pval,PP_0368_PP_0528_PP_0812_log2_FC,PP_0368_PP_0528_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_log2_FC,PP_0368_PP_0812_log10_pval,PP_0368_PP_0812_PP_0813_log2_FC,PP_0368_PP_0812_PP_0813_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0368_PP_0812_PP_0814_log2_FC,PP_0368_PP_0812_PP_0814_log10_pval,PP_0368_PP_0812_PP_0815_log2_FC,PP_0368_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_2136_log2_FC,PP_0368_PP_0812_PP_2136_log10_pval,PP_0368_PP_0812_PP_4189_log2_FC,PP_0368_PP_0812_PP_4189_log10_pval,PP_0437_PP_0812_log2_FC,PP_0437_PP_0812_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0812_log2_FC,PP_0528_PP_0812_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_0751_PP_0812_PP_0814_log2_FC,PP_0751_PP_0812_PP_0814_log10_pval,PP_0751_PP_0812_PP_0815_log2_FC,PP_0751_PP_0812_PP_0815_log10_pval,PP_0751_PP_0812_PP_4189_log2_FC,PP_0751_PP_0812_PP_4189_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0813_PP_0814_log2_FC,PP_0812_PP_0813_PP_0814_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0812_PP_0813_PP_1317_log2_FC,PP_0812_PP_0813_PP_1317_log10_pval,PP_0812_PP_0813_PP_4189_log2_FC,PP_0812_PP_0813_PP_4189_log10_pval,PP_0812_PP_0814_log2_FC,PP_0812_PP_0814_log10_pval,PP_0812_PP_0814_PP_0815_log2_FC,PP_0812_PP_0814_PP_0815_log10_pval,PP_0812_PP_0815_PP_1317_log2_FC,PP_0812_PP_0815_PP_1317_log10_pval,PP_0812_PP_0815_PP_2136_log2_FC,PP_0812_PP_0815_PP_2136_log10_pval,PP_0812_PP_0815_PP_4189_log2_FC,PP_0812_PP_0815_PP_4189_log10_pval,PP_0812_PP_2095_log2_FC,PP_0812_PP_2095_log10_pval,PP_0812_PP_2136_log2_FC,PP_0812_PP_2136_log10_pval,PP_0812_PP_4189_log2_FC,PP_0812_PP_4189_log10_pval
PP_0812,,,,,,,-2.2505257743637026,12.136119643564532,-1.9779276269951664,7.28426657151501,,,,,,,,,,,-1.4402252526324817,5.1571407579367,-1.3483183426768675,4.718359880199087,-2.638121181973169,11.486749311453957,,,,,-2.090009901296202,10.107234472455882,,,-2.3058319176521938,4.435978820483646,-1.3412306272444665,6.272856180866012,,,,,,,,,-2.6393805673253117,12.638319387937006,-2.506908503737248,5.0136807661187515,,,,,-1.601704733158389,2.78807700046229,,,,,-1.240957980605216,9.813563359113504,-2.7501463403865394,9.286111137325092,,
PP_0813,,,,,,,-2.254778448550005,7.652989494640273,-1.5181522098117872,3.362932826392445,,,,,,,-0.9941283231502115,2.105919840881832,-1.8763498075980887,14.210608926946632,-2.1851409546958904,3.6838393589968534,-1.5693824188704637,14.08474810701015,,,,,,,,,,,-1.8280359786826987,8.928947472188897,-1.6705190016909264,10.203825486523716,,,,,,,,,,,,,,,,,-1.2818913449161664,2.6640776880268895,-2.496943680580963,16.553934117869304,,,-0.8392700773768275,11.306059109250556,,,,
PP_1317,0.3642792110753966,4.240568773284692,0.43148472667469423,3.869380735364843,,,,,,,,,,,0.2288530451569662,1.3899848843505773,,,,,-0.3580938732874342,1.8870296129024322,-0.4827793962981967,1.3594213117682994,,,0.5957346134728216,3.380299765896102,,,,,0.4369916062850732,3.4921963189037757,0.5475704418029906,4.088046978855679,-0.3578267475008104,3.0172629204522687,,,0.544845279671811,2.175756619489208,,,,,,,,,0.6575702156282224,2.1031615783059534,0.5722946089518288,6.133528659420079,-1.3423803502115113,1.6470444359498357,,,0.40487436785204767,4.835042790919162,0.8144622348195273,5.213110416984173,,,0.6259467895143173,2.319437482204088
PP_1319,0.3978911676178037,3.1648577823353308,,,-0.2471166156368887,1.7161340018847675,,,-0.37063518940312723,2.247972569513941,0.34871162822907326,3.8627972989099124,,,,,,,,,-1.038761252188469,1.6239267582844104,-0.47848741946291734,3.000967852181345,,,,,,,,,0.4271647248524006,1.5654106851102791,,,-0.2935135618132091,2.962088400793884,0.4281720718766234,2.782673470983838,,,,,0.5993083589615196,6.731908851111633,,,,,,,,,,,,,0.22680321033038897,2.55333041093628,-1.6920716235308881,5.544946346487049,-0.2224130890220561,1.357512708471036,,
PP_4120,,,-0.7968283788331011,2.990920773799855,-0.49582281046812055,1.5596981810192132,-0.5366603692580098,5.971486109862418,-0.4144107472038828,3.6979568310092725,,,-0.6250877558210483,6.376219624455957,-0.4792560783537078,3.7925377948019268,,,-0.705645613281546,4.266494239436674,-0.6197877500240501,3.581933805334992,-0.7206123182509678,7.106917505654186,-0.5730569160960327,6.93258885844879,-1.6198169044974418,2.9364718444793487,-0.6772339894249084,8.127730853385396,-0.22759432735917906,3.00304059561886,,,-0.18951026870592214,1.5539072698664982,-0.5414635384460789,6.7838751121703815,-0.3742026873868106,1.9495237239386536,-0.3580466218571454,1.8828585707510597,,,,,-0.6529019281199437,7.804662186532276,-0.45047593998868823,4.931329125562987,-0.5245530628576524,2.2438500535762427,-0.6020477668349987,5.305910573176942,,,-0.6709502450906824,7.360909928124297,-0.5353477301996579,5.505246476410235,-0.9436617419244715,1.7335174473079322,-0.9269161934360008,9.78425692771647,-0.4759190183830796,2.105816520243831
PP_4121,-0.2337291640126919,3.8370099992861664,-0.37982097680254967,1.310566849815959,,,,,,,-0.29905768393476384,7.23895405226834,-0.31357432788047335,7.802033873195671,-0.26859346127675293,2.3748060292454,,,-0.3167385940327217,3.1785925728321303,-0.3314247025654059,7.872863502454668,-0.26594647898205714,5.330366642233315,-0.316016158465367,6.8139574524178,,,-0.5808154890426235,12.081571937459954,,,,,0.45250294402680136,4.499082835084683,,,-0.6828812341980927,1.3525995816106169,,,-0.22783351284966205,1.5936978762820695,,,,,-0.3686469358617367,4.185991767856113,-0.27202030360574014,2.998859403014761,,,-0.13927847684749117,2.550848561433084,-0.34794014277081897,9.308614186136703,,,-0.20810456988539683,6.205071843095787,-0.40585107281937166,5.020972548577607,-0.20464297011470925,1.4980991565798214
PP_4122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46881977048945,2.8798920097084006,,,,,,,,,,,-0.5583828305610514,1.879294746196188,,,,,,,,,-0.43289387137710755,2.578863189956343,,,-0.5408616081103857,2.6124409072127905
PP_4123,,,,,,,,,-0.729886724922581,1.4158845347523303,-0.15096651424883153,2.3213217745364965,,,,,,,,,,,-0.3559798530106914,1.6070930542367068,,,,,,,0.47543189459422075,2.366615085255312,0.3810471627485122,5.4848755407124905,0.5772176637847669,3.4458081481548035,0.1974400384868026,1.4715926625938913,-0.7415962357034557,1.98717210664902,0.27404523601238767,2.0711370612585243,,,,,,,,,,,,,,,,,,,-0.517930895747255,2.535961636085896,,,,
PP_4124,-0.7606946583871753,15.318848888195808,-0.4779804223267072,12.340588820107653,-0.22737530905236375,1.7138066282840019,-0.20211867350255544,1.9409687700966267,-0.5767028898732082,2.4612377762452873,-0.7329433378573282,6.480700538096526,-0.3741915669680582,5.632688156716527,-0.278121521036842,2.5981300764588986,,,-0.33308754911613436,9.178505546406237,-0.5400187943862794,1.3277888571986933,-0.3502587590316883,3.480596327110134,-0.27920979690360276,2.7636578657315227,,,-0.7512861679026321,1.6781021684979782,,,-0.3863976369982697,2.7260651220243166,0.16916681282061885,1.3756970538049398,-0.1782000019013552,1.8850412793885925,-0.5762561743471842,6.55988740012314,-0.6696882095966831,1.4359542692576335,-0.21921676307217042,2.1035121751909296,-0.5595038488076659,3.6309821638456588,-0.3885602314655139,7.715130850704963,-0.46517040740729076,2.4432482475930954,-0.7336689954141712,3.654939428043267,-0.2924870837116228,3.3028340416766273,-0.4103260914238011,3.8758332040409393,-0.35957748198153244,1.5010713926623422,,,,,-0.5493855134947081,3.0596642058545087,-0.4774563622349633,4.365587532786282
PP_4125,,,,,1.1392399983687507,3.778645145141257,0.9745464329026848,3.5047017664723796,,,,,,,1.2663535421533452,3.52151644680855,,,0.5974726158324736,1.460480543347616,0.6490089687128336,1.790687582429206,0.909406927430098,1.5431884792180046,,,,,,,,,,,1.0706090800818502,1.588391008886498,,,,,,,0.9860154176138032,10.321384658182971,,,,,0.6926758196313523,7.49628980064362,,,,,,,,,,,0.810367652422221,4.906750975139932,,,,
