original,extracted,locus,primary_name,organism,is_putida
sp|P0AE22,P0AE22,b4055 JW4015,aphA,Escherichia coli (strain K12),FALSE
sp|A9GAJ9,A9GAJ9,sce2716,mcm,Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56)),FALSE
sp|K4JH65,K4JH65,,gdnD,Streptomyces sp. K01-0509,FALSE
sp|O77727,O77727,,KRT15,Ovis aries (Sheep),FALSE
sp|O82803,O82803,,SRPP,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis),FALSE
sp|O85207,O85207,PP_1408,phaG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P00552,P00552,,neo,Klebsiella pneumoniae,FALSE
sp|P00698,P00698,,LYZ,Gallus gallus (Chicken),FALSE
sp|P00761,P00761,,,Sus scrofa (Pig),FALSE
sp|P04264,P04264,,KRT1,Homo sapiens (Human),FALSE
sp|P0A0Z9,P0A0Z9,PP_5185,argA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A101,P0A101,PP_3952,pcaJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A116,P0A116,PP_0010,dnaA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A118,P0A118,PP_0388,dnaG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A120,P0A120,PP_0011,dnaN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A122,P0A122,PP_1625,fdxA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A124,P0A124,PP_0003,rsmG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
