Strain,Time,OD600,Glucose (g/L),,,,,
Control,0,0.09,22.03,,,,,
Control,6,0.68,19.48,,,,,
Control,24,0.57,0.01,,,,,
Control,30,0.81,0.2,,,,,
Control,48,1.39,0.01,,,,,
Control,54,1.45,0.02,,,,,
Control,72,1.58,0,,,,,
Strain_1,0,0.09,22.18,,,,,
Strain_1,6,0.28,20.69,,,,,
Strain_1,24,0.86,12.08,,,,,
Strain_1,30,2.1,5.15,,,,,
Strain_1,48,2.14,0.02,,,,,
Strain_1,54,2.17,0.29,,,,,
Strain_1,72,2.07,0,,,,,
Strain_2,0,0.09,21.87,,,,,
Strain_2,6,0.4,20.67,,,,,
Strain_2,24,0.85,4.42,,,,,
Strain_2,30,1.1,0.3,,,,,
Strain_2,48,1.42,0.34,,,,,
Strain_2,54,1.49,0.42,,,,,
Strain_2,72,1.61,0,,,,,
Strain_3,0,0.09,22.18,,,,,
Strain_3,6,0.34,21.12,,,,,
Strain_3,24,0.89,6.48,,,,,
Strain_3,30,1.16,2.35,,,,,
Strain_3,48,1.49,0.37,,,,,
Strain_3,54,1.56,0.01,,,,,
Strain_3,72,1.64,0,,,,,
Strain_5_FB,0,0.08,10.39,,,,,
Strain_5_FB,6,0.11,9.28,,,,,
Strain_5_FB,24,0.5,4.24,,,,,
Strain_5_FB,30,2.33,0,,,,,
Strain_5_FB,48,5.94,0.9,,,,,
Strain_5_FB,54,7.55,3.16,,,,,
Strain_5_FB,72,9.7,0,,,,,
Strain_5,0,0.09,22.1,,,,,
Strain_5,6,0.27,20.76,,,,,
Strain_5,24,0.98,10.02,,,,,
Strain_5,30,1.65,3.75,,,,,
Strain_5,48,1.97,0.04,,,,,
Strain_5,54,1.93,0.35,,,,,
Strain_5,72,2.01,0,,,,,
Control,0,0.1,22.18,,,,,
Control,6,0.74,19.6,,,,,
Control,24,0.46,0.44,,,,,
Control,30,0.67,0.3,,,,,
Control,48,1.24,0.16,,,,,
Control,54,1.43,0.1,,,,,
Control,72,1.57,0,,,,,
Strain_1,0,0.09,22.19,,,,,
Strain_1,6,0.25,21.55,,,,,
Strain_1,24,0.85,12.2,,,,,
Strain_1,30,1.97,6,,,,,
Strain_1,48,2.08,0.31,,,,,
Strain_1,54,2.02,0.04,,,,,
Strain_1,72,2.02,0,,,,,
Strain_2,0,0.09,22.13,,,,,
Strain_2,6,0.36,20.75,,,,,
Strain_2,24,0.74,6.02,,,,,
Strain_2,30,1.02,1.4,,,,,
Strain_2,48,1.62,0.06,,,,,
Strain_2,54,1.71,0.2,,,,,
Strain_2,72,1.8,0,,,,,
Strain_3,0,0.09,21.94,,,,,
Strain_3,6,0.27,21.01,,,,,
Strain_3,24,0.84,7.12,,,,,
Strain_3,30,1.53,2.75,,,,,
Strain_3,48,1.67,0.09,,,,,
Strain_3,54,1.73,0.27,,,,,
Strain_3,72,1.86,0,,,,,
Strain_5_FB,0,0.1,10.29,,,,,
Strain_5_FB,6,0.4,9.02,,,,,
Strain_5_FB,24,1.16,1.62,,,,,
Strain_5_FB,30,2.37,0.9,,,,,
Strain_5_FB,48,6.42,1.98,,,,,
Strain_5_FB,54,8.25,1.71,,,,,
Strain_5_FB,72,12.5,0,,,,,
Strain_5,0,0.09,22.07,,,,,
Strain_5,6,0.29,20.37,,,,,
Strain_5,24,0.87,10.7,,,,,
Strain_5,30,1.79,4.15,,,,,
Strain_5,48,1.75,0.22,,,,,
Strain_5,54,1.93,0.25,,,,,
Strain_5,72,1.94,0,,,,,
