,Line Name,cycle,is_control,line_name_norep,number_of_grna,isoprenol
0,Control,0,TRUE,Control,0,177.337
1,Control,0,TRUE,Control,0,176.13507
2,Control,0,TRUE,Control,0,192.63713
3,Control,0,TRUE,Control,0,202.7048
4,Control,0,TRUE,Control,0,123.84653
5,Control,0,TRUE,Control,0,177.1856
6,Control,0,TRUE,Control,0,168.0272
7,Control,0,TRUE,Control,0,150.89067
8,Control,0,TRUE,Control,0,197.79113
9,Control,0,TRUE,Control,0,184.31093
10,Control,0,TRUE,Control,0,181.88373
11,Control,0,TRUE,Control,0,169.4058
12,Control,0,TRUE,Control,0,161.6762
13,Control,0,TRUE,Control,0,136.42987
14,Control,0,TRUE,Control,0,162.31847
15,Control,0,TRUE,Control,0,162.12527
16,Control,0,TRUE,Control,0,165.5256
17,Control,0,TRUE,Control,0,165.55333
51,PP_0368,0,FALSE,PP_0368,1,227.0476
52,PP_0368,0,FALSE,PP_0368,1,246.3242
53,PP_0368,0,FALSE,PP_0368,1,236.6698
78,PP_0751,0,FALSE,PP_0751,1,212.71467
79,PP_0751,0,FALSE,PP_0751,1,214.10044
80,PP_0751,0,FALSE,PP_0751,1,206.26133
87,PP_0812,0,FALSE,PP_0812,1,224.54833
88,PP_0812,0,FALSE,PP_0812,1,231.1432
89,PP_0812,0,FALSE,PP_0812,1,251.68627
90,PP_0812,0,FALSE,PP_0812,1,252.7312
91,PP_0812,0,FALSE,PP_0812,1,255.52187
92,PP_0812,0,FALSE,PP_0812,1,249.00007
93,PP_0813,0,FALSE,PP_0813,1,256.74173
94,PP_0813,0,FALSE,PP_0813,1,216.197
95,PP_0813,0,FALSE,PP_0813,1,359.93587
96,PP_0813,0,FALSE,PP_0813,1,197.1834
97,PP_0813,0,FALSE,PP_0813,1,354.33373
98,PP_0813,0,FALSE,PP_0813,1,222.43527
99,PP_0814,0,FALSE,PP_0814,1,306.44507
100,PP_0814,0,FALSE,PP_0814,1,285.185
101,PP_0814,0,FALSE,PP_0814,1,345.55767
102,PP_0815,0,FALSE,PP_0815,1,272.805
103,PP_0815,0,FALSE,PP_0815,1,248.58573
104,PP_0815,0,FALSE,PP_0815,1,255.54267
129,PP_1317,0,FALSE,PP_1317,1,150.87167
130,PP_1317,0,FALSE,PP_1317,1,153.2682
131,PP_1317,0,FALSE,PP_1317,1,152.23527
180,PP_2136,0,FALSE,PP_2136,1,232.3398
181,PP_2136,0,FALSE,PP_2136,1,234.2294
182,PP_2136,0,FALSE,PP_2136,1,235.8306
252,PP_4120,0,FALSE,PP_4120,1,164.54044
253,PP_4120,0,FALSE,PP_4120,1,162.44
254,PP_4120,0,FALSE,PP_4120,1,159.00889
297,PP_4189,0,FALSE,PP_4189,1,283.2782
298,PP_4189,0,FALSE,PP_4189,1,269.70547
299,PP_4189,0,FALSE,PP_4189,1,321.20247
300,PP_4191,0,FALSE,PP_4191,1,358.72587
301,PP_4191,0,FALSE,PP_4191,1,367.47564
302,PP_4191,0,FALSE,PP_4191,1,349.11636
