,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
0,Control-R1,1,True,Control,0,177.337,23396190.6,1.0074048652864418,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
1,Control-R10,10,True,Control,0,176.13507,28115139.4,1.2754265624453556,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
2,Control-R11,11,True,Control,0,192.63713,24151481.4,1.0956175767695089,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
3,Control-R12,12,True,Control,0,202.7048,26008612.7,1.179865232677225,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
4,Control-R13,13,True,Control,0,123.84653,18057997.4,0.8191903024506849,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
5,Control-R14,14,True,Control,0,177.1856,19880408.7,0.9018629062265913,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
6,Control-R15,15,True,Control,0,168.0272,10259545.21,1.2983082668905883,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
7,Control-R16,16,True,Control,0,150.89067,8470767.4,1.0719449173641582,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
8,Control-R17,17,True,Control,0,197.79113,6601139.0,0.8353502186666489,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
9,Control-R18,18,True,Control,0,184.31093,6277513.6,0.7943965970786045,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
10,Control-R2,2,True,Control,0,181.88373,24489896.2,1.0544981875057873,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
11,Control-R3,3,True,Control,0,169.4058,25059083.87,1.0790065546080392,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
12,Control-R4,4,True,Control,0,161.6762,16135133.47,0.6947546392327693,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
13,Control-R5,5,True,Control,0,136.42987,25734552.3,1.1080912117799377,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
14,Control-R6,6,True,Control,0,162.31847,25625370.16,1.1033899926405113,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
15,Control-R7,7,True,Control,0,162.12527,22129302.14,0.9528545489465138,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
16,Control-R8,8,True,Control,0,165.5256,17947765.8,0.8141897115355693,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
17,Control-R9,9,True,Control,0,165.55333,20144598.25,0.9138477078950648,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,,True
18,PP_0001-R1,1,False,PP_0001,1,63.3426,10231348.69,1.294740099465597,PP_0001,,,,135695.12,,,,2740936.1725000003,,,,0.04950685147703854,,,,False,True,True,False,False,False,True,True,True,,False
19,PP_0001-R2,2,False,PP_0001,1,45.00793,6870087.56,0.8693846842953957,PP_0001,,,,350256.36,,,,2740936.1725000003,,,,0.12778712744723716,,,,False,True,True,False,False,False,True,True,True,,False
20,PP_0001-R3,3,False,PP_0001,1,65.72793,7505704.78,0.9498197400812667,PP_0001,,,,153400.69,,,,2740936.1725000003,,,,0.05596653126733836,,,,False,True,True,False,False,False,True,True,True,,False
21,PP_0103-R1,1,False,PP_0103,1,191.91233,1469815.1,0.185999774460823,PP_0103,,,,,,,,,,,,,,,,True,False,True,False,False,False,True,True,False,,False
22,PP_0103-R2,2,False,PP_0103,1,188.11747,1589935.1,0.20120052515948844,PP_0103,,,,,,,,,,,,,,,,True,False,True,False,False,False,True,True,False,,False
23,PP_0103-R3,3,False,PP_0103,1,170.5352,1670118.69,0.21134746789770026,PP_0103,,,,,,,,,,,,,,,,True,False,True,False,False,False,True,True,False,,False
24,PP_0104-R1,1,False,PP_0104,1,143.59987,8219115.4,1.0400992687226283,PP_0104,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
25,PP_0104-R2,2,False,PP_0104,1,133.63573,10433428.51,1.320312568372117,PP_0104,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
26,PP_0104-R3,3,False,PP_0104,1,114.00867,7688592.3,0.9729634929735176,PP_0104,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
27,PP_0105-R1,1,False,PP_0105,1,153.23733,7353845.0,0.9306024352449846,PP_0105,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
28,PP_0105-R2,2,False,PP_0105,1,149.14173,7836576.94,0.99169041288587,PP_0105,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
29,PP_0105-R3,3,False,PP_0105,1,132.12667,7559394.4,0.9566139669271382,PP_0105,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
30,PP_0106-R1,1,False,PP_0106,1,134.86047,8208057.9,1.0386999821687615,PP_0106,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
31,PP_0106-R2,2,False,PP_0106,1,129.05213,8697353.0,1.1006185039234948,PP_0106,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,True,,False
