,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
0,PP_0528_PP_0815_PP_1317_PP_4191-R1,1,False,PP_0528_PP_0815_PP_1317_PP_4191,4,201.9179,49382.666,0.013450684214365296,PP_0528,PP_0815,PP_1317,PP_4191,90547.578,,1672158.3,12506627.48,73937.88333333335,,1604365.9566666668,12495217.144166665,1.224643902663339,,1.0422549126348848,1.0009131762739043,True,False,False,True,False,False,False,False,False,False,False
1,PP_0528_PP_0813_PP_0815_PP_1317-R1,1,False,PP_0528_PP_0813_PP_0815_PP_1317,4,392.7469,4455954.6,1.2136979035953308,PP_0528,PP_0813,PP_0815,PP_1317,0.0,2140672.1,,906369.4,73937.88333333335,2820323.063333333,,1604365.9566666668,0.0,0.7590166275029304,,0.5649393121524038,True,True,True,False,True,False,False,False,True,True,False
2,PP_0528_PP_0814_PP_0815_PP_1317-R1,1,False,PP_0528_PP_0814_PP_0815_PP_1317,4,457.0174,3443301.8,0.9378749451590079,PP_0528,PP_0814,PP_0815,PP_1317,0.0,139663.0,,1051522.4,73937.88333333335,176130.7333333333,,1604365.9566666668,0.0,0.7929507664950393,,0.6554130593650279,True,True,True,False,True,False,False,False,True,True,False
3,PP_0528_PP_0813_PP_4191-R1,1,False,PP_0528_PP_0813_PP_4191,3,361.4189,3045374.95,0.8294889702145386,PP_0528,PP_0813,PP_4191,,13772.15,1337144.92,5199445.43,,73937.88333333335,2820323.063333333,12495217.144166665,,0.18626648991168934,0.47411055044865374,0.4161148517876968,,False,True,True,True,True,False,True,False,True,False,False
4,PP_0528_PP_0751_PP_4191-R1,1,False,PP_0528_PP_0751_PP_4191,3,321.5996,1846050.2,0.5028209348613519,PP_0528,PP_0751,PP_4191,,6470.0,1216990.5,7782364.7,,73937.88333333335,4218397.294999999,12495217.144166665,,0.0875058861345999,0.28849594167967063,0.6228274875265503,,False,True,True,True,False,False,False,False,True,False,False
5,PP_0528_PP_0751_PP_0815_PP_1317-R1,1,False,PP_0528_PP_0751_PP_0815_PP_1317,4,353.2063,4329933.5,1.1793727008926873,PP_0528,PP_0751,PP_0815,PP_1317,0.0,5170175.8,,859241.1,73937.88333333335,4218397.294999999,,1604365.9566666668,0.0,1.2256256199784996,,0.5355642809731603,True,True,True,False,True,False,False,False,True,True,False
6,PP_0528_PP_0815_PP_1317_PP_1769-R1,1,False,PP_0528_PP_0815_PP_1317_PP_1769,4,389.4072,4770012.95,1.2992400590296813,PP_0528,PP_0815,PP_1317,PP_1769,20749.75,,1929703.2,1677781.45,73937.88333333335,,1604365.9566666668,1012275.7325,0.2806375982722433,,1.202782439992229,1.65743521862014,True,True,True,True,False,False,False,False,True,True,False
7,PP_0528_PP_0815_PP_1317-R1,1,False,PP_0528_PP_0815_PP_1317,3,408.9383,3003516.795,0.8180877869592449,PP_0528,PP_0815,PP_1317,,4441.175,,812840.795,,73937.88333333335,,1604365.9566666668,,0.06006629889549177,,0.5066430084871721,,True,True,True,True,False,False,False,False,True,True,False
8,PP_0528_PP_0815_PP_1317_PP_4191-R2,2,False,PP_0528_PP_0815_PP_1317_PP_4191,4,231.2863,0.0,0.0,PP_0528,PP_0815,PP_1317,PP_4191,113425.5,,2192361.0,13344974.2,73937.88333333335,,1604365.9566666668,12495217.144166665,1.5340647430850172,,1.366496833774128,1.068006585722285,True,False,False,True,False,False,False,False,False,False,False
9,PP_0528_PP_0813_PP_0815_PP_1317-R2,2,False,PP_0528_PP_0813_PP_0815_PP_1317,4,395.2054,4512274.1,1.2290380192871597,PP_0528,PP_0813,PP_0815,PP_1317,20501.25,1617588.2,,1155615.35,73937.88333333335,2820323.063333333,,1604365.9566666668,0.2772766689516177,0.5735471304795049,,0.7202941107033837,True,True,True,False,True,False,False,False,True,True,False
