,Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours
0,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219483,cba84989-b208-48ce-aefd-903366105f58,PP_0751_PP_0813_PP_0815-R1,DBTL6_P2_008,GC-FID,219620,PP_0751_PP_0813_PP_0815-R1,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,818.6499,48.0
1,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219491,c8261783-6ee7-4aa4-93a7-fe6437c7bd38,PP_0751_PP_0813_PP_0815-R2,DBTL6_P2_016,GC-FID,219621,PP_0751_PP_0813_PP_0815-R2,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,773.4597,48.0
2,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219431,43d6cdc5-bf77-47e7-88f0-8d407b871e58,PP_0528_PP_0751_PP_0812_PP_0815-R1,DBTL6_P1_004,GC-FID,219622,PP_0528_PP_0751_PP_0812_PP_0815-R1,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,762.3653,48.0
3,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219447,b5ff008a-4a58-4a24-aab2-aa57a4299707,PP_0528_PP_0751_PP_0812_PP_0815-R3,DBTL6_P1_020,GC-FID,219623,PP_0528_PP_0751_PP_0812_PP_0815-R3,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,748.9053,48.0
4,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219513,77b7f2ee-1f97-4359-93aa-363c690388f8,PP_0528_PP_0751_PP_0815-R2,DBTL6_P2_038,GC-FID,219624,PP_0528_PP_0751_PP_0815-R2,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,748.225,48.0
5,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219521,d2387b57-9ec8-4be1-9687-49829950dc28,PP_0528_PP_0751_PP_0815-R3,DBTL6_P2_046,GC-FID,219625,PP_0528_PP_0751_PP_0815-R3,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,746.4432,48.0
6,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219505,21b3e8ce-75dc-4f0d-8cb2-590593ce179a,PP_0528_PP_0751_PP_0815-R1,DBTL6_P2_030,GC-FID,219626,PP_0528_PP_0751_PP_0815-R1,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,736.2201,48.0
7,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219432,59c86b28-24fb-4f3b-b8f9-86842386cbf2,PP_0528_PP_0751_PP_0813_PP_0815-R1,DBTL6_P1_005,GC-FID,219627,PP_0528_PP_0751_PP_0813_PP_0815-R1,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,724.6307,48.0
8,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219499,6eb526b7-9ef0-41dc-94f6-666c558231b5,PP_0751_PP_0813_PP_0815-R3,DBTL6_P2_024,GC-FID,219628,PP_0751_PP_0813_PP_0815-R3,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,721.3627,48.0
9,219427,CRISPRi automation for enhanced isoprenol production in P. putida (DBTL-6),219440,1df0d53e-299c-4007-b4e4-e3e74c8159b7,PP_0528_PP_0751_PP_0813_PP_0815-R2,DBTL6_P1_013,GC-FID,219629,PP_0528_PP_0751_PP_0813_PP_0815-R2,cid:12988,3-METHYL-3-BUTEN-1-OL,0,mg/L,719.4565,48.0
