orgId	locusId	sysName	geneName	desc	set8IT058 Adaptation in M9 media timecourse 1; day 2	set8IT059 Adaptation in M9 media timecourse 1; day 3	set8IT060 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT062 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT064 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT070 Adaptation in M9 media timecourse 2; day 3	set8IT073 48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.	set8IT080 Adaptation in M9 media timecourse 3; day 2	set8IT081 Adaptation in M9 media timecourse 3; day 3	"set8IT082 24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO."	"set8IT084 40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO."	"set8IT085 40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO."	set8IT089 Adaptation in M9 media timecourse 4; day 2	set8IT090 Adaptation in M9 media timecourse 4; day 3	set8IT092 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set8IT093 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT094 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set8IT095 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT096 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set9IT020 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay	set9IT022 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay	set9IT025 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	-0.018	-1.042	0.911	0.586	1.767	-0.768	1.315	-1.789	-0.111	2.277	0.726	1.079	-0.436	0.535	1.837	1.785	1.455	1.874	1.376	1.14	0.919	2.47
Putida	PP_0002	PP_0002		probable chromosome partition protein	-0.511	-0.146	-0.619	-0.045	-0.048	-1.2	0.482	-0.531	-0.676	0.318	-0.126	-0.067	-0.433	-0.562	-0.056	-0.244	-0.13	0.136	-0.159	0.842	0.676	1.707
Putida	PP_0003	PP_0003		16S RNA methyltransferase	-0.822	-0.47	0.057	-0.401	0.607	0.177	0.649	-1.199	-0.385	-0.386	-0.23	-0.249	0.503	0.466	1.526	0.945	1.106	0.694	0.831	-0.415	-0.269	0.205
Putida	PP_0007	PP_0007		conserved hypothetical protein	-0.141	0.649	0.625	0.596	-0.376	1.077	1.377	-0.689	-0.661	-1.516	0.127	0.366	0.07	0.143	0.524	-0.239	-0.141	0.858	-0.225	-0.595	-0.716	-0.202
Putida	PP_0012	PP_0012		DNA replication and repair protein	0.088	-0.102	-0.02	-0.233	0.121	-0.066	0.187	-0.111	-0.087	-0.004	-0.22	-0.078	0.073	-0.183	-0.151	-0.04	-0.258	-0.178	-0.11	0.239	0.22	0.336
Putida	PP_0014	PP_0014		putative transposase	0.082	0.131	-0.263	0.049	-0.051	-0.061	0.103	0.027	-0.026	-0.057	-0.041	-0.021	0.075	0.066	-0.039	-0.128	-0.074	0.118	0.062	-0.037	-0.097	-0.174
Putida	PP_0015	PP_0015		putative transposon protein	-0.085	-0.049	-0.209	-0.034	-0.122	0.013	0.074	-0.102	0	-0.017	-0.04	-0.055	0.111	0.126	0.104	0.068	0.04	0.069	0.123	0.024	-0.014	-0.075
Putida	PP_0016	PP_0016		conserved hypothetical protein	0.03	0.008	-0.028	0.019	-0.068	-0.003	0.051	0.069	0.085	0.194	0.061	0.025	0.205	0.109	0.093	0.023	0.026	-0.073	0.094	-0.067	-0.13	-0.056
Putida	PP_0017	PP_0017		putative transcriptional regulator	0.261	-0.006	-0.507	-0.122	0.266	0.153	-0.216	-0.076	0.074	-0.035	-0.129	-0.088	-0.036	-0.401	-0.085	-0.12	-0.254	0.05	-0.227	-0.124	-0.241	-0.17
Putida	PP_0020	PP_0020		hypothetical protein	-0.093	-0.009	-0.377	-0.256	0.02	-0.042	0.088	0.119	-0.009	0.193	-0.046	-0.127	-0.113	0.117	0.002	-0.308	-0.217	-0.144	-0.147	-0.019	0.047	0.001
