line_name,cluster,isoprenol,to_make
PP_0751_PP_0813_PP_0815_c6,2,4.96897238552084,True
PP_0528_PP_0751_PP_0815_c6,2,4.791595022720408,True
PP_0528_PP_0751_PP_0812_PP_0815_c6,3,4.762459119859558,True
PP_0528_PP_0751_PP_0813_PP_0815_c6,3,4.636973828440926,True
PP_0814_PP_0815_c4,4,4.067830178351723,True
PP_0528_PP_0815_c4,4,3.791391987801969,True
PP_0368_PP_0812_PP_0815_c4,5,4.447537299990536,True
PP_0812_PP_0813_PP_0815_c4,5,4.2165497296135035,True
PP_0751_PP_0815_c4,6,4.152018532563921,True
PP_0528_PP_0812_PP_0815_c4,6,4.135586430562419,True
