orig,has_6letter_substring,extracted
P0AE22,True,P0AE22
sp|A0A0M4F6K2,False,
sp|A0A140FVW8,False,
sp|A0A140FVX0,False,
sp|A0A140FVX4,False,
sp|A0A140FVX7,False,
sp|A0A140FVX8,False,
sp|A0A140FVY3,False,
sp|A0A140FVZ0,False,
sp|A0A140FVZ1,False,
sp|A0A140FVZ6,False,
sp|A0A140FW08,False,
sp|A0A140FW13,False,
sp|A0A140FW16,False,
sp|A0A140FW18,False,
sp|A0A140FW22,False,
sp|A0A140FW30,False,
sp|A0A140FW35,False,
sp|A0A140FW37,False,
sp|A0A140FW42,False,
sp|A0A140FW43,False,
sp|A0A140FW50,False,
sp|A0A140FW51,False,
sp|A0A140FW57,False,
sp|A0A140FW72,False,
sp|A0A140FW79,False,
sp|A0A140FW80,False,
sp|A0A140FW85,False,
sp|A0A140FW92,False,
sp|A0A140FWA3,False,
sp|A0A140FWA4,False,
sp|A0A140FWB0,False,
sp|A0A140FWC7,False,
sp|A0A140FWC8,False,
sp|A0A140FWF8,False,
sp|A0A140FWH0,False,
sp|A0A140FWI6,False,
sp|A0A140FWJ4,False,
sp|A0A140FWJ5,False,
sp|A0A140FWK0,False,
sp|A0A140FWK1,False,
sp|A0A140FWK7,False,
sp|A0A140FWK9,False,
sp|A0A140FWL0,False,
sp|A0A140FWL3,False,
sp|A0A140FWM3,False,
sp|A0A140FWM4,False,
sp|A0A140FWP7,False,
sp|A0A140FWQ0,False,
sp|A0A140FWQ2,False,
sp|A0A140FWQ5,False,
sp|A0A140FWQ8,False,
sp|A0A140FWQ9,False,
sp|A0A140FWR3,False,
sp|A0A140FWR7,False,
sp|A0A140FWS3,False,
sp|A0A140FWS4,False,
sp|A0A140FWS5,False,
sp|A0A140FWS6,False,
sp|A0A140FWS9,False,
sp|A0A140FWU0,False,
sp|A0A379PS61,False,
sp|A9GAJ9|A9GAJ9_SORC5 Mcm,True,A9GAJ9
sp|J5JYK1,True,J5JYK1
sp|K4JH65|K4JH65_9ACTN Gdnd,True,K4JH65
sp|O77727,True,O77727
sp|O82803,True,O82803
sp|O85207|PHAG_PSEPK Phag,True,O85207
sp|P00552|KKA2_KLEPN Neo,True,P00552
sp|P00698|LYSC_CHICK Lysozyme C,True,P00698
sp|P00761|TRYP_PIG Trypsin,True,P00761
sp|P02539,True,P02539
sp|P02768,True,P02768
sp|P04264,True,P04264
sp|P0A0Z9|ARGA_PSEPK Arga,True,P0A0Z9
sp|P0A101|PCAJ_PSEPK Pcaj,True,P0A101
sp|P0A116|DNAA_PSEPK Dnaa,True,P0A116
sp|P0A118|DNAG_PSEPK Dnag,True,P0A118
sp|P0A120|DPO3B_PSEPK Dnan,True,P0A120
sp|P0A122|FER1_PSEPK Fdxa,True,P0A122
sp|P0A124|RSMG_PSEPK Rsmg,True,P0A124
sp|P0A126|IHFA_PSEPK Ihfa,True,P0A126
sp|P0A128|IHFB_PSEPK Ihfb,True,P0A128
sp|P0A130|Y1224_PSEPK Pp_1224,True,P0A130
sp|P0A136|KAD_PSEPK Adk,True,P0A136
sp|P0A138|PAL_PSEPK Pal,True,P0A138
sp|P0A140|YIDC_PSEPK Yidc,True,P0A140
sp|P0A147|HPF_PSEPK Hpf,True,P0A147
sp|P0A149|Y002_PSEPK Pp_0002,True,P0A149
sp|P0A151|PARB_PSEPK Parb,True,P0A151
sp|P0A153|LEXA1_PSEPK Lexa1,True,P0A153
sp|P0A157|RL7_PSEPK,True,P0A157
sp|P0A161|RL34_PSEPK Rpmh,True,P0A161
sp|P0A165|RS21_PSEPK Rpsu,True,P0A165
sp|P0A167|RNPA_PSEPK Rnpa,True,P0A167
sp|P0A171|RP54_PSEPK Rpon,True,P0A171
sp|P0A173|TOLB_PSEPK Tolb,True,P0A173
sp|P0A175|MNME_PSEPK Mnme,True,P0A175
sp|P13645,True,P13645
sp|P23181,True,P23181
sp|P25690,True,P25690
sp|P32377|MVD1_YEAST,True,P32377
sp|P35527,True,P35527
sp|P35908,True,P35908
sp|P59285|ALLA_PSEPK Alla,True,P59285
sp|P59300|ARGB_PSEPK Argb,True,P59300
sp|P59308|ARGC2_PSEPK Argc2,True,P59308
sp|P59319|ARGD_PSEPK Argd,True,P59319
sp|P59351|Y396_PSEPK Pp_0396,True,P59351
sp|P59364,True,P59364
sp|P59374|RS11_PSEPK Rpsk,True,P59374
sp|P59392|SELD_PSEPK Seld,True,P59392
sp|P59400|HISX_PSEPK Hisd,True,P59400
sp|P59560|Y1352_PSEPK Pp_1352,True,P59560
sp|P59604|ASSY_PSEPK Argg,True,P59604
sp|P59612|ARGJ_PSEPK Argj,True,P59612
sp|P59618|ARLY_PSEPK Argh,True,P59618
sp|P61113|RL36_PSEPK Rpmj,True,P61113
sp|P61626|LYSC_HUMAN Lyz,True,P61626
sp|P63165,True,P63165
sp|P65117|IF1_PSEPK Infa,True,P65117
sp|P78386,True,P78386
sp|Q15323,True,Q15323
sp|Q30CS2|Q30CS2_KITAU Lippks1,True,Q30CS2
sp|Q3L885|Q3L885_MYCS2 Pks,True,Q3L885
sp|Q59692|FTSZ_PSEPK Ftsz,True,Q59692
sp|Q7WTF4|Q7WTF4_9ACTN Nana2,True,Q7WTF4
sp|Q835L4|Q835L4_ENTFA EF_1363,True,Q835L4
sp|Q877J6,True,Q877J6
sp|Q877Q0;Q88FK3,False,
sp|Q877U6|Q877U6_PSEPK Pp_1157,True,Q877U6
sp|Q877V8|Q877V8_PSEPK Pp_1865,True,Q877V8
sp|Q88BW8|ATP6_PSEPK Atpb,True,Q88BW8
sp|Q88BW9|ATPL_PSEPK Atpe,True,Q88BW9
sp|Q88BX0|ATPF_PSEPK Atpf,True,Q88BX0
sp|Q88BX1|ATPD_PSEPK Atph,True,Q88BX1
sp|Q88BX2|ATPA_PSEPK Atpa,True,Q88BX2
sp|Q88BX3|ATPG_PSEPK Atpg,True,Q88BX3
sp|Q88BX4|ATPB_PSEPK,True,Q88BX4
sp|Q88BX5|ATPE_PSEPK Atpc,True,Q88BX5
sp|Q88BX6|GLMU_PSEPK Glmu,True,Q88BX6
sp|Q88BX7,True,Q88BX7
sp|Q88BX8|GLMS_PSEPK Glms,True,Q88BX8
sp|Q88BY6|Q88BY6_PSEPK Pp_5401,True,Q88BY6
sp|Q88BY7|Q88BY7_PSEPK Pp_5400,True,Q88BY7
sp|Q88BY9|Q88BY9_PSEPK Pp_5395,True,Q88BY9
sp|Q88BZ1|Q88BZ1_PSEPK Pp_5392,True,Q88BZ1
sp|Q88BZ2|Q88BZ2_PSEPK Pp_5391,True,Q88BZ2
