orig,has_6letter_substring,extracted,locus,primary_name,organism,is_putida
P0AE22,True,P0AE22,b4055 JW4015,aphA,Escherichia coli (strain K12),False
sp|A9GAJ9|A9GAJ9_SORC5 Mcm,True,A9GAJ9,sce2716,mcm,Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56)),False
sp|J5JYK1,True,J5JYK1,,,Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae),False
sp|K4JH65|K4JH65_9ACTN Gdnd,True,K4JH65,,gdnD,Streptomyces sp. K01-0509,False
sp|O77727,True,O77727,,KRT15,Ovis aries (Sheep),False
sp|O82803,True,O82803,,SRPP,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis),False
sp|O85207|PHAG_PSEPK Phag,True,O85207,PP_1408,phaG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P00552|KKA2_KLEPN Neo,True,P00552,,neo,Klebsiella pneumoniae,False
sp|P00698|LYSC_CHICK Lysozyme C,True,P00698,,LYZ,Gallus gallus (Chicken),False
sp|P00761|TRYP_PIG Trypsin,True,P00761,,,Sus scrofa (Pig),False
sp|P02539,True,P02539,,,Ovis aries (Sheep),False
sp|P02768,True,P02768,,ALB,Homo sapiens (Human),False
sp|P04264,True,P04264,,KRT1,Homo sapiens (Human),False
sp|P0A0Z9|ARGA_PSEPK Arga,True,P0A0Z9,PP_5185,argA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A101|PCAJ_PSEPK Pcaj,True,P0A101,PP_3952,pcaJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A116|DNAA_PSEPK Dnaa,True,P0A116,PP_0010,dnaA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A118|DNAG_PSEPK Dnag,True,P0A118,PP_0388,dnaG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A120|DPO3B_PSEPK Dnan,True,P0A120,PP_0011,dnaN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A122|FER1_PSEPK Fdxa,True,P0A122,PP_1625,fdxA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A124|RSMG_PSEPK Rsmg,True,P0A124,PP_0003,rsmG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A126|IHFA_PSEPK Ihfa,True,P0A126,PP_2471,ihfA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A128|IHFB_PSEPK Ihfb,True,P0A128,PP_1773,ihfB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A130|Y1224_PSEPK Pp_1224,True,P0A130,PP_1224,cpoB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A136|KAD_PSEPK Adk,True,P0A136,PP_1506,adk,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A138|PAL_PSEPK Pal,True,P0A138,PP_1223,pal,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A140|YIDC_PSEPK Yidc,True,P0A140,PP_0006,yidC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A147|HPF_PSEPK Hpf,True,P0A147,PP_0951,hpf,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A149|Y002_PSEPK Pp_0002,True,P0A149,PP_0002,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A151|PARB_PSEPK Parb,True,P0A151,PP_0001,parB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A153|LEXA1_PSEPK Lexa1,True,P0A153,PP_2143,lexA1,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A157|RL7_PSEPK,True,P0A157,PP_0446,rplL,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A161|RL34_PSEPK Rpmh,True,P0A161,PP_0009,rpmH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A165|RS21_PSEPK Rpsu,True,P0A165,PP_0389,rpsU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A167|RNPA_PSEPK Rnpa,True,P0A167,PP_0008,rnpA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A171|RP54_PSEPK Rpon,True,P0A171,PP_0952,rpoN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A173|TOLB_PSEPK Tolb,True,P0A173,PP_1222,tolB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P0A175|MNME_PSEPK Mnme,True,P0A175,PP_0005,mnmE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P13645,True,P13645,,KRT10,Homo sapiens (Human),False
sp|P23181,True,P23181,,aacC1,Pseudomonas aeruginosa,False
sp|P25690,True,P25690,,,Ovis aries (Sheep),False
sp|P32377|MVD1_YEAST,True,P32377,YNR043W,MVD1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),False
sp|P35527,True,P35527,,KRT9,Homo sapiens (Human),False
sp|P35908,True,P35908,,KRT2,Homo sapiens (Human),False
sp|P59285|ALLA_PSEPK Alla,True,P59285,PP_4288,allA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59300|ARGB_PSEPK Argb,True,P59300,PP_5289,argB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59308|ARGC2_PSEPK Argc2,True,P59308,PP_3633,argC2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59319|ARGD_PSEPK Argd,True,P59319,PP_4481,argD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59351|Y396_PSEPK Pp_0396,True,P59351,PP_0396,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59364,True,P59364,PP_4501,yciB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59374|RS11_PSEPK Rpsk,True,P59374,PP_0477,rpsK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59392|SELD_PSEPK Seld,True,P59392,PP_0823,selD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59400|HISX_PSEPK Hisd,True,P59400,PP_0966,hisD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59560|Y1352_PSEPK Pp_1352,True,P59560,PP_1352,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59604|ASSY_PSEPK Argg,True,P59604,PP_1088,argG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59612|ARGJ_PSEPK Argj,True,P59612,PP_1346,argJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P59618|ARLY_PSEPK Argh,True,P59618,PP_0184,argH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P61113|RL36_PSEPK Rpmj,True,P61113,PP_0475,rpmJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P61626|LYSC_HUMAN Lyz,True,P61626,,LYZ,Homo sapiens (Human),False
sp|P63165,True,P63165,,SUMO1,Homo sapiens (Human),False
sp|P65117|IF1_PSEPK Infa,True,P65117,PP_4007,infA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|P78386,True,P78386,,KRT85,Homo sapiens (Human),False
sp|Q15323,True,Q15323,,KRT31,Homo sapiens (Human),False
sp|Q30CS2|Q30CS2_KITAU Lippks1,True,Q30CS2,,lipPks1,Kitasatospora aureofaciens (Streptomyces aureofaciens),False
sp|Q3L885|Q3L885_MYCS2 Pks,True,Q3L885,MSMEG_0408,pks,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),False
sp|Q59692|FTSZ_PSEPK Ftsz,True,Q59692,PP_1342,ftsZ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q7WTF4|Q7WTF4_9ACTN Nana2,True,Q7WTF4,,nanA2,Streptomyces nanchangensis,False
sp|Q835L4|Q835L4_ENTFA EF_1363,True,Q835L4,EF_1363,,Enterococcus faecalis (strain ATCC 700802 / V583),False
sp|Q877J6,True,Q877J6,PP_4443 PP_5396,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q877U6|Q877U6_PSEPK Pp_1157,True,Q877U6,PP_1157 PP_3365,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q877V8|Q877V8_PSEPK Pp_1865,True,Q877V8,PP_1865 PP_1990 PP_2114 PP_2218 PP_2522 PP_4318,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BW8|ATP6_PSEPK Atpb,True,Q88BW8,PP_5419,atpB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BW9|ATPL_PSEPK Atpe,True,Q88BW9,PP_5418,atpE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX0|ATPF_PSEPK Atpf,True,Q88BX0,PP_5417,atpF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
