original,extracted,locus,primary_name,organism,is_putida
sp|Q9A9Z2,Q9A9Z2,CC_0819,xylD,Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus),FALSE
tr|Q835L3|Q835L3_ENTFA,Q835L3,EF_1364,mvaE,Enterococcus faecalis (strain ATCC 700802 / V583),FALSE
sp|Q9FD71|HMGCS_ENTFL,Q9FD71,,mvaS,Enterococcus faecalis (Streptococcus faecalis),FALSE
P0AE22,P0AE22,b4055 JW4015,aphA,Escherichia coli (strain K12),FALSE
sp|P00698|LYSC_CHICK Lysozyme C,P00698,,LYZ,Gallus gallus (Chicken),FALSE
sp|O85207|PHAG_PSEPK Phag,O85207,PP_1408,phaG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|O82803,O82803,,SRPP,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis),FALSE
sp|P04264,P04264,,KRT1,Homo sapiens (Human),FALSE
sp|P13645,P13645,,KRT10,Homo sapiens (Human),FALSE
sp|P35527,P35527,,KRT9,Homo sapiens (Human),FALSE
sp|P0A0Z9|ARGA_PSEPK Arga,P0A0Z9,PP_5185,argA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A101|PCAJ_PSEPK Pcaj,P0A101,PP_3952,pcaJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A116|DNAA_PSEPK Dnaa,P0A116,PP_0010,dnaA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A118|DNAG_PSEPK Dnag,P0A118,PP_0388,dnaG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A120|DPO3B_PSEPK Dnan,P0A120,PP_0011,dnaN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A122|FER1_PSEPK Fdxa,P0A122,PP_1625,fdxA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A124|RSMG_PSEPK Rsmg,P0A124,PP_0003,rsmG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P0A126|IHFA_PSEPK Ihfa,P0A126,PP_2471,ihfA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
