Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
Box 1,1,IY1473,pIY993,pJET-Carb-J23119-sfGFP-sgRNA,JBx_249165,Control,pIY993,IY1473
,2,IY1477,pIY994,pJET-Carb-RFP_NT1,JBx_249167,,pIY994,IY1477
,3,IY1478,pIY995,pJET-Carb-PP_4194_NT1,JBx_249169,PP_4194_NT1,pIY995,IY1478
,4,IY1479,pIY996,pJET-Carb-PP_1010,JBx_249171,PP_1010,pIY996,IY1479
,5,IY1480,pIY997,pJET-Carb-GFP_NT1,JBx_249173,,pIY997,IY1480
,6,IY1525,pIY1021,pJET-Carb-PP_3540,JBx_249175,PP_3540,pIY1021,IY1525
,7,IY1526,pIY1022,pJET-Carb-PP_1649,JBx_249177,PP_1649,pIY1022,IY1526
,8,IY1527,pIY1023,pJET-Carb-PP_4549,JBx_249179,PP_4549,pIY1023,IY1527
,9,IY1528,pIY1024,pJET-Carb-PP_4550,JBx_249181,PP_4550,pIY1024,IY1528
,10,IY1529,pIY1025,pJET-Carb-PP_0368,JBx_249183,PP_0368,pIY1025,IY1529
,11,IY1530,pIY1026,pJET-Carb-PP_0370,JBx_249185,PP_0370,pIY1026,IY1530
,12,IY1531,pIY1027,pJET-Carb-PP_2136,JBx_249187,PP_2136,pIY1027,IY1531
,13,IY1532,pIY1028,pJET-Carb-PP_4740_NT1,JBx_249189,PP_4740_NT1,pIY1028,IY1532
,14,IY1533,pIY1029,pJET-Carb-PP_4740_NT2,JBx_249191,PP_4740_NT2,pIY1029,IY1533
,15,IY1534,pIY1030,pJET-Carb-PP_4740_NT3,JBx_249193,PP_4740_NT3,pIY1030,IY1534
,16,IY1535,pIY1031,pJET-Carb-PP_0774,JBx_249195,PP_0774,pIY1031,IY1535
,17,IY1536,pIY1032,pJET-Carb-PP_0362,JBx_249197,PP_0362,pIY1032,IY1536
,18,IY1537,pIY1033,pJET-Carb-PP_0437,JBx_249199,PP_0437,pIY1033,IY1537
,19,IY1538,pIY1034,pJET-Carb-PP_2589,JBx_249201,PP_2589,pIY1034,IY1538
,20,IY1539,pIY1035,pJET-Carb-PP_3744,JBx_249203,PP_3744,pIY1035,IY1539
,21,IY1540,pIY1036,pJET-Carb-PP_4194_NT2,JBx_249205,PP_4194_NT2,pIY1036,IY1540
,22,IY1541,pIY1037,pJET-Carb-PP_4194_NT3,JBx_249207,PP_4194_NT3,pIY1037,IY1541
,23,IY1542,pIY1038,pJET-Carb-PP_1607_NT1,JBx_249209,PP_1607_NT1,pIY1038,IY1542
,24,IY1543,pIY1039,pJET-Carb-PP_1607_NT2,JBx_249211,PP_1607_NT2,pIY1039,IY1543
,25,IY1544,pIY1040,pJET-Carb-PP_1607_NT3,JBx_249213,PP_1607_NT3,pIY1040,IY1544
,26,IY1545,pIY1041,pJET-Carb-PP_1607_NT4,JBx_249215,PP_1607_NT4,pIY1041,IY1545
,27,IY1546,pIY1042,pJET-Carb-PP_1444,JBx_249217,PP_1444,pIY1042,IY1546
,28,IY1547,pIY1043,pJET-Carb-PP_0338,JBx_249219,PP_0338,pIY1043,IY1547
,29,IY1548,pIY1044,pJET-Carb-PP_3394,JBx_249221,PP_3394,pIY1044,IY1548
,30,IY1549,pIY1045,pJET-Carb-PP_3071,JBx_249223,PP_3071,pIY1045,IY1549
,31,IY1550,pIY1046,pJET-Carb-PP_0582,JBx_249225,PP_0582,pIY1046,IY1550
