number_of_grna,gRNA_1,gRNA_2,gRNA_3,gRNA_4
4,PP_0751,PP_0814,PP_4120,PP_4192
4,PP_0751,PP_0814,PP_1506,PP_1769
4,PP_0751,PP_0814,PP_1506,PP_4120
4,PP_0751,PP_0814,PP_1769,PP_4120
4,PP_0751,PP_0814,PP_1769,PP_4192
3,PP_0751,PP_0814,PP_4192,
3,PP_0751,PP_0814,PP_2136,
3,PP_0751,PP_0814,PP_4120,
3,PP_0751,PP_0814,PP_4189,
3,PP_0751,PP_0814,PP_4191,
3,PP_0812,PP_0813,PP_0815,
3,PP_0751,PP_0813,PP_0814,
3,PP_0813,PP_4189,PP_4192,
3,PP_0815,PP_1317,PP_1506,
3,PP_0815,PP_1317,PP_1769,
3,PP_0815,PP_1317,PP_2136,
3,PP_0815,PP_1317,PP_4120,
3,PP_0815,PP_1317,PP_4192,
3,PP_1506,PP_4189,PP_4192,
3,PP_4120,PP_4189,PP_4192,
3,PP_0751,PP_0814,PP_1506,
3,PP_0368,PP_0437,PP_0812,
3,PP_0751,PP_0812,PP_0814,
3,PP_0368,PP_0812,PP_0813,
3,PP_0368,PP_0812,PP_4120,
3,PP_0528,PP_0812,PP_0815,
3,PP_0528,PP_0751,PP_0814,
3,PP_0437,PP_0815,PP_1317,
3,PP_0368,PP_0751,PP_0814,
3,PP_0368,PP_0812,PP_1769,
3,PP_0368,PP_4189,PP_4192,
3,PP_0368,PP_0815,PP_1317,
3,PP_0368,PP_0812,PP_1506,
3,PP_0368,PP_0812,PP_4192,
3,PP_0368,PP_0812,PP_0815,
2,PP_0814,PP_4192,,
2,PP_1317,PP_4189,,
2,PP_0815,PP_4120,,
2,PP_0815,PP_4189,,
2,PP_0814,PP_4189,,
2,PP_1506,PP_4189,,
2,PP_4120,PP_4189,,
2,PP_0368,PP_0751,,
2,PP_0814,PP_4191,,
2,PP_0814,PP_1506,,
2,PP_0814,PP_4120,,
2,PP_0814,PP_1769,,
2,PP_0528,PP_4189,,
2,PP_0814,PP_1317,,
2,PP_0814,PP_0815,,
2,PP_0813,PP_4189,,
2,PP_0813,PP_0815,,
2,PP_0368,PP_0814,,
2,PP_0751,PP_0815,,
2,PP_0368,PP_0815,,
2,PP_0368,PP_0528,,
2,PP_0368,PP_4191,,
2,PP_0528,PP_0814,,
2,PP_0528,PP_0815,,
2,PP_4189,PP_4191,,
