number_of_grna,gRNA_1,gRNA_2,gRNA_3,gRNA_4
4,PP_0368,PP_0528,PP_0751,PP_0815
4,PP_0368,PP_0814,PP_0815,PP_1769
4,PP_0812,PP_0813,PP_0815,PP_1506
4,PP_0751,PP_0814,PP_0815,PP_1769
4,PP_0751,PP_0814,PP_0815,PP_1506
4,PP_0751,PP_0813,PP_0815,PP_1769
4,PP_0751,PP_0812,PP_0815,PP_1769
4,PP_0751,PP_0812,PP_0815,PP_1506
4,PP_0528,PP_0751,PP_0815,PP_1769
4,PP_0528,PP_0751,PP_0812,PP_0815
4,PP_0528,PP_0751,PP_0813,PP_0815
4,PP_0368,PP_0814,PP_0815,PP_1506
4,PP_0368,PP_0751,PP_0813,PP_0815
4,PP_0368,PP_0751,PP_0814,PP_0815
4,PP_0368,PP_0751,PP_0815,PP_1506
4,PP_0368,PP_0751,PP_0815,PP_1769
4,PP_0368,PP_0813,PP_0815,PP_1506
4,PP_0368,PP_0751,PP_0815,PP_4120
4,PP_0368,PP_0813,PP_0814,PP_0815
4,PP_0368,PP_0812,PP_0815,PP_1506
3,PP_0813,PP_0815,PP_1769,
3,PP_0812,PP_0815,PP_1506,
3,PP_0812,PP_0815,PP_1769,
3,PP_0813,PP_0815,PP_1506,
3,PP_0814,PP_0815,PP_4120,
3,PP_0813,PP_0815,PP_2136,
3,PP_0815,PP_1769,PP_4189,
3,PP_0814,PP_0815,PP_4189,
3,PP_0815,PP_1506,PP_1769,
3,PP_0815,PP_1506,PP_2136,
3,PP_0751,PP_0815,PP_4120,
3,PP_0815,PP_1506,PP_4120,
3,PP_0815,PP_1506,PP_4189,
3,PP_0815,PP_1506,PP_4192,
3,PP_0815,PP_1769,PP_2136,
3,PP_0751,PP_0815,PP_4192,
3,PP_0751,PP_0813,PP_0815,
3,PP_0751,PP_0815,PP_2136,
3,PP_0528,PP_0815,PP_2136,
3,PP_0368,PP_0815,PP_1506,
3,PP_0368,PP_0815,PP_1769,
3,PP_0368,PP_0815,PP_2136,
3,PP_0368,PP_0815,PP_4120,
3,PP_0528,PP_0751,PP_0815,
3,PP_0528,PP_0813,PP_0815,
3,PP_0751,PP_0815,PP_1769,
3,PP_0528,PP_0815,PP_1769,
3,PP_0751,PP_0812,PP_0815,
3,PP_0368,PP_0528,PP_0815,
3,PP_0751,PP_0815,PP_1506,
2,PP_0813,PP_1506,,
2,PP_0528,PP_1769,,
2,PP_0815,PP_1506,,
2,PP_0528,PP_2136,,
2,PP_0528,PP_4191,,
2,PP_0368,PP_1506,,
2,PP_0812,PP_1506,,
2,PP_0815,PP_1769,,
2,PP_0815,PP_4192,,
2,PP_1506,PP_4120,,
