Cycle,Stage,Counts
DBTL-0,Total gRNA units,120
DBTL-0,Unique gRNA Positions,120
DBTL-0,Unique gRNAs,120
DBTL-1,Total gRNA units,150
DBTL-2,Total gRNA units,170
DBTL-3,Total gRNA units,170
DBTL-4,Total gRNA units,170
DBTL-5,Total gRNA units,170
DBTL-6,Total gRNA units,190
DBTL-1,Unique gRNA Positions,84
DBTL-2,Unique gRNA Positions,54
DBTL-3,Unique gRNA Positions,54
DBTL-4,Unique gRNA Positions,41
DBTL-5,Unique gRNA Positions,35
DBTL-6,Unique gRNA Positions,34
DBTL-1,Unique gRNAs,59
DBTL-2,Unique gRNAs,16
DBTL-3,Unique gRNAs,16
DBTL-4,Unique gRNAs,16
DBTL-5,Unique gRNAs,16
DBTL-6,Unique gRNAs,14
