Cycle,Status,Array,# Arrays
DBTL-1,Success,2-gRNA,27
DBTL-2,Success,2-gRNA,23
DBTL-3,Success,2-gRNA,25
DBTL-4,Success,2-gRNA,24
DBTL-5,Success,2-gRNA,25
DBTL-6,Success,2-gRNA,10
DBTL-1,Failed Transformation,2-gRNA,3
DBTL-2,Failed Transformation,2-gRNA,2
DBTL-1,Success,3-gRNA,30
DBTL-2,Success,3-gRNA,30
DBTL-3,Success,3-gRNA,24
DBTL-4,Success,3-gRNA,27
DBTL-5,Success,3-gRNA,29
DBTL-6,Success,3-gRNA,29
DBTL-3,Failed Transformation,3-gRNA,4
DBTL-4,Failed Transformation,3-gRNA,2
DBTL-5,Failed Transformation,3-gRNA,1
DBTL-6,Failed Transformation,3-gRNA,1
DBTL-3,Failed Assembly,3-gRNA,2
DBTL-4,Failed Assembly,3-gRNA,1
DBTL-1,Success,4-gRNA,0
DBTL-2,Success,4-gRNA,5
DBTL-3,Success,4-gRNA,4
DBTL-4,Success,4-gRNA,5
DBTL-5,Success,4-gRNA,4
DBTL-6,Success,4-gRNA,20
DBTL-3,Failed Transformation,4-gRNA,1
DBTL-5,Failed Assembly,4-gRNA,1
DBTL-1,Control,Control,4
DBTL-2,Control,Control,4
DBTL-3,Control,Control,4
DBTL-4,Control,Control,4
DBTL-5,Control,Control,4
DBTL-6,Control,Control,4
