line_name,number_of_grna
PP_1319_PP_4121_PP_4667,3
PP_2137_PP_4116_PP_4187,3
PP_0226_PP_0897_PP_5288,3
PP_4189_PP_4550_PP_4862,3
PP_1319_PP_1457_PP_4192,3
PP_0813_PP_1769_PP_4191,3
PP_2213_PP_2471_PP_4266,3
PP_0368_PP_4191_PP_4192,3
PP_3123_PP_4862_PP_5186,3
PP_0751_PP_1620_PP_4678,3
PP_0813_PP_4549_PP_5288,3
PP_0658_PP_1506_PP_3071,3
PP_2112_PP_2136_PP_4678,3
PP_2471_PP_3754_PP_4667,3
PP_0368_PP_0812_PP_0944,3
PP_0437_PP_0528_PP_3578,3
PP_0999_PP_3578_PP_5186,3
PP_2112_PP_4189_PP_5186,3
PP_2137_PP_4011_PP_4120,3
PP_0999_PP_4120_PP_4191,3
PP_0226_PP_0597_PP_4678,3
PP_0226_PP_0437_PP_0751,3
PP_0774_PP_1607_PP_3578,3
PP_0597_PP_1769_PP_4862,3
PP_0226_PP_2339_PP_3365,3
PP_2112_PP_4188_PP_4862,3
PP_0658_PP_0815_PP_4187,3
PP_0774_PP_2213_PP_5288,3
PP_1444_PP_4189_PP_4191,3
PP_1506_PP_4651_PP_4862,3
PP_0814_PP_4192,2
PP_0658_PP_2136,2
PP_0437_PP_3365,2
PP_3123_PP_5288,2
PP_0812_PP_4121,2
PP_2339_PP_4186,2
PP_0814_PP_5288,2
PP_4122_PP_4188,2
PP_0774_PP_1769,2
PP_0814_PP_3123,2
PP_1607_PP_4550,2
PP_0813_PP_4120,2
PP_0814_PP_1769,2
PP_1620_PP_4116,2
PP_3755_PP_4122,2
PP_2137_PP_4189,2
PP_0368_PP_0597,2
PP_0814_PP_4862,2
PP_0528_PP_5288,2
PP_0812_PP_2095,2
PP_4122_PP_5417,2
PP_3365_PP_3754,2
PP_0437_PP_4116,2
PP_3123_PP_3755,2
PP_0815_PP_1317,2
PP_1506_PP_5203,2
PP_1319_PP_4678,2
PP_0813_PP_4189,2
PP_3123_PP_4667,2
PP_0999_PP_4679,2
