,line_name,pp_mean,pp_std,number_of_grna,in_expt,to_rec
64241,PP_0368_PP_0751_PP_0815_PP_1506,658.5693087925708,83.45578228699593,4,False,1
64188,PP_0368_PP_0751_PP_0814_PP_0815,644.2360685715967,74.95716040491291,4,False,1
60172,PP_0368_PP_0528_PP_0751_PP_0815,640.245871267527,76.83993615140983,4,False,1
66545,PP_0368_PP_0812_PP_0815_PP_1506,633.8431147708601,81.9262977389506,4,False,1
68664,PP_0368_PP_0814_PP_0815_PP_1769,632.3195970035756,74.84240293567063,4,False,1
6217,PP_0528_PP_0751_PP_0815,631.6735064905075,75.85873561786812,3,False,1
64142,PP_0368_PP_0751_PP_0813_PP_0815,630.3349005719033,74.9550621924551,4,False,1
112474,PP_0528_PP_0751_PP_0815_PP_1769,628.8143295079785,76.13027368700223,4,False,1
10187,PP_0751_PP_0813_PP_0815,628.4440378202909,75.02355759513524,3,False,1
64244,PP_0368_PP_0751_PP_0815_PP_1769,625.2474578148491,74.98017915269219,4,False,1
178384,PP_0751_PP_0813_PP_0815_PP_1769,624.8035249873303,75.20626956911993,4,False,1
67573,PP_0368_PP_0813_PP_0814_PP_0815,624.1765450475318,74.93443297506053,4,False,1
68661,PP_0368_PP_0814_PP_0815_PP_1506,623.0907321171632,81.44037679933778,4,False,1
177300,PP_0751_PP_0812_PP_0815_PP_1506,619.8738421517326,82.13903492872392,4,False,1
112325,PP_0528_PP_0751_PP_0812_PP_0815,619.1858635883704,76.58751197624383,4,False,1
10140,PP_0751_PP_0812_PP_0815,618.2364878173618,74.91634530216335,3,False,1
112372,PP_0528_PP_0751_PP_0813_PP_0815,616.7012686272309,77.2772297923934,4,False,1
64260,PP_0368_PP_0751_PP_0815_PP_4120,614.3542654383789,81.27852512420819,4,False,1
177303,PP_0751_PP_0812_PP_0815_PP_1769,614.1614281698184,74.99543247759723,4,False,1
67626,PP_0368_PP_0813_PP_0815_PP_1506,610.3133921884638,81.12685025950245,4,False,1
179416,PP_0751_PP_0814_PP_0815_PP_1506,608.3099259011343,81.66836296884568,4,False,1
179419,PP_0751_PP_0814_PP_0815_PP_1769,607.6063515176565,75.00400458313152,4,False,1
214101,PP_0812_PP_0813_PP_0815_PP_1506,604.2899177210442,80.67076519822598,4,False,1
3651,PP_0368_PP_0815_PP_1506,581.5934272276584,82.18826526243645,3,False,1
6361,PP_0528_PP_0813_PP_0815,574.4781081768238,75.92197216965356,3,False,1
10289,PP_0751_PP_0815_PP_1769,565.0188666908944,75.14321951203512,3,False,1
10286,PP_0751_PP_0815_PP_1506,561.909985095187,80.76865326922466,3,False,1
3654,PP_0368_PP_0815_PP_1769,548.8197707059433,74.96111120257649,3,False,1
16026,PP_0815_PP_1506_PP_2136,548.7721270752394,80.50139481702351,3,False,1
12590,PP_0812_PP_0815_PP_1506,545.0623900263832,81.20821722252084,3,False,1
16039,PP_0815_PP_1506_PP_4120,541.3544457776966,82.47546241134143,3,False,1
13674,PP_0813_PP_0815_PP_1769,540.4867586135365,74.8736981879652,3,False,1
13671,PP_0813_PP_0815_PP_1506,538.4142184903371,79.87676184475242,3,False,1
16131,PP_0815_PP_1769_PP_2136,533.2180073990972,74.8183744145166,3,False,1
10305,PP_0751_PP_0815_PP_4120,530.8096196313905,79.44288160245121,3,False,1
12593,PP_0812_PP_0815_PP_1769,527.3242015657165,75.13371178131533,3,False,1
3657,PP_0368_PP_0815_PP_2136,525.1783712662426,74.80979539477738,3,False,1
6466,PP_0528_PP_0815_PP_2136,520.0371183896384,75.97545471508948,3,False,1
626,PP_0815_PP_1506,518.8360799483988,79.2056037867711,2,False,1
16023,PP_0815_PP_1506_PP_1769,518.2090374037326,79.30771845710687,3,False,1
16045,PP_0815_PP_1506_PP_4189,516.8486451992267,76.96661836980246,3,False,1
14731,PP_0814_PP_0815_PP_4189,516.0454052172718,74.90700260290069,3,False,1
16150,PP_0815_PP_1769_PP_4189,510.7665338503958,74.80601188316216,3,False,1
3670,PP_0368_PP_0815_PP_4120,510.08796763379996,78.65938112236367,3,False,1
10292,PP_0751_PP_0815_PP_2136,508.08855461691,75.27911682206883,3,False,1
3255,PP_0368_PP_0528_PP_0815,505.9728883233452,75.37775958488615,3,False,1
16047,PP_0815_PP_1506_PP_4192,503.8866375824549,79.73737817890964,3,False,1
14725,PP_0814_PP_0815_PP_4120,501.1930596195784,76.95640460707193,3,False,1
13677,PP_0813_PP_0815_PP_2136,500.0385226572218,74.90688789750128,3,False,1
10313,PP_0751_PP_0815_PP_4192,499.5455094039226,76.35310760818496,3,False,1
6463,PP_0528_PP_0815_PP_1769,498.6922849792965,75.31531787594483,3,False,1
653,PP_0815_PP_4192,437.49949973386526,76.26996484673411,2,False,1
629,PP_0815_PP_1769,433.0983310280033,75.7981073323187,2,False,1
131,PP_0368_PP_1506,384.1949032463866,77.02398618478944,2,False,1
488,PP_0812_PP_1506,375.8649915540381,76.53969192764073,2,False,1
244,PP_0528_PP_2136,375.42413426718537,75.1049873604829,2,False,1
535,PP_0813_PP_1506,373.09000989750865,76.7054602328612,2,False,1
969,PP_1506_PP_4120,370.5077607236205,78.34500367552829,2,False,1
241,PP_0528_PP_1769,359.4268869908912,74.85583508807954,2,False,1
264,PP_0528_PP_4191,354.37783582410725,75.37038008487094,2,False,1
