number_of_grna,gRNA_1,gRNA_2,gRNA_3
3,PP_0226,PP_0437,PP_0751
3,PP_0813,PP_1769,PP_4191
3,PP_0226,PP_0597,PP_4678
3,PP_0999,PP_3578,PP_5186
3,PP_0999,PP_4120,PP_4191
3,PP_1319,PP_1457,PP_4192
3,PP_1319,PP_4121,PP_4667
3,PP_1444,PP_4189,PP_4191
3,PP_1506,PP_4651,PP_4862
3,PP_2112,PP_2136,PP_4678
3,PP_2112,PP_4188,PP_4862
3,PP_2112,PP_4189,PP_5186
3,PP_2137,PP_4011,PP_4120
3,PP_2137,PP_4116,PP_4187
3,PP_2213,PP_2471,PP_4266
3,PP_2471,PP_3754,PP_4667
3,PP_3123,PP_4862,PP_5186
3,PP_0813,PP_4549,PP_5288
3,PP_4189,PP_4550,PP_4862
3,PP_0774,PP_1607,PP_3578
3,PP_0751,PP_1620,PP_4678
3,PP_0368,PP_4191,PP_4192
3,PP_0368,PP_0812,PP_0944
3,PP_0597,PP_1769,PP_4862
3,PP_0658,PP_0815,PP_4187
3,PP_0658,PP_1506,PP_3071
3,PP_0226,PP_2339,PP_3365
3,PP_0437,PP_0528,PP_3578
3,PP_0226,PP_0897,PP_5288
3,PP_0774,PP_2213,PP_5288
2,PP_3123,PP_4667,
2,PP_3123,PP_3755,
2,PP_0437,PP_3365,
2,PP_3123,PP_5288,
2,PP_2339,PP_4186,
2,PP_3365,PP_3754,
2,PP_3755,PP_4122,
2,PP_0368,PP_0597,
2,PP_4122,PP_4188,
2,PP_2137,PP_4189,
2,PP_4122,PP_5417,
2,PP_0812,PP_2095,
2,PP_1506,PP_5203,
2,PP_0437,PP_4116,
2,PP_0814,PP_4862,
2,PP_0813,PP_4120,
2,PP_0813,PP_4189,
2,PP_0774,PP_1769,
2,PP_0814,PP_1769,
2,PP_0814,PP_3123,
2,PP_0814,PP_4192,
2,PP_0814,PP_5288,
2,PP_1620,PP_4116,
2,PP_0658,PP_2136,
2,PP_0999,PP_4679,
2,PP_1319,PP_4678,
2,PP_0528,PP_5288,
2,PP_0812,PP_4121,
2,PP_1607,PP_4550,
2,PP_0815,PP_1317,
