gRNA_Target,Placeholder
Vector,DBTL3_Vector
PP_4549,IY1527
PP_4550,IY1528
PP_0368,IY1529
PP_2136,IY1531
PP_0774,IY1535
PP_0437,IY1537
PP_1444,IY1546
PP_3071,IY1549
PP_3754,IY1552
PP_3755,IY1554
PP_3365,IY1557
PP_4679,IY1558
PP_4678,IY1559
PP_3578,IY1561
PP_5288,IY1562
PP_0597,IY1563
PP_4667,IY1564
PP_3123,IY1599
PP_2137,IY1600
PP_2471,IY1602
PP_2213,IY1605
PP_0528,IY1608
PP_5417,IY1847
PP_4120,IY1853
PP_4121,IY1854
PP_4122,IY1855
PP_0999,IY1861
PP_4189,IY1867
PP_4188,IY1868
PP_4187,IY1869
PP_4116,IY1873
PP_4862,IY1875
PP_1317,IY1880
PP_1319,IY2095
PP_0812,IY2096
PP_0813,IY2097
PP_0814,IY2098
PP_0815,IY2099
PP_2095,IY2104
PP_1769,IY2105
PP_5186,IY2108
PP_0658,IY2112
PP_1506,IY2113
PP_1620,IY2114
PP_4266,IY2115
PP_1457,IY2116
PP_5203,IY2117
PP_0226,IY2119
PP_4651,IY2121
PP_4192,IY2124
PP_4191,IY2125
PP_0897,IY2127
PP_0944,IY2128
PP_0751,IY2131
PP_2112,IY2134
PP_2339,IY2135
PP_4011,IY2136
PP_4186,IY2139
PP_1607,
