number_of_grna,gRNA_1,gRNA_2,gRNA_3,gRNA_4
4,PP_0226,PP_0437,PP_0751,PP_0813
4,PP_0437,PP_0751,PP_0814,PP_4862
4,PP_0813,PP_0814,PP_4189,PP_4862
4,PP_0813,PP_0814,PP_4189,PP_5288
4,PP_0814,PP_4189,PP_4862,PP_5288
4,PP_0528,PP_0815,PP_1317,PP_4862
4,PP_0528,PP_0815,PP_1317,PP_1769
4,PP_0226,PP_0437,PP_0751,PP_0814
4,PP_0226,PP_0437,PP_0751,PP_4191
4,PP_0437,PP_0751,PP_0813,PP_4189
3,PP_0815,PP_1317,PP_4862,
3,PP_0813,PP_0814,PP_4189,
3,PP_0815,PP_1317,PP_5186,
3,PP_0813,PP_0814,PP_4862,
3,PP_0813,PP_0815,PP_1317,
3,PP_0813,PP_2137,PP_4189,
3,PP_0813,PP_4189,PP_4192,
3,PP_0813,PP_4189,PP_4862,
3,PP_0814,PP_4189,PP_4862,
3,PP_0815,PP_1317,PP_4678,
3,PP_0815,PP_1317,PP_4667,
3,PP_0815,PP_0999,PP_1317,
3,PP_0815,PP_1317,PP_1319,
3,PP_0812,PP_0813,PP_4189,
3,PP_0815,PP_1317,PP_1769,
3,PP_0815,PP_1317,PP_2136,
3,PP_0815,PP_1317,PP_2137,
3,PP_0815,PP_1317,PP_4116,
3,PP_0815,PP_1317,PP_4120,
3,PP_0815,PP_1317,PP_4192,
3,PP_0814,PP_4191,PP_4862,
3,PP_0815,PP_1317,PP_5288,
3,PP_0751,PP_0814,PP_4862,
3,PP_0751,PP_0813,PP_4189,
3,PP_0597,PP_0815,PP_1317,
3,PP_0368,PP_0815,PP_1317,
3,PP_0437,PP_0813,PP_4189,
3,PP_0437,PP_0815,PP_1317,
3,PP_0528,PP_0813,PP_4189,
3,PP_0528,PP_0815,PP_1317,
2,PP_0528,PP_1769,,
2,PP_0368,PP_0528,,
2,PP_0528,PP_0751,,
2,PP_0528,PP_0812,,
2,PP_0528,PP_0813,,
2,PP_0528,PP_0814,,
2,PP_0528,PP_1506,,
2,PP_0528,PP_2136,,
2,PP_0813,PP_0814,,
2,PP_0814,PP_4191,,
2,PP_0528,PP_2137,,
2,PP_0528,PP_4120,,
2,PP_0814,PP_4189,,
2,PP_0528,PP_4188,,
2,PP_0528,PP_4189,,
2,PP_0528,PP_4191,,
2,PP_0528,PP_4192,,
2,PP_0528,PP_4678,,
2,PP_0528,PP_4862,,
2,PP_0751,PP_0814,,
