Sample Group,Source Plate Type,Source Well,Source Plate Name,Destination Plate Name,Destination Well,Transfer Volume
AQ,384PP_AQ_SP2,A24,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A1,3300.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A1,5000.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A1,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A1,700.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A10,5000.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A10,5000.0
AQ,384PP_AQ_SP2,B1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A10,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A10,
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A11,5000.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A11,5000.0
AQ,384PP_AQ_SP2,B8,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A11,2700.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A11,1300.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A12,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A12,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A12,700.0
AQ,384PP_AQ_SP2,B5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A12,3300.0
AQ,384PP_AQ_SP2,B6,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A13,1000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A13,3000.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A13,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A13,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A14,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A14,1100.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A14,5000.0
AQ,384PP_AQ_SP2,B17,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A14,2900.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A15,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A15,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A15,1100.0
AQ,384PP_AQ_SP2,B4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A15,2900.0
AQ,384PP_AQ_SP2,A23,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A16,1100.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A16,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A16,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A16,2900.0
AQ,384PP_AQ_SP2,B18,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A17,1800.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A17,2200.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A17,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A17,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A18,1600.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A18,5000.0
AQ,384PP_AQ_SP2,B2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A18,2400.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A18,5000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A19,5000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A19,5000.0
AQ,384PP_AQ_SP2,B13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A19,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A19,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A2,3000.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A2,5000.0
AQ,384PP_AQ_SP2,B6,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A2,1000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A2,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A20,2900.0
AQ,384PP_AQ_SP2,B12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A20,1100.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A20,5000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A20,5000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A21,5000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A21,5000.0
AQ,384PP_AQ_SP2,B21,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A21,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A21,
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,5000.0
AQ,384PP_AQ_SP2,B19,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,2500.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,1500.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,5000.0
AQ,384PP_AQ_SP2,B16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,
