Well,gRNA_Target
A1,PP_0528_1
A2,PP_0815_1
A3,PP_0813_1
A4,PP_0814_1
A5,PP_0437_1
A6,PP_0226_1
A7,PP_0751_1
A8,PP_0368_1
A9,PP_0812_1
A10,PP_0597_1
A11,PP_1317_2
A12,PP_0814_2
A13,PP_0815_2
A14,PP_4189_2
A15,PP_0813_2
A16,PP_0437_2
A17,PP_4191_2
A18,PP_0751_2
A19,PP_2137_2
A20,PP_2136_2
A21,PP_4678_2
A22,PP_4192_2
A23,PP_4188_2
A24,PP_4120_2
B1,PP_1769_2
B2,PP_1506_2
B3,PP_0812_2
B4,PP_0528_2
B5,PP_0999_2
B6,PP_4862_2
B7,PP_4189_3
B8,PP_1317_3
B9,PP_4862_3
B10,PP_0751_3
B11,PP_4192_3
B12,PP_1769_3
B13,PP_4120_3
B14,PP_4116_3
B15,PP_2137_3
B16,PP_2136_3
B17,PP_4678_3
B18,PP_1319_3
B19,PP_4667_3
B20,PP_0814_3
B21,PP_5186_3
B22,PP_0813_3
B23,PP_5288_3
B24,PP_4862_4
C1,PP_5288_4
C2,PP_0813_4
C3,PP_1769_4
C4,PP_0814_4
C5,PP_4191_4
C6,PP_4189_4
C7,Vector_2
C8,Vector_3
C9,Vector_4
