Sample Group,Source Plate Type,Source Well,Source Plate Name,Destination Plate Name,Destination Well,Transfer Volume
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A1,2000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A1,5000.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A1,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A1,2000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A10,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A10,5000.0
AQ,384PP_AQ_SP2,A21,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A10,4000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A11,5000.0
AQ,384PP_AQ_SP2,A22,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A11,4000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A11,5000.0
AQ,384PP_AQ_SP2,A24,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A12,3500.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A12,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A12,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A12,500.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A13,3100.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A13,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A13,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A13,900.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A14,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A14,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A14,500.0
AQ,384PP_AQ_SP2,A23,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A14,3500.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A15,5000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A15,5000.0
