Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log2_FC,PP_0751_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0368_PP_0815_log2_FC,PP_0437_PP_0815_PP_1317_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0815_log2_FC,PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0751_PP_0812_log2_FC,PP_0812_PP_0815_PP_1506_log2_FC
ilvA-II,1.462923466946714,1.1865327731970416,1.3630211906027823,1.3426333072289947,,1.4589644148651062,0.7097234003627354,,1.2635891796819452,,1.1782167889634754,-0.390909923630359,,1.4657960348734898,,0.9333776909089343,,,,0.8330561352619837,-1.2548285895158104,0.9840663928824427,0.8000134869331069,0.6777927870164149,
ilvC,-1.17726344139381,-1.366457602112014,-1.3847573642028181,-1.2802964869796913,-0.9261141067597091,-1.168337443445948,-0.9887269749798451,-0.8199754673189814,-1.1671290859851162,-0.4468181526903724,-1.5661846894853724,,,-1.0485125505831272,1.0039357324245293,-0.9753126537233762,-0.9351338302603125,-0.43450456931699233,,-0.917436441203774,,-0.9068304554819455,-0.8148808534053595,-0.8668296478393457,-1.1235581574801918
ilvE,-0.09051062026532078,,,,0.34517218925843873,-0.18726545783792126,0.3856171576684437,0.24076851294337026,,0.6190653582331241,,0.4484915171617556,,,,0.45244370150857627,0.3497666615915555,0.4203375769476143,0.43521665104118257,0.2873503951166065,0.5122546107981136,0.5557169710418243,0.35531314200577563,,0.3011378026239129
ilvH,-0.39497255176479173,-0.8543604807726193,-0.638348237036703,-0.6823236862838278,-0.5793799199534873,-0.6475604812825416,-0.6199992288079257,-0.6772987880131154,,-1.3702158875629666,-0.7920276759313901,-1.965188262478785,-2.233598101163636,-0.4609331455505846,-2.65928415815392,-0.622215989564228,-0.6673662429583515,-1.1469956704495943,-1.7506036175711355,-0.6961699900894276,-2.9597250021621595,-0.5313048749457092,-0.7000041086260718,-0.7574776707839681,
ilvI,-0.735278495072326,-0.9085452823340213,-1.522295908611877,-1.375962648991882,-0.40996307650825564,-1.197417480068489,-0.3705218523094531,-0.47544638511290715,-1.3066495142459704,-1.0430268782244148,-1.1337460481818802,-1.0407515255130237,-1.238206571299666,-0.5414959585029885,-0.8379447887560546,-0.4911528521070284,-0.9140850072406417,-1.0058142267535992,-1.0982562900406607,-0.5331830833617658,-1.429803618029322,-0.36631500741592576,-0.4753385106710238,-0.5216257728487355,-0.8952483876145267
leuB,0.2624719625402903,0.25542036814303143,0.24573107974269348,,,0.30922446000147075,,,0.3973877497882864,-0.3209792905802752,0.17481168546787218,-0.30701013727318777,-0.8642584662085916,,-1.0825741300634724,-0.16247877873470457,0.33001662957284916,,,,-0.9393178587429135,,,,0.1433416687429745
leuA,,-0.1104828141327073,-0.10846296213402484,-0.10513932726444045,0.24576517472960396,,0.21318361577450604,0.31684260864997055,,,-0.12392418415021395,,,-0.11852507143102568,,0.1399882900312539,,,,0.2811942453964922,0.49758199211477244,,0.2310303361952913,,
leuD,,-0.6639575611567635,,,,,-0.21608870975837705,,,-0.465577998430865,,-0.2759537416740792,-1.1579022596953636,-0.7113579733932549,-1.4190459876118868,,,,-0.9572715782393638,,,,-0.14191868185791204,-0.14493417981374998,-0.5266487727781843
leuC,,,0.40383633756788745,,,0.271437797942966,,,0.35964999240573164,0.379336667258188,,0.2429739274373712,,0.3257382315640433,,-0.22845962400397818,0.142692650147853,,,,,-0.21329973857752516,,,
ilvD,,,,,0.21655612321890677,,0.25079687712981036,0.3067218924905664,,0.45734289779887444,,,0.44676854383388304,0.19950809555075114,0.2645359603099889,0.16046356037360698,,0.5135906412308059,0.35736247672430693,0.22916120842865031,,,,,
