Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log2_FC,PP_0751_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0368_PP_0815_log2_FC,PP_0437_PP_0815_PP_1317_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0815_log2_FC,PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0751_PP_0812_log2_FC,PP_0812_PP_0815_PP_1506_log2_FC
neo,-0.34210698620305957,-0.21651959117421465,,,,-0.367673154030247,,,,,-0.19900833380901398,0.394798296201145,0.5855365519849758,-0.5266295222284282,,,,,0.5664725551180121,-0.20050574168223273,0.49957162741247446,,,-0.376222005934622,
MVD1,0.3815597196429647,0.5097800806057207,0.7173319868252974,0.6211526511068206,0.2638656974338357,0.32258178067548876,0.2787655986849402,0.13900582930448255,0.5218745306152085,,0.5960611430805789,,,0.27637498901212965,-0.4466133837926723,0.3110266377127502,0.8320324845994443,,,0.2271059758071001,,0.34156147018994565,0.08385538118160103,0.13410213205088772,0.8524570851723344
groEL,-0.5945400264271976,-0.4656339092944081,,,-0.295864404361785,-0.45626687680292066,-0.3470673754892741,,,0.3285640701933491,-0.4309658256596281,0.4795773232154133,0.7163358443636765,-0.5113399196778009,,-0.30493726410767164,-0.16477015429204045,,0.6720506808212002,-0.2840799975020392,0.48297331042503117,-0.1925837993264832,-0.23660886255081381,-0.28960674169320894,
aacC1,,,,,,,,,,-1.0418000422876752,,-0.6688644101330228,-1.166328000221802,,-1.3560061225558626,,,-0.9090920249692968,-1.1825953034220857,,-0.5404062814525092,,,,
tufB,-0.2952281837359325,-0.4968792163980726,,,-0.46095777899050366,-0.20006973777080217,-0.6756492529381644,-0.45398018163209447,,,-0.5389827758232959,,,-0.19849089618383564,,-0.7059542383576063,-0.28758443945846085,,,-0.3440299113355824,,-0.6884292927249882,-0.3526259830504681,-0.38723260884234395,-0.3080435757784719
EF_1364,,,,,0.28961555917419934,,0.3769373003778126,0.42404981603227987,,,,,,,,,,,,0.5474650059041652,,,0.4309367556101971,0.34472233615535697,
rplL,-0.883999490989745,-0.9167185759484655,-1.0725626253475011,-0.6481160452075474,-1.3055173726067375,-0.41532331572514875,-1.106996122290534,-1.0849760462311477,-0.7986326535960907,,-0.9021972694887794,,-1.3277020905388521,-0.4594532997715521,,-1.2334142347135708,,,-1.3936612282571066,-1.1355393006572685,,-1.3513479587346293,-1.1539280448745064,-1.0451817659726221,
dnaK,-0.08784758862499462,-0.12504840196930156,,,,,,,,,,0.24560561098040928,,,,,0.2299383457446973,,,,,,,,
rplA,-1.1636290361253445,-1.0121113734907796,-0.8468168650619649,-0.7455655966809003,-1.5122423911859095,-0.6645357148017432,-1.3882607590927125,-1.2189843312800879,-0.592681763410909,-0.9538233111720491,-0.9274841706410359,-1.044670491713224,-1.1701820970309404,-0.6530004097408033,-1.3115206244369717,-1.5406983786252133,-0.7183657416407649,-0.5380823178194943,-1.0838677443297873,-1.1818395364042302,-1.2063013713633206,-1.3604142654729647,-1.084364835574505,-1.0184558542938118,-0.7759056831346012
sucC,-1.2073351621363309,-1.254857099069509,-1.2295797367736727,-1.146069230353553,-1.8409409343238656,-1.6601971066618497,-2.0233905772589837,-1.9291965354378422,-1.259609743897681,-1.3709121304210214,-1.439029691534846,-1.3176218877386199,-1.2788907601171489,-1.7067456974247186,-1.2866455355469533,-1.46173623662376,-1.2304038543306437,-2.022046863534724,-1.2828029441293787,-2.1655524642259856,-1.7587963619306453,-1.384020963282743,-2.0103565860102255,-2.2427091066910965,-1.14977748534135
