Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log2_FC,PP_0751_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0368_PP_0815_log2_FC,PP_0437_PP_0815_PP_1317_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0815_log2_FC,PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0751_PP_0812_log2_FC,PP_0812_PP_0815_PP_1506_log2_FC
aspA,0.9235215825362508,1.662221358887632,,,1.602690952642945,,2.006596929983399,,,,1.8464004448214124,,1.686411031839048,,,1.9869901715696767,1.5750669794275607,0.8669431926828163,1.8322112508622994,1.9849863447134324,,2.266329964166002,2.1138599904732067,,1.430046327277164
gdhB,1.3652502355879848,1.0649402812505333,0.871502793074443,0.7326964501034062,0.6155941067964974,0.7985687177748658,0.6465190963235338,0.5075877842969572,,,0.7968589982774272,0.8753425756590101,,0.9509720456580776,1.3801340130314974,,,,,,,0.6207671951864809,0.46322777130283926,,
glnA,-0.7279146038065429,-0.511011146115966,-0.43676978641669717,-0.5187447373691559,-0.5736645015369223,-0.5970451564470978,-0.7262411564639641,-0.6286971938646708,-0.48127416219318503,,-0.4804756810124623,,,-0.5379706144313802,,-0.547044468379351,-0.377806158349497,,0.504841816961406,-0.7136866881393067,,-0.5191901677264368,-0.6243071116864044,-0.756100588197678,-0.23943952680708275
gltB,0.7435220191099219,0.5122924688977188,,,,0.6007327654092591,,0.15067402040185074,0.38859540898417044,,,0.5305895608934209,,0.7206833740499545,0.7808922231399581,,,0.587907936216302,0.5188232548884755,,,,0.1263955912952889,0.2331930549173703,
gltX,0.8285657811846535,0.8001826479135589,0.6238851735395018,0.4103648440848155,0.7144761239935772,0.6874685919594233,0.5843399009310039,0.7337985402678139,0.7320468260605351,0.2523868253269005,0.4935840850857472,,,0.8500088847616428,-0.5204956262271876,0.5314299448132194,0.7149773347639241,0.21377443869935345,,0.6875238289814659,,0.526152450548114,0.6700936581748059,0.7381155235685841,0.6751798316614306
hemB,0.8910393263774593,0.8066255693068581,0.7613830597823109,0.7211283480204359,0.3825082196725568,0.8178550110399532,0.25297090175346426,0.35674766632024885,0.903808564373536,0.6465674140835184,0.5851637541954993,0.690378545941397,,,,0.21543233981138873,0.5832275921715385,,,0.34866645565230875,,0.1394386935987772,0.29404415090185704,0.498390543439321,
tyrB,0.9465563454225873,1.0674051079960547,1.0135367078830266,1.151815046545261,1.148086236909605,1.0936710240330323,1.1193646086724047,1.0784166254790513,1.1229876206917397,0.8456985521391887,0.913725345040286,1.0238092674752803,,0.9283118470253516,,1.1991705375459758,1.2322434511568503,,,1.0243893459580895,,1.4388869925700112,1.0095968926380756,1.0341629344466905,1.1097631030133392
hemL,,-0.4592457052345653,,,0.3215224595362622,,0.40505619268764353,,,,-0.24612008951154432,,,,-0.715225600199467,,,0.30819677947862933,0.32898138578132613,,,0.30553098611763996,0.34723749251152125,0.5036856698957196,
gltD,,,,-0.8368405157454502,-0.3980507730876032,-0.22034986921056157,-0.3882891266286102,,-0.5295032646226638,,-0.5522653494025719,-0.8275322003005718,-0.4087399868020123,,-0.9161029495227014,-0.41304915610287796,,,,,-1.0673763499323001,,,,
gdhA,,,,,0.9033969092244871,,1.1567126917302766,0.9004806183094063,,,-0.45104941801716214,0.3990664095019984,,,,0.7404575380140701,,0.5588175884559157,,1.0665159355516516,1.1644433506190885,0.964889083617263,1.3175638368664235,0.6460518073094919,-0.7474303578533505
hemC,,,,,0.44056583854431375,,0.45737634156295903,0.43508317510043565,,1.0047738451874562,,0.7588305728842524,,,,,,,,0.38128256942573835,0.9527444101920972,,0.41235243189922977,,
