Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0154,2.4549872665790677,5.559882396009903,2.986520799315842,2.3169895483366787,,,,,,,,,,,,,,,2.7774440716439726,1.3542496817199157,,,,,,,,
PP_0173,1.3314437318913699,2.358915418473992,1.1110582239559097,1.5587579849782078,,,,,,,,,,,,,,,,,,,,,,,,
PP_0203,2.8561221387954263,3.064544376878455,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0378,-2.1598544256578682,7.25875526347752,-2.2144744102316043,7.1890814812707395,,,,,,,1.2626034954554017,4.632159387702372,,,,,,,-1.5503981793717125,5.342394116867421,,,,,,,,
PP_0763,-1.2585476719530202,2.315665711319018,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1187,-1.0279924200012693,6.565935008501364,,,,,,,,,,,-1.0537511743012338,2.249700072409118,,,,,,,,,,,,,,
PP_1191,1.2384679073675802,1.7409978564999298,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1246,1.486676246453761,5.73497729107817,1.5264201667560908,1.9762812224846689,,,,,,,,,,,,,,,,,,,1.7128078637642075,2.923883946955169,,,,
PP_1318,1.2696264963711525,1.99688380670742,,,,,,,,,,,,,,,,,,,1.0993736605531992,1.3611965647690067,,,1.4948530709597312,1.6972560049031573,,
PP_1782,1.105594010940144,4.155542155378208,1.0995277329688062,2.1842311916713535,,,,,,,,,,,,,,,1.6304265122601007,1.7276247793122592,,,1.7059418337698966,2.5739803913526194,,,,
