Protein,PC1,PC2
Aacc1,0.02974878053020218,-0.04085396517021978
Aapj,-0.004586238474236375,0.037677846463666384
Aapm,0.002218238186649204,0.022768177462962155
Aapp,-0.015354557839979115,0.03186794032919461
Aapq,-0.019600403965781756,0.028839245320885252
Aat,-0.022898218338164394,-0.027871219997975732
Acca,-0.002219045879379994,0.018206717870855406
Accb,-0.0003800191625950216,-0.02468989852319735
Accc-1,0.032385072732474554,0.03630615773906234
Accc-2,0.028776261746846304,-0.0005644178276751457
Accd,-0.0054239925550120405,0.013904066082161604
Acda,-0.017019447080242348,0.009364221934307302
Acea,0.03594706120046127,0.0026797619358379077
Acee,-0.02163542586685771,0.010140545686483182
Acef,-0.004451722140252388,0.02166443627808752
Acna,-0.041073823739168236,0.03160576808124529
Acnb,-0.0011108030754380697,0.011625279236182236
Acpp,-0.002829778013881792,0.004056816696046085
Acsa1,0.04042459743597565,0.0016422996916250596
Acsa2,0.006850463622837262,0.001093978945957126
Adk,0.029862386993220892,0.033443718390916456
Aer-1,0.0009831272303335798,-0.028343983240893898
Aer-2,-0.030180478641157037,-0.015000067129190602
Agmr,0.044541708899131734,0.004025391227516612
Agua,-0.03757052246307239,0.01153995399432493
Ahpc,-0.004806407967353206,-0.022630239056718328
Alas,-0.012161349424757667,0.021261285214316993
Algb,-0.01804092915427966,-0.004958540121242458
Algc,-0.010065151094236488,-0.015840895393828262
Algn,-0.028873580822381322,0.023981163426273818
Algp,-0.011618281729797866,0.04443932753283181
Algt,-0.029258286007421305,0.024663938095127187
Algw,-0.014804245542841809,-0.013106113234949321
Algy,0.0012793508096835809,0.021592686952407018
Algz,0.006541764975842572,0.04369458681285659
Alla,-0.032932710894123036,0.009830289600692583
Amn,-0.007817416133546265,0.03367225950360478
Ampc,-0.020402889410034833,0.03137263435484299
Ampd,-0.030665970941624612,0.033014830095596484
Ampg,0.0069576990146697545,0.037417393770299165
Amtb,-0.012862199113544009,0.030334310851365516
Anmk,-0.028342430857854532,0.021084125352479683
Anr,-0.025689139421520256,-0.018349768677677136
Ansb,-0.03067509391011903,-0.006974691805127261
Apag,-0.021093775267339812,-0.009894602206942237
Apah,-0.03119689118622999,0.01171567748217818
Apeb,-0.03098664488929674,-0.0033151956114747384
Apha,-0.002620463165361131,0.02200315645527819
Apt,-0.026961081912224717,-0.025698976321773884
Arca,-0.03272566230992848,0.0015472736085771683
Arcb,-0.03113810752883938,0.004669090231499512
Arcc,-0.03932849914386241,-1.2206460004264736e-05
Arga,-0.03586477370822073,0.016933508904607125
Argb,-0.0035763665202356507,-0.03748289969782863
Argc1,-0.008781367080683668,0.00255924716528595
Argc2,0.010001707576529703,-0.004042541912490659
Argd,0.005508746197277351,-0.0025543921401612194
Arge,-0.026891424267314955,0.026002485785157698
Argf,-0.014966434933604195,-0.004167805596745958
Argg,-0.018544954538220648,-0.019690370533752236
Argh,-0.0018305272517927284,0.021950195511631628
Argj,-0.0032832855565068436,0.02051825695097041
Args,-0.039082131243336315,-0.009352854789649452
Arob,-0.016569665198417453,-0.011510996875157397
Aroc,-0.0258055238620236,-0.01693291445474796
Aroe,-0.008593801932802285,-0.008991939594224516
