Protein,Spearman_Correlation,Average_Abundance_Control
Neo,-0.017966617798499455,3.3525587937777783
Tryp_pig,0.11668786072508591,0.37713783833333336
Krt1,0.004067458613043526,0.0071482596999999995
Arga,0.060521001485105454,0.02039421727777778
Pcaj,-0.0556643584262198,0.002343691
Dnaa,0.12858674843401946,0.023916076666666668
Dnag,-0.04072398190045249,0.002416226
Dnan,0.08230932481877978,0.10275774033333333
Rsmg,-0.09193027019052373,0.022740414222222224
Ihfa,0.18104598301685842,0.03548578188888889
Ihfb,0.12454219543072917,0.0031076166470588233
Pp_1224,0.1942905788368583,0.0100754545
Adk,0.11352477575611106,0.11581354177777776
Pal,0.41575137566068227,0.2764165041666667
Yidc,-0.01695875875664379,0.045828002722222226
Hpf,-0.07343577945891137,0.11423182872222222
Pp_0002,-0.29774963919258324,0.015548926444444444
Parb,-0.09536360032084115,0.021722788333333333
Rpll,-0.26662640905471313,1.3343102076111113
Rpsu,-0.39785111947177587,0.2612694002777778
Rpon,-0.01079951153695925,0.023270695388888887
Tolb,0.32054359490099393,0.057250548333333345
Mnme,0.18104838718078653,0.008115825666666666
Apha,0.25049115324178534,0.36108112844444445
Krt10,-0.013204309211132756,0.0033087685
Aacc1,-0.2224300915714832,1.9737175727222223
Mvd1,0.03457866887995212,2.507165968277778
Krt9,-0.1531025279385053,0.0021201113333333336
Krt2,-0.05155620958505122,
Alla,0.3265041406166631,0.007870366722222223
Argb,0.043558811434158,0.07041490794444444
Argc2,-0.41256199501615254,0.003445783384615385
Argd,0.13137792592753542,0.06008978716666666
Pp_0396,0.09529995851901037,0.035529814166666666
Rpsk,-0.42027939803240133,0.29782606183333327
Seld,0.155736080475623,0.0065380082941176474
Hisd,0.07843494301196766,0.05302429727777777
Pp_1352,0.05069429787387612,0.03580754988888889
Argg,0.3471422827669286,0.2159756591666667
Argj,-0.006944349090529129,0.06177139088888888
Argh,0.14445440529439177,0.06362222205555554
Infa,-0.09815359010070537,0.08697836083333332
Lippks1,0.45739130434782604,
Ftsz,-0.3135024555300179,0.037034055611111116
Ef_1364,0.1821862033556915,1.4604563318333335
Pp_1157,0.16290978116029334,0.06556043616666667
