Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0018,0.3186863744463876,2.4166610196530915,0.2163304105013215,1.4733221166317634,0.5887996342114964,1.577507826838939,,,0.2507045442330758,1.3764270025397438,,,,,,,,,,,,,,,,,,,,
PP_0063,-0.6395339015536481,1.377506075625392,,,,,,,-1.3451364547751399,1.660002167067275,,,-0.943470942130044,1.971138387718568,,,,,,,,,-0.9746640473211077,2.9860089897331696,-1.6479712228433743,4.75699282887283,,,,
PP_0168,0.5952719731046653,1.9543146382473107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0173,1.3314437318913699,2.358915418473992,1.1110582239559097,1.5587579849782078,,,,,-1.020899848772911,1.532716324277401,,,-3.07435337242959,2.280882195849758,,,,,-1.6454323920129972,4.172812301424656,,,,,,,,,,
PP_0178,0.5139661819614632,2.193329557782809,,,,,,,,,0.5545049462471269,1.6651551721861908,,,,,,,-1.0990614937199772,3.101368832478421,0.6906327596003727,2.2081176128680657,-1.9698164631139459,3.488282748097703,,,,,,
PP_0188,0.21620248687018626,2.5059238885728874,,,0.2805588526540077,5.257603479757508,,,0.18006256875739607,3.7842181782596174,,,0.2570056984892214,6.729593330289741,,,,,,,,,,,,,,,,
PP_0189,0.2185302979817073,2.721541653823376,0.49799465970385864,6.42909470918494,0.2867984965792142,2.2573663181054022,,,,,,,0.0744726996542959,1.341086982036057,0.34872264659579827,1.3541077812929294,0.16689062672751162,1.3631772518980665,,,,,,,-0.1642496338650235,2.2667297156392543,0.5779515649837237,2.3448105655418976,,
PP_0203,2.8561221387954263,3.064544376878455,2.394205802098634,2.44119268053049,,,,,,,,,,,,,,,,,1.87606656629835,2.2467986101696953,,,1.563406090377396,2.61590196564856,,,,
PP_0228,0.43794597974937477,3.81359800254854,0.7524971974597509,8.214991341629911,0.5532749235871419,5.771335558450136,,,,,,,0.5129234190240584,4.942377250213432,,,0.34187820152403936,2.075304789049224,0.5810279006575219,1.918530603095826,-0.8986910046209966,1.96473619751914,,,,,,,0.2859967000725778,1.3444527049342854
PP_0287,0.4348262819284545,2.2002694118997996,0.5850380228041541,3.4706723770529897,,,-1.7324099741949752,2.590220444172455,-0.9194166024829823,2.24677030171836,-1.9268797318543498,5.364983827106963,,,,,,,,,,,-2.9268963430845694,5.409373448417163,-1.491811611354552,2.2018638211262087,,,-1.1658793810878285,3.916884270461021
PP_0288,-1.0555331594359074,5.191350991520555,-1.003656600037781,2.978957319865204,,,,,0.7259225290032358,1.3279108924281187,0.8243932379302338,1.4564832927738558,,,-0.6002728335899863,2.170945647092762,,,,,,,,,,,-3.8265948398060425,9.677412952596793,,
PP_0347,0.5854700014974897,5.236519828061189,0.6013298751748771,2.0005087662441596,0.5463950030310579,1.4530007343509668,-1.911240793483346,1.869250762334713,,,,,,,,,,,,,,,-1.5483561622259312,4.236153049927155,,,,,,
PP_0354,0.9578971873619799,3.5919527330666954,,,,,-3.215810241144436,3.7956452474839497,-2.839977600777334,3.265208195292778,-4.32079380053677,4.1882842251637245,-4.586213352865148,4.232578777002326,,,0.8660810019735277,1.5556975626970846,,,,,-4.910342737641207,4.2741494719072,,,1.7661216600543472,2.5559554323926252,,
