Protein.Group,PP_5419_log2_FC,PP_5419_log10_pval,PP_1240_log2_FC,PP_1240_log10_pval,PP_1770_log2_FC,PP_1770_log10_pval
EF_1364,0.7324572410248402,5.283850258916502,-1.1622664274888919,4.369092123850547,-1.106642726069133,1.3957577808483115
MM_1762,0.24924139156554298,2.1359243221437874,,,,
PP_0003,-0.5223543582457235,3.2765313458829057,,,,
PP_0004,-0.47601375963705395,1.3659361055562833,,,,
PP_0006,-0.28340891121651174,10.761318037191542,0.1443335981086506,4.547500300769681,,
PP_0059,0.6283446637374517,2.343782872562624,,,,
PP_0082,-0.47782507384875816,5.738542258578416,-0.7607963365667808,6.91188256448586,-0.4147819630721604,1.380850717299285
PP_0083,-0.27095867495729625,2.0141119015516873,-0.20912976453123172,2.2265421750903367,,
PP_0096,0.6440239672842762,3.0375209634790856,0.37690493262587244,1.4827593979427325,0.2866972610511813,2.73832340115194
PP_0111,0.716585489458512,1.570426242427211,,,,
PP_0112,0.9954047084419763,1.5399034508209508,1.102182698582688,1.825520598130539,,
PP_0116,0.6917647760019093,2.623898967104581,0.62140791327464,1.3393376180152141,0.20951152833244097,2.4422499075065476
PP_0123,0.281499106231486,2.9633682395750887,,,,
PP_0126,1.4703463393180043,2.26565426874521,1.67992185884499,1.947276691341266,,
PP_0127,0.38457359591451445,6.137677663876803,0.8438103022545614,1.558018249564566,,
PP_0130,1.7325496976018568,2.5675835626761794,,,,
PP_0133,0.49065403742310376,1.6772985583025026,,,,
PP_0139,1.084305171873261,2.754639624797058,1.11320490197885,2.7456257911973494,,
PP_0140,1.067216628727032,4.074990930505576,1.408502632582881,2.5627694497848172,0.7476980698349378,4.5747888739774805
PP_0168,0.7594853136584204,2.6884062972722353,1.3627883263466427,1.359777874564925,,
PP_0173,0.7793985217552737,2.607467422174291,,,,
PP_0182,1.1032275043903021,2.534930715860232,0.963671520114652,3.0252233163114455,,
PP_0184,0.13888566369450187,3.4480595007687493,,,0.25484943869710347,1.6503978395020038
PP_0185,0.9116066038676713,2.341804501941136,1.087060024227134,7.07042300187341,,
PP_0186,0.47434037360763176,3.9348340357154883,0.31160318016818145,4.832283634920906,0.4799772754052703,2.2223964439284556
PP_0188,0.5403983554515788,2.908139383174882,0.5563400323618479,1.5757383306069803,0.29644409088966384,5.704386052919247
PP_0189,0.49307768797898716,4.456869818185363,0.6755694974193004,2.128213595646231,,
PP_0191,0.7027818942572615,1.4305403229762952,0.5068825890282288,1.5011523107854425,0.4093567152758101,2.656381812426238
PP_0202,0.8135158982183578,2.449017802344959,0.9105748190490055,3.5332779464572805,,
PP_0215,1.1199495912837008,1.3035709633920591,,,,
PP_0227,0.6408905799130857,1.7588587815747245,0.5741931661271322,1.3143830577055098,,
PP_0228,0.6228400809342771,1.9494020920333872,0.6583264705123374,2.2220264144218564,,
PP_0235,0.9552589335269823,4.863947300460202,0.7123084456801956,4.90705279477365,,
PP_0245,-0.5076071529648218,2.1297045815717044,-0.6534756052546142,3.279415360009506,,
PP_0246,0.3558091600346728,2.739617921769051,0.9542263212919185,2.8766268801702575,,
PP_0258,1.5413695662962459,5.085871093684311,1.4470240080312124,1.8054100100220283,0.6048500814739912,1.661614612419722
PP_0268,-0.6055552344948901,7.877712297876481,,,0.36724981924208483,1.8008835128459624
PP_0282,0.4696309460275732,1.597502299631312,0.4877026198904206,8.00280415885334,,
PP_0287,0.6172469056054208,1.9383670454377477,0.7904399550420226,1.939056021741552,,
PP_0289,0.3844872575405035,8.060347218203942,,,,
PP_0293,0.3004651812241027,1.9813018149424453,0.3892928080429375,1.9213138037271627,,
PP_0296,1.2802671933237486,1.9117077814024928,1.6295681048201665,2.322288374207392,0.6751935637433494,1.7187590088040032
PP_0333,1.0413594391319327,4.746961762119026,1.1056034137249484,2.42386759536742,1.1408075949707808,1.562693043758809
PP_0338,0.3786063298332211,3.0834933058674365,0.6965416808641461,1.7186314456576262,0.2962117702182608,5.366665277680584
PP_0339,0.23307944201834374,1.9616654120571941,0.25836883740700295,1.446915200161225,0.26761115173234057,1.3101489697628999
PP_0340,0.5780332555386924,9.388365956160367,,,0.14711553510247818,2.4118470509548264
PP_0341,0.6924134676647422,1.3894581283231837,,,,
PP_0347,0.7614915071152295,7.528013066917429,0.4902059486661048,2.913727860332918,,
PP_0354,1.6246149087903006,4.751889283530251,,,,
PP_0366,0.6686777296190103,2.0657827223147636,,,0.25968819407321686,1.665724839984992
PP_0368,0.2640860917178336,2.3820370532400537,0.5141575901702409,3.384183264003498,0.48821346435947494,1.7523175144930023
PP_0375,-0.5767808930723962,1.6379544453410815,,,,
PP_0378,-1.6558280860728694,6.5042249912399415,-1.2731021234253193,4.251031616846308,-1.1629427939977548,3.8738994354442955
PP_0382,1.350968415025796,10.984671400486146,1.0936759458156107,1.8490499311209263,,
PP_0387,0.29450661682680973,5.4029351405076245,,,,
PP_0389,-0.22947182010680345,4.697915522603768,-0.8220589005332699,11.716888539485714,,
PP_0395,0.5862386487458913,2.56346028071936,0.7228308116941209,2.9715948430297847,-0.27868339706461226,1.739250760806169
PP_0396,0.28858016388897156,2.7539825961470203,0.615273262789839,2.424761357834405,-0.4837412308011189,1.642364452398499
PP_0397,0.4045994515264484,2.715004336102376,0.8803243816123771,11.361919008487734,,
PP_0399,0.8050818047889641,1.569530810987543,0.45794162670089317,1.4254506972187178,0.3133273524125048,2.578405426187884
PP_0400,0.22495812202187954,1.369433332497068,,,0.2607386596402011,4.2558942773417865
PP_0403,0.14742878771022147,1.5641983219006292,0.6081171104379643,1.7870668452867384,0.39585062734973064,1.3663331716107165
PP_0412,1.146417825713687,1.954336251267205,1.9090480634385771,3.410100026762199,,
PP_0415,-0.16735487866014578,1.7824003335343324,,,-0.26819180841428975,1.9202950392857072
PP_0417,-0.34493411751069447,2.7841186442060173,,,-0.5359387791528697,2.061445234098125
PP_0421,-0.2785052944576379,2.3436893875681015,,,-0.5250917006466905,4.666794513241902
PP_0434,1.1842099762361695,7.546437419535346,1.2238821881803763,2.5664759656180407,1.0337381860531178,2.9963898336446038
PP_0443,-0.7676358065447646,6.652827315799385,-0.622030095669284,4.3573433678975,,
PP_0444,-0.5847489570249818,2.883871525271436,-0.6390316784321111,4.248974457056893,-0.16771786392322857,4.315995299718396
PP_0445,-0.7738763848512082,7.370411259946974,-0.5385197927756351,6.339399215092526,,
PP_0446,-0.6339733617025229,4.183328816306773,,,,
PP_0448,-0.4606378471753416,6.667115787337393,-0.5478209868913679,7.707694781237807,-0.317381711323778,3.4481393088333983
PP_0449,-0.4796500458494497,5.360088818008873,-0.5610076479339404,4.3042768636545246,,
PP_0450,-0.42478619167041326,3.210889927451689,-0.5823649469298828,10.992194332785427,,
PP_0451,-0.32811944318766245,4.5004949176630875,,,,
PP_0452,-0.25289472435215776,2.090633240164446,-0.20306496134097224,2.486266503482868,-0.39761018890585,1.5561559443565545
PP_0453,-0.5543907483907814,5.0114432111561875,-0.7084592004317302,8.568166602237776,,
PP_0454,-0.36016728928266833,2.3427513024047455,-0.745556422310614,2.936483683009403,,
PP_0455,-0.4275108153271643,5.939066502213831,-0.9978551163810372,7.964679589932005,,
PP_0456,-0.5671232413717413,6.712447690671323,-0.7791275260685009,10.15504037059257,-0.2545947383897843,2.6749309328099953
PP_0457,-0.8050969680374924,8.331698629968024,-0.7692900563812101,10.071095857026632,-0.29167799911743303,2.522997689504602
PP_0458,-0.9424731169599588,1.9975241383053748,-2.0038581643763966,8.6550553348238,-0.9497081050526069,2.0681793579174226
PP_0459,-0.8705920079511512,7.178370241356917,-0.8326987020301606,6.838032117788793,-0.41042934179661844,3.4917924584194617
PP_0460,-0.4401883472216142,2.033699007256808,-0.666248629015681,8.65780177991667,,
PP_0461,-0.5878012469300807,7.357294033525978,-0.7907436921179002,8.971858088413878,,
PP_0462,-0.48488409793693327,2.608776446509851,-0.24523793608096212,1.9157760684170146,,
PP_0463,-0.5585482248924049,8.562635737360845,-0.8566068402974496,8.307810204877608,,
PP_0464,-0.6596136610856178,1.7837088890792843,-0.7235699404120441,2.0135886590713836,,
PP_0465,-0.8485825844108785,4.130236781455289,-1.562192535378115,12.146712331905485,-0.700667805070686,1.826805760535869
PP_0466,-0.6990603233095869,3.7210352117122603,-0.8958010460574984,6.507399649448309,,
PP_0467,-0.35677998936928484,3.3074871446840355,-0.8162117045706879,8.72476556616727,,
PP_0468,-0.6988758444374258,11.475171738946633,-0.5854506326822151,5.417198579594693,,
PP_0469,-0.8020786550269786,5.831594587582626,-0.7138838070722525,9.428339083977368,-0.2637540489270808,2.0857865330947485
PP_0470,-0.8394410756905968,6.1738377349061855,-1.1230654991997422,7.345696612474724,-0.4037735008107609,3.054510242157018
PP_0471,-0.9093927486010217,8.750498991663449,-0.9744108312903088,6.268500095031575,,
PP_0473,-0.6790996585056899,3.502972417864313,-0.6788660368322377,6.1408513187842075,,
PP_0476,-0.18219929188308492,1.5295921416982494,-0.8570060182008356,2.2947356250993782,,
PP_0477,-0.4827334010052088,4.65822129132807,-0.5820057034050883,2.487523508369722,,
PP_0480,-0.40721622755095754,2.4659528954819825,-1.1305666138188695,12.000288088064092,,
PP_0492,0.7706049041542955,1.7309397409937366,0.849033180472633,2.1888302716289822,,
PP_0501,0.21478560538276506,2.3939046228966814,,,0.4098732957551562,1.313915952735149
PP_0504,1.0130665226041229,6.592916338936291,0.7585511038296374,1.8658469267775757,,
PP_0512,1.4593303151862447,2.5554948542776965,1.4966279381167995,3.9036302996922387,1.0379763043548307,2.203120462932696
PP_0527,0.2989718804804901,1.7054578738724604,,,,
PP_0536,3.3042459200387793,3.907778347962655,2.9585089886532034,2.2351224348714056,,
PP_0538,-0.5132215882989513,4.355693268678952,-0.6183315411653333,2.7673968152086514,-0.5032872668805956,1.3370149520404442
PP_0542,1.0450760453096255,10.017450797569548,0.9694741843560012,3.167478935825496,0.9339217489811232,7.124529542306725
PP_0545,0.6441431995584016,4.474930568148437,1.049323450901593,2.442838928368931,,
PP_0547,0.43935642430716776,2.834226451418848,0.5198576305848779,6.684140522438103,0.3878762113708835,6.188661552310136
PP_0558,0.4278992638015275,4.323371996806155,0.8260468104305576,7.508406392690177,,
PP_0559,-0.37025388915165763,2.0159888669010937,,,-0.25878665041534255,1.9127233781051052
PP_0560,0.27495147156721356,1.4614666201975304,,,,
PP_0564,0.46483458257330557,3.019416012029656,0.9700479988206692,1.9515051634168852,0.28649834643145045,1.4001263554693464
PP_0576,1.4439305233178785,1.5119767911906197,1.712402284144476,2.3478651236252626,,
PP_0591,0.26917714389271213,2.729824619319622,,,,
PP_0592,1.0945651254746216,9.945643116409064,1.5580263962745058,3.352493440832249,,
PP_0596,-0.9904962291707596,4.498869145130051,,,,
PP_0602,0.26368662479615507,1.3488942456780046,,,,
PP_0622,0.4101787648890447,2.284777344462065,0.6025776145389455,1.6430651120316393,0.2746955310695171,2.2290803808209207
PP_0625,0.530119144695764,2.6115630284312155,,,,
PP_0658,-0.5065351544834245,2.523655747572403,-0.36350458794020024,1.638294862796442,,
