Protein,Spearman_Correlation,Average_Abundance_Control
Neo,0.07065402685410505,3.3525587937777783
Tryp_pig,0.050838431776685025,0.37713783833333336
Krt1,0.12407542483335109,0.0071482596999999995
Arga,0.30950770164082736,0.02039421727777778
Pcaj,0.03670242800677584,0.002343691
Dnaa,0.28287962404118233,0.023916076666666668
Dnag,-0.04072398190045249,0.002416226
Dnan,0.393278240563644,0.10275774033333333
Rsmg,-0.04103490341988847,0.022740414222222224
Ihfa,0.3848146347732049,0.03548578188888889
Ihfb,0.005987132386924487,0.0031076166470588233
Pp_1224,0.06315318247230833,0.0100754545
Adk,-0.5262232489017766,0.11581354177777776
Pal,-0.015597885476097322,0.2764165041666667
Yidc,-0.09354694033797718,0.045828002722222226
Hpf,0.19365160688723135,0.11423182872222222
Pp_0002,-0.19060893543876836,0.015548926444444444
Parb,0.03575283154431248,0.021722788333333333
Rpll,-0.25571582409352034,1.3343102076111113
Rpsu,-0.05559497144917639,0.2612694002777778
Rpon,-0.00500684754377935,0.023270695388888887
Tolb,0.0006068593544902435,0.057250548333333345
Mnme,0.32948918541329214,0.008115825666666666
Apha,0.24989794282951958,0.36108112844444445
Krt10,0.3399728254434443,0.0033087685
Aacc1,-0.17813677111447296,1.9737175727222223
Mvd1,0.1455304257526265,2.507165968277778
Krt9,-0.006563487561785917,0.0021201113333333336
Krt2,0.1666666666666667,
Alla,0.34994400644718004,0.007870366722222223
Argb,0.06934059544168904,0.07041490794444444
Argc2,-0.35091710770805584,0.003445783384615385
Argd,-0.07287769431594857,0.06008978716666666
Pp_0396,0.1559057054748758,0.035529814166666666
Rpsk,-0.24411587760564765,0.29782606183333327
Seld,0.21362897954434765,0.0065380082941176474
Hisd,0.12019979628306414,0.05302429727777777
Pp_1352,0.19441370440381836,0.03580754988888889
Argg,0.26329886392694635,0.2159756591666667
Argj,-0.10265322152303533,0.06177139088888888
Argh,0.11340502722631927,0.06362222205555554
Infa,0.1342086363811388,0.08697836083333332
Lippks1,0.45739130434782604,
Ftsz,-0.24747357838541578,0.037034055611111116
Ef_1364,0.40953278876364146,1.4604563318333335
Pp_1157,-0.19195784532620414,0.06556043616666667
Atpe,-0.03341267579043227,0.05443272800000001
Atpf,-0.20558491805630297,0.13626128744444446
Atph,-0.2325150834008488,0.07150179116666668
Atpa,-0.19771344253876266,0.35178202805555553
Atpg,-0.23872969618627637,0.09427001516666667
Atpd,0.08700023444673985,0.5287377389444444
Atpc,-0.10601303133729906,0.061747343611111116
Glmu,0.3051144086711809,0.030472527944444452
Glms,0.3282463396454561,0.019242689833333337
Pp_5400,0.04787930645332243,0.0031090464
Pp_5395,0.2884500953020174,0.029084197500000002
Pp_5392,0.4874987714749472,0.014843239777777779
Pp_5391,0.33393171958079104,0.0033896515333333333
Pp_5388,0.4479615219964242,0.003021012
Copa,-0.05189533864483886,0.00265597775
Copb,-0.10259584974132119,0.010790969055555556
Pp_5378,-0.054695364069992966,0.01903684775
Lpd3,0.35914006493266937,0.008542463722222221
Pp_5365,0.48976167318342934,0.015804691666666666
Pp_5355,-0.39999999999999997,
Pp_5353,0.1742570092282485,0.01353844616666667
Uvrd,0.08582254868107905,0.02434244916666667
Zwf-3,0.2761429612441783,0.0030533585
Pp_5350,0.05600700903510366,0.0051913118333333326
Accc-2,-0.3919264499603208,0.12512931255555557
Oada,-0.34743741796031735,0.12226390883333334
Pp_5345,0.06709334726957245,0.0045030168
Pp_5341,0.24475302938374036,0.0032754526666666666
Pp_5340,0.34291443850267384,0.003978268
Aspa,0.013095164961286824,0.010493829666666666
Pure,0.07866272654906194,0.04718011872222222
Purk,-0.2829675920469151,0.037747405
Pp_5332,0.1872307383958529,0.009557764166666668
Pp_5331,-0.07697861145371154,0.0058645864
Pp_5330,-0.065892002734108,0.0033583605000000005
Psts,0.31398427655251476,0.008302788611111112
Pstb2,0.01096345514950166,0.0022627626666666665
Phou,0.2825360916013079,0.007595627055555556
Pp_5324,0.14851322372181558,0.022984407388888888
Pp_5322,0.22348121300477183,0.0042112324705882356
Phob,-0.11484162305798733,0.001972300142857143
Pp_5319,0.13094106451176493,0.003857867
Rubb,0.08574481789140755,0.006276506277777778
Hupa,0.06768285690292779,0.01581175461111111
Pp_5311,0.32707843633325073,0.023335113333333334
Recg,-0.09499076497712333,0.0016631955714285715
Pp_5309,0.20891347856673562,0.02469367572222222
Exbd,0.24153061224489797,0.0023963725
Exbb,0.06779365632624607,0.005199961470588235
Pp_5305,0.2099747830900889,0.0046191198
Pp_5304,0.1746862718867154,0.025995568500000003
Pp_5303,0.17428350038218993,0.08129281116666669
Spot,0.372355421216088,0.021613461111111107
Rpoz,-0.37786780649283624,0.048335728555555554
Pp_5300,0.02450980392156863,0.003708388
Gmk,-0.25440969253425233,0.012245518444444443
Pp_5295,0.1659299918275314,0.02742202238888889
Rph,0.291554752579337,0.010725772666666668
Crc,0.27260181543886564,0.033330467833333335
Pyre,-0.05298961944134478,0.050573757999999996
Algc,0.08371773615899009,0.015441826
Dut,0.010679175169381097,0.01923249794444444
Coabc,-0.07051023342897532,0.02687304738888889
Pp_5283,0.36477649813779733,0.019454974666666666
Rpmb,-0.4689916539620988,0.22600868344444447
Rpmg,-0.023164182900232356,0.07966209927777777
Pp_5278,0.21967200772085557,0.026482724222222222
Pp_5274,-0.1315087211638936,0.0061299661250000005
Pp_5273,0.19274847058454417,0.008963970277777778
Lrp,0.13812295777191758,0.007851022176470587
Dada2,0.34324494739730155,0.007292040277777777
Dadx,0.32702407139456735,0.0041381764615384614
Pp_5267,0.14665171846748087,0.0030367126666666663
Xpt,-0.13139506390332759,0.03400009716666667
Rep,-0.03333333333333333,0.001757308
Pp_5260,0.01903701329385601,0.010035079
Pp_5258,0.06431610979468189,0.007953938411764706
Pp_5252,0.4561576354679802,
Pp_5249,0.28235294117647064,0.0022446985714285714
Pp_5235,0.17923124270739743,0.008905498277777778
Pp_5234,0.013663819309141512,0.08378524455555557
Amtb,0.08219858020119253,0.026484490444444442
Pp_5232,0.15210719257875369,0.0060088405
Pp_5231,0.3469968488933087,0.015901559055555556
Pp_5229,0.27354932176891583,0.011508779555555555
Dapf,0.2771911549196827,0.015777145944444446
Lysa-2,0.1709633110764028,0.03409905305555556
Cyay,-0.040236949278045164,0.013523312857142858
Rnk,0.27113596720669125,0.009470459277777779
Elbb,-0.04960087102915725,0.02575550038888889
Ppk,0.17786150159813502,0.03198245616666666
Ppx,0.11732554495501257,0.026008440222222224
Trx-2,0.5018084716062774,0.1271614163888889
Rho,-0.030036200161870433,0.13091633916666667
Ubid,-0.243265405599512,0.017206041833333338
Pp_5212,0.14277016358484446,0.007724013647058823
Pp_5207,0.4601164822364589,0.0022218525
Pp_5206,0.3426317433216083,0.015612830000000001
Pp_5205,0.26153846153846155,0.003029211
Pp_5203,0.09939088061260008,0.0025060294444444443
Pp_5202,0.010536289707962358,0.0028001564666666665
Pp_5201,0.289967727609303,0.04561403716666667
Pepp,0.20663635185631335,0.024417103166666666
Ubih,0.14923904126113846,0.0055818665
Ubif,0.12186906895933866,0.00847144438888889
Pp_5196,0.21347880100379138,0.001932847
Gcvt,0.2799226341764748,0.01032984811111111
Gcvh2,0.1682797571821361,0.045990143777777784
Gcvp2,0.3917383852582953,0.009193976111111111
Pp_5187,0.3477632591537969,0.03404109661111111
Arge,0.24150894543869314,0.007661912055555557
Pp_5184,0.275211829889791,0.024722049222222223
Pp_5183,-0.06440804854241082,0.048310448944444445
Pp_5182,-0.03364145638661347,0.01752907816666667
Potf-2,0.01730433964838838,0.09245305083333334
Potf-1,0.12690756839026535,0.037788242944444446
Potg,0.04537033970932689,0.026903334555555554
Pp_5175,0.07622434322937581,0.001284146
Pp_5174,0.01771390374331551,
Cysp,0.1479300752946157,0.004937089705882352
Cysa,0.24370109417780106,0.013705183999999999
Pp_5165,-0.15190981813377089,0.011855873722222222
Pp_5160,0.09802746529258217,0.003973445066666667
Pp_5157,-0.05515669105854024,0.0016269644000000004
Pp_5156,0.2803382920359204,0.03776413361111111
Sera,0.16516386765554528,0.1447281695
Pp_5154,0.3241114186412526,0.008427269222222221
Pp_5153,0.2829212855098255,0.021096033611111106
Pp_5152,-0.10567327409432674,
Rpia,0.1657531368838184,0.03073331622222222
Ilva-2,0.08295704856758328,0.017988170666666668
Pp_5147,0.20447547493915139,0.0031105167647058826
Rpph,0.11132621858609588,0.001579477
